DateTime,AddedIPs,RemovedIPs
1519581825,2,2
1519585425,1,0
1519589021,0,1
1519592624,3,4
1519596222,5,6
1519599819,0,18
1519603415,2,4
1519607015,0,1
1519610613,1,1
1519614214,2,0
1519617816,2,2
1519621421,1,6
1519625023,0,8
1519628621,0,1
1519632217,1,1
1519635814,1,2
1519639416,1,4
1519643015,2,1
1519646613,5,0
1519650215,0,1
1519653816,3,4
1519657430,2,9
1519661020,8,9
1519664624,3,1
1519668216,3,4
1519671814,7,15
1519675420,2,10
1519679021,6,0
1519682617,3,1
1519686216,1,0
1519689814,2,4
1519693416,0,4
1519697021,0,1
1519700613,1,0
1519704218,2,2
1519707813,1,2
1519711420,2,1
1519715014,1,1
1519718619,1,0
1519722217,5,3
1519725818,3,1
1519729422,3,1
1519733017,1,4
1519736627,3,1
1519740224,1,2
1519743819,3,1
1519747412,1,1
1519751015,1,3
1519754621,4,2
1519758212,1,2
1519761820,1,2
1519765421,1,0
1519769012,7,7
1519772615,8,1
1519776223,7,2
1519779818,4,4
1519783413,2,0
1519787010,2,0
1519790617,2,1
1519794221,2,0
1519797816,5,0
1519801424,2,0
1519808637,1,1
1519812220,5,1
1519815828,5,1
1519819413,1,0
1519823019,4,2
1519826631,3,2
1519830216,3,2
1519833815,3,2
1519837417,2,3
1519841018,0,1
1519844609,4,3
1519848220,4,1
1519851817,2,5
1519855424,0,3
1519859023,2,1
1519862611,2,0
1519866215,2,1
1519869822,2,0
1519873411,0,1
1519877021,1,1
1519880627,1,0
1519884232,0,3
1519887817,0,3
1519891422,4,2
1519895026,3,0
1519898624,1,2
1519902211,2,1
1519905822,3,0
1519909417,0,3
1519913020,2,5
1519916611,3,3
1519920219,2,1
1519923809,2,1
1519931018,0,3
1519934620,2,2
1519938214,0,2
1519941818,3,2
1519945480,1,2
1519949020,2,2
1519952622,1,1
1519956222,0,1
1519959833,1,3
1519967014,1,1
1519970616,1,3
1519977826,0,6
1519981420,1,1
1519985018,5,2
1519988610,3,1
1519992207,4,2
1519995816,4,1
1519999417,1,0
1520003025,3,1
1520006622,0,2
1520010216,2,0
1520013834,1,2
1520017416,2,3
1520021020,2,0
1520024620,1,1
1520028218,3,2
1520031821,1,2
1520035501,2,1
1520039014,3,1
1520042620,5,1
1520046214,2,1
1520049826,2,0
1520053445,0,1
1520057100,0,1
1520060624,3,2
1520064226,0,1
1520071430,0,6
1520075054,0,2
1520078631,0,3
1520082224,0,1
1520085834,1,1
1520089427,0,1
1520093027,2,0
1520096628,4,1
1520100223,2,2
1520103821,2,1
1520107438,0,11
1520111022,1,2
1520114618,0,2
1520118208,4,0
1520121818,1,2
1520125423,1,0
1520129013,3,1
1520132632,0,1
1520139812,0,1
1520143508,0,1
1520147011,1,1
1520150619,1,7
1520154219,0,9
1520157812,3,8
1520161435,2,18
1520165016,2,8
1520168624,2,0
1520172210,1,1
1520175826,4,3
1520179413,3,2
1520183013,3,1
1520186673,0,1
1520190229,3,1
1520197418,4,6
1520201013,3,5
1520208300,2,3
1520211825,1,1
1520215422,2,2
1520219012,1,1
1520226247,0,1
1520229823,1,0
1520233400,2,3
1520237003,2,0
1520244205,3,3
1520247812,4,3
1520255008,1,5
1520258622,1,4
1520262217,4,2
1520265813,2,6
1520269438,2,3
1520273009,0,3
1520276615,0,5
1520280212,3,2
1520283808,3,4
1520287424,0,4
1520294669,5,5
1520298214,3,0
1520301845,1,1
1520305413,0,1
1520309017,0,1
1520312637,1,1
1520316211,0,2
1520319806,2,1
1520323423,3,0
1520327018,2,4
1520330610,3,3
1520334208,6,5
1520337804,7,6
1520341423,0,6
1520345011,6,1
1520348614,1,2
1520352217,3,7
1520355812,2,0
1520363023,2,3
1520366618,0,1
1520370222,2,2
1520373813,3,1
1520377419,9,1
1520381015,7,2
1520384609,5,0
1520388207,1,2
1520391815,1,1
1520395421,3,2
1520399023,1,1
1520402612,2,4
1520406215,1,1
1520409814,0,1
1520413413,1,2
1520420616,2,0
1520424218,1,2
1520427820,0,5
1520431427,2,3
1520435023,5,1
1520438620,2,3
1520442229,2,2
1520445834,3,2
1520449417,9,8
1520453021,3,3
1520456619,6,4
1520460207,2,2
1520463812,3,3
1520467416,5,4
1520471010,0,2
1520474614,5,3
1520478212,2,1
1520481805,4,0
1520485408,1,2
1520489010,4,2
1520492600,2,0
1520496205,1,2
1520499812,2,2
1520503413,2,1
1520507016,3,1
1520510621,2,1
1520514207,1,1
1520517817,1,0
1520521413,2,3
1520525006,1,2
1520532206,4,1
1520535807,0,1
1520539411,4,2
1520543013,3,0
1520546605,2,7
1520550221,2,1
1520553808,1,2
1520557407,1,1
1520561027,0,1
1520564610,0,2
1520571811,1,1
1520575408,0,2
1520579017,2,1
1520582609,1,1
1520586214,2,1
1520589810,1,4
1520593433,1,3
1520597015,0,7
1520600610,1,6
1520604222,1,2
1520607821,0,2
1520615004,2,1
1520618608,0,2
1520622210,1,5
1520625816,1,2
1520629417,0,2
1520636609,1,1
1520640222,1,3
1520643815,0,3
1520647410,0,2
1520651008,1,1
1520654613,0,2
1520661811,2,3
1520665411,0,2
1520669010,2,0
1520672609,2,0
1520676218,1,1
1520679819,1,0
1520683408,3,0
1520687015,1,0
1520690615,2,2
1520694207,2,1
1520697811,0,3
1520701406,3,1
1520705003,2,3
1520708611,1,1
1520712208,3,1
1520715814,2,1
1520719410,1,0
1520723010,2,2
1520726611,3,1
1520730216,3,0
1520733810,2,2
1520737398,1,1
1520741023,1,1
1520748215,2,1
1520751809,1,2
1520755409,2,2
1520759009,3,0
1520762631,1,2
1520766211,2,1
1520769808,2,2
1520773411,1,0
1520777011,0,2
1520780614,1,1
1520784208,5,2
1520787817,2,1
1520795029,1,4
1520798615,1,1
1520802224,0,3
1520805831,2,3
1520809412,0,4
1520813013,0,5
1520816609,0,5
1520820209,0,1
1520823814,0,1
1520827423,1,0
1520838215,2,2
1520841811,2,1
1520845404,0,1
1520849006,2,3
1520852619,1,3
1520856224,1,1
1520859811,2,1
1520863413,0,1
1520867016,1,4
1520870611,1,3
1520874208,5,1
1520877816,2,3
1520881415,1,0
1520885012,1,1
1520888611,2,5
1520892211,0,1
1520895808,1,7
1520899406,4,5
1520903007,1,2
1520906622,1,0
1520910199,1,1
1520917402,0,1
1520924604,1,1
1520928207,11,1
1520931809,3,4
1520935410,2,2
1520939017,8,1
1520942632,1,3
1520946215,0,2
1520949810,0,3
1520953416,4,0
1520957020,0,1
1520960623,1,1
1520964218,0,2
1520967817,2,6
1520971417,0,6
1520975014,0,1
1520978630,4,1
1520982215,4,6
1520985817,1,4
1520989419,3,5
1520996618,1,2
1521000208,0,4
1521003812,0,2
1521007425,1,2
1521011014,0,1
1521014607,1,3
1521021813,1,1
1521025409,1,1
1521029016,1,1
1521032609,4,0
1521036212,1,2
1521039814,1,5
1521043428,0,2
1521047017,3,2
1521050616,0,5
1521054216,3,3
1521057816,1,6
1521061412,0,5
1521065020,2,6
1521068617,1,3
1521072217,0,6
1521075818,0,1
1521079426,1,4
1521083022,2,2
1521086608,0,2
1521090202,0,2
1521093797,0,8
1521097415,0,5
1521101009,0,1
1521104593,1,1
1521108205,2,3
1521111812,1,1
1521115404,0,2
1521122604,2,2
1521126212,4,3
1521129806,1,1
1521137007,3,5
1521140608,2,0
1521144212,1,4
1521147808,1,4
1521151412,0,2
1521155006,0,3
1521158603,0,2
1521162213,1,1
1521169409,2,1
1521173001,0,1
1521176622,1,0
1521180201,0,1
1521187416,1,1
1521191021,0,1
1521194609,1,2
1521198218,4,0
1521201810,0,1
1521205408,5,0
1521209009,2,0
