DateTime,AddedIPs,RemovedIPs
1519828565,108,121
1519832402,100,100
1519834564,118,120
1519840323,144,123
1519846564,239,226
1519850402,117,117
1519854244,102,135
1519858563,121,142
1519862409,82,151
1519866484,230,144
1519868402,178,117
1519872243,104,108
1519874163,1664,1415
1519878003,1391,1667
1519879923,127,147
1519883763,98,114
1519887606,168,106
1519889523,120,111
1519893363,128,101
1519897202,101,128
1519899124,201,157
1519901044,116,94
1519904887,99,97
1519908723,109,112
1519912563,107,98
1519918322,192,186
1519922163,128,110
1519926004,138,130
1519930083,143,120
1519933922,122,118
1519937763,118,143
1519941606,111,131
1519943523,126,156
1519947847,108,125
1519951924,147,109
1519955764,116,104
1519959607,107,97
1519961524,80,84
1519967283,166,207
1519973043,125,73
1519976884,101,75
1519980724,88,72
1519984813,82,94
1519986724,76,87
1519990563,95,73
1519994403,87,70
1520000164,92,92
1520002082,90,85
1520006162,139,144
1520008083,169,154
1520010005,88,94
1520011924,101,574
1520013844,481,0
1520015763,92,89
1520019603,111,99
1520021523,0,4
1520023443,4,0
1520025363,105,115
1520027283,95,116
1520031123,104,128
1520035211,378,387
1520037122,379,371
1520041204,101,107
1520046964,64,103
1520048885,92,122
1520052723,122,127
1520056562,104,102
1520060408,103,89
1520064244,101,81
1520066163,195,231
1520068084,272,189
1520073844,142,162
1520077684,92,80
1520081763,112,93
1520085607,118,88
1520089444,89,124
1520091364,119,116
1520095444,131,98
1520099284,112,115
1520101204,93,100
1520106962,101,110
1520110807,92,117
1520112722,97,108
1520116562,135,112
1520120402,82,136
1520124483,134,113
1520128323,109,97
1520134084,76,102
1520136012,88,118
1520137924,110,138
1520141762,103,107
1520145843,116,84
1520149683,97,79
1520155442,99,71
1520157363,105,90
1520161207,108,77
1520163122,98,97
1520168885,90,116
1520170803,129,96
1520172723,96,129
1520174643,192,167
1520178483,112,101
1520182563,110,100
1520186406,113,100
1520188323,106,93
1520190244,93,106
1520192403,170,181
1520196242,102,125
1520200323,97,129
1520204163,94,117
1520208964,66,125
1520210884,217,135
1520212803,209,245
1520216643,106,115
1520218563,58,103
1520220484,191,137
1520222409,180,231
1520224322,113,131
1520228165,93,87
1520234163,127,81
1520236083,95,84
1520239924,87,85
1520241842,86,82
1520249523,91,89
1520251443,94,79
1520257203,184,148
1520259123,99,92
1520267284,97,86
1520269209,102,96
1520271123,106,106
1520273044,123,93
1520279044,114,109
1520282884,103,119
1520287208,105,126
1520291043,85,116
1520292963,95,117
1520296804,126,99
1520302804,96,126
1520304724,75,96
1520308563,106,119
1520312409,112,139
1520316245,96,93
1520318163,126,95
1520322003,88,95
1520325843,77,71
1520329682,96,78
1520333523,71,73
1520337363,88,81
1520339284,118,77
1520345285,85,58
1520347204,77,78
1520351044,74,55
1520354884,85,79
1520358723,90,87
1520360883,93,83
1520364724,105,77
1520368804,74,95
1520372643,83,119
1520376483,84,98
1520380563,66,127
1520384409,127,66
1520386322,214,203
1520390162,51,97
1520394003,83,97
1520397843,99,107
1520401682,59,88
1520405523,115,75
1520407442,72,64
1520413207,76,71
1520415122,70,72
1520419202,72,80
1520421123,73,65
1520426883,85,83
1520428803,83,85
1520430722,139,109
1520434562,74,75
1520438408,82,77
1520440323,71,76
1520444884,105,76
1520448722,94,53
1520452563,96,95
1520456409,81,91
1520458323,61,87
1520460244,81,96
1520466005,70,126
1520469843,111,99
1520473923,1285,1343
1520475843,1344,1282
1520477763,55,69
1520481616,80,104
1520483522,95,120
1520485446,78,75
1520491205,110,73
1520495043,76,59
1520498883,78,68
1520502722,80,56
1520505123,71,73
1520507042,66,81
1520508962,139,122
1520510882,122,128
1520515445,83,70
1520517362,69,89
1520519283,740,761
1520521207,773,736
1520525043,78,68
1520527203,102,79
1520532964,113,77
1520534883,83,91
1520538963,87,84
1520542807,79,87
1520546884,81,90
1520548804,73,102
1520550723,69,101
1520556484,115,95
1520560322,73,82
1520562245,69,69
1520566083,62,88
1520568012,4,0
1520569923,86,118
1520573762,79,82
1520577603,99,59
1520579523,75,50
1520585283,68,57
1520589363,68,77
1520593209,73,57
1520597283,58,47
1520601123,130,117
1520607122,82,80
1520610962,89,78
1520614811,74,82
1520616723,76,61
1520620563,61,76
1520622483,157,110
1520624402,76,83
1520630163,79,77
1520632083,59,74
1520635924,79,84
1520640011,46,82
1520643843,158,158
1520650083,55,84
1520653924,73,80
1520657762,87,116
1520663524,163,123
1520667363,57,43
1520671204,76,48
1520675044,72,61
1520682723,82,80
1520684655,94,57
1520686564,84,64
1520690408,77,67
1520692324,75,70
1520696164,68,84
1520700003,72,97
1520704083,108,67
1520706003,80,77
1520707924,77,80
1520709844,80,77
1520711763,59,82
1520715613,78,75
1520717523,69,82
1520721603,60,78
1520725683,45,93
1520729523,89,59
1520733363,71,68
1520735284,68,71
1520737442,109,135
1520739364,68,94
1520743204,90,122
1520747044,86,78
1520751123,94,66
1520754962,68,65
1520758808,72,65
1520760722,97,55
1520762642,91,53
1520764561,53,91
1520766722,91,53
1520768643,64,71
1520772483,86,76
1520776323,97,72
1520780162,69,78
1520784008,88,76
1520785923,84,87
1520789762,101,83
1520791682,83,101
1520793842,101,83
1520796004,87,58
1520797922,78,87
1520801762,65,102
1520805610,93,92
1520807523,83,99
1520811362,46,118
1520815444,93,90
1520819284,76,91
1520823123,50,74
1520826964,87,89
1520834643,180,186
1520836562,85,69
1520838483,81,75
1520846404,80,62
