DateTime,Entries,UniqueIPs
1519828565,5729,5729
1519832402,5729,5729
1519834564,5727,5727
1519840323,5748,5748
1519846564,5761,5761
1519850402,5761,5761
1519854244,5728,5728
1519858563,5707,5707
1519862409,5638,5638
1519866484,5724,5724
1519868402,5785,5785
1519872243,5781,5781
1519874163,6030,6030
1519878003,5754,5754
1519879923,5734,5734
1519883763,5718,5718
1519887606,5780,5780
1519889523,5789,5789
1519893363,5816,5816
1519897202,5789,5789
1519899124,5833,5833
1519901044,5855,5855
1519904887,5857,5857
1519908723,5854,5854
1519912563,5863,5863
1519918322,5869,5869
1519922163,5887,5887
1519926004,5895,5895
1519930083,5918,5918
1519933922,5922,5922
1519937763,5897,5897
1519941606,5877,5877
1519943523,5847,5847
1519947847,5830,5830
1519951924,5868,5868
1519955764,5880,5880
1519959607,5890,5890
1519961524,5886,5886
1519967283,5845,5845
1519973043,5897,5897
1519976884,5923,5923
1519980724,5939,5939
1519984813,5927,5927
1519986724,5916,5916
1519990563,5938,5938
1519994403,5955,5955
1520000164,5955,5955
1520002082,5960,5960
1520006162,5955,5955
1520008083,5970,5970
1520010005,5964,5964
1520011924,5491,5491
1520013844,5972,5972
1520015763,5975,5975
1520019603,5987,5987
1520021523,5983,5983
1520023443,5987,5987
1520025363,5977,5977
1520027283,5956,5956
1520031123,5932,5932
1520035211,5923,5923
1520037122,5931,5931
1520041204,5925,5925
1520046964,5886,5886
1520048885,5856,5856
1520052723,5851,5851
1520056562,5853,5853
1520060408,5867,5867
1520064244,5887,5887
1520066163,5851,5851
1520068084,5934,5934
1520073844,5914,5914
1520077684,5926,5926
1520081763,5945,5945
1520085607,5975,5975
1520089444,5940,5940
1520091364,5943,5943
1520095444,5976,5976
1520099284,5973,5973
1520101204,5966,5966
1520106962,5957,5957
1520110807,5932,5932
1520112722,5921,5921
1520116562,5944,5944
1520120402,5890,5890
1520124483,5911,5911
1520128323,5923,5923
1520134084,5897,5897
1520136012,5867,5867
1520137924,5839,5839
1520141762,5835,5835
1520145843,5867,5867
1520149683,5885,5885
1520155442,5913,5913
1520157363,5928,5928
1520161207,5959,5959
1520163122,5960,5960
1520168885,5934,5934
1520170803,5967,5967
1520172723,5934,5934
1520174643,5959,5959
1520178483,5970,5970
1520182563,5980,5980
1520186406,5993,5993
