DateTime,AddedIPs,RemovedIPs
1520358315,7,0
1520358616,1,0
1520360115,1,0
1520361615,15,0
1520361917,1,0
1520363715,1,0
1520364017,15,0
1520364616,108,0
1520366416,5,1
1520368516,24,0
1520368816,2,0
1520370617,1,0
1520371217,80,0
1520371516,42,0
1520371815,85,0
1520372417,96,0
1520372716,42,0
1520375718,2,0
1520378115,5,0
1520378416,51,0
1520379018,19,0
1520382317,2,0
1520382922,1,0
1520385919,29,0
1520386218,1,0
1520388617,37,0
1520389216,4,0
1520389516,20,0
1520391618,16,0
1520391916,16,0
1520392517,4,0
1520393116,23,0
1520396417,26,0
1520398215,2,0
1520398817,34,0
1520399715,31,0
1520403015,36,3
1520403616,1,0
1520406317,28,0
1520406916,1,0
1520408716,10,0
1520409315,7,0
1520409621,33,0
1520410215,19,0
1520411715,18,0
1520412315,4,0
1520412615,2,0
1520414719,1,1
1520415018,1,0
1520415619,2,0
1520416218,10,0
1520416818,9,0
1520417116,1,0
1520417715,18,0
1520418017,16,0
1520418617,1,0
1520420115,1,0
1520420416,7,0
1520420716,19,0
1520422818,2,0
1520423416,2,0
1520424018,1,0
1520424316,3,0
1520424616,4,0
1520424915,5,0
1520425516,6,0
1520425817,1,0
1520426418,7,0
1520426716,9,0
1520427315,4,0
1520427619,49,0
1520428515,43,0
1520428817,54,0
1520429117,18,0
1520429719,180,0
1520430017,46,0
1520430316,2,0
1520433617,4,0
1520433916,1,0
1520436017,23,0
1520436318,63,0
1520436917,141,0
1520437518,174,0
1520438115,1,0
1520440817,46,3
1520441116,2,0
1520441715,1,0
1520442916,2,0
1520443220,29,0
1520444416,80,0
1520447715,5,0
1520448017,18,0
1520448316,1,0
1520450116,2,0
1520450715,67,0
1520451017,88,0
1520451317,66,0
1520451617,61,0
1520451916,70,0
1520452516,49,0
1520455217,2,0
1520455816,2,0
1520457616,4,0
1520457917,3,0
1520458217,7,0
1520459116,42,3
1520462418,1,0
1520464818,1,0
1520465116,23,0
1520465717,52,0
1520466016,11,0
1520466317,16,0
1520469916,72,0
1520470215,34,0
1520472016,6,0
1520472319,8,0
1520472916,7,0
1520473217,7,0
1520474118,33,0
1520477117,31,0
1520477716,3,0
1520479515,9,0
1520479818,3,0
1520480418,3,0
1520480717,31,0
1520481017,3,0
1520483416,29,0
1520484017,4,0
1520484316,28,0
1520484916,2,0
1520488220,41,0
1520491218,33,3
1520493015,1,0
1520494517,41,0
1520494817,4,0
1520497519,30,0
1520497819,26,0
1520498116,3,0
1520498416,2,0
1520500816,12,0
1520501417,5,0
1520503815,14,0
1520504416,3,0
1520505016,65,0
1520505617,3,0
1520506216,16,0
1520508619,4,0
1520508915,15,0
1520509516,10,0
1520509815,4,0
1520510418,10,0
1520510717,1,0
1520511316,6,0
1520511617,1,0
1520512221,9,0
1520512817,5,0
1520513717,14,0
1520515220,24,0
1520515821,3,0
1520517315,106,0
1520517619,41,0
1520518215,1,0
1520519116,17,0
1520521816,37,0
1520522116,31,0
1520522416,44,0
1520523016,111,0
1520523616,13,0
1520527216,34,0
