DateTime,AddedIPs,RemovedIPs
1520101216,4,0
1520101516,1,0
1520102116,6,0
1520102416,2,0
1520103015,2,0
1520103619,2,0
1520103916,1,0
1520104516,4,0
1520104817,1,0
1520105417,1,0
1520106017,4,0
1520106316,1,0
1520106916,4,0
1520107218,1,0
1520107815,3,0
1520108418,3,0
1520108717,1,0
1520109316,3,0
1520109615,1,0
1520110215,3,0
1520110817,4,0
1520111116,1,0
1520111716,3,0
1520112617,2,0
1520113516,1,0
1520113817,1,0
1520114418,2,0
1520117116,1,0
1520118022,1,0
1520118315,1,0
1520118915,1,0
1520119815,3,0
1520120416,1,0
1520121017,1,0
1520122216,5,0
1520122515,1,0
1520122817,1,0
1520123417,3,0
1520124317,2,0
1520124916,2,0
1520125219,3,0
1520126417,1,0
1520126716,1,0
1520127316,2,0
1520127618,1,0
1520128818,3,0
1520129116,2,0
1520129416,1,0
1520129716,1,0
1520130018,1,0
1520130617,2,0
1520131216,1,0
1520131516,1,0
1520132418,2,0
1520133015,3,0
1520133315,3,0
1520133916,2,0
1520134517,2,0
1520134816,1,0
1520135416,2,0
1520135715,1,0
1520136018,2,0
1520136316,0,1
1520136916,2,2
1520137218,2,0
1520137816,1,0
1520138416,3,0
1520138716,2,0
1520139315,6,0
1520139618,1,0
1520139916,3,0
1520140216,1,0
1520140818,2,0
1520141117,2,0
1520141416,2,0
1520141716,1,0
1520142017,1,0
1520142616,2,0
1520143218,1,0
1520143517,1,0
1520144417,1,0
1520145316,1,0
1520145616,3,0
1520146216,3,0
1520146818,2,0
1520147116,4,0
1520147715,2,0
1520148016,3,0
1520148319,1,0
1520148916,2,0
1520149216,2,0
1520149516,2,0
1520150115,2,0
1520150417,3,0
1520151015,4,0
1520151617,4,0
1520151917,1,0
1520152218,3,0
1520152515,1,0
1520152817,2,0
1520153415,2,0
1520154017,2,0
1520154316,4,0
1520154917,4,0
1520155515,3,0
1520155817,1,0
1520156116,1,0
1520156418,1,0
1520156724,1,0
1520157016,3,0
1520157316,1,0
1520157619,1,0
1520158216,3,0
1520158517,2,0
1520158816,2,0
1520159117,1,0
1520159715,1,0
1520160017,2,0
1520160615,2,0
1520160916,1,0
1520161218,1,0
1520161516,2,0
1520162115,2,0
1520162416,4,0
1520162717,3,0
1520163018,2,0
1520163617,5,0
1520163916,2,0
1520164517,2,0
1520164818,3,0
1520165415,4,0
1520165715,2,0
1520166018,1,0
1520166617,3,0
1520166915,3,0
1520167217,2,0
1520167517,1,0
1520167817,4,0
1520168419,2,0
1520168716,1,0
1520169315,2,0
1520169617,1,0
1520170219,4,0
1520170817,5,0
1520171116,3,0
1520171717,1,0
1520172018,1,0
1520172617,1,0
1520173219,5,0
1520173820,3,0
1520174118,5,0
1520174718,3,0
1520175018,4,0
1520175317,2,0
1520175618,2,0
1520175916,3,0
1520176518,1,0
1520176817,2,0
1520177116,2,0
1520177418,2,0
1520178017,2,0
1520178616,5,0
1520179218,2,0
1520180416,2,0
1520181016,1,0
1520181617,2,0
1520181917,2,0
1520182515,1,0
1520182818,3,0
1520183415,6,0
1520184017,3,0
1520184918,9,0
1520185216,2,0
1520185816,2,0
1520186417,1,0
1520186717,2,0
1520187017,1,0
1520187616,2,0
1520188216,2,0
1520188817,3,0
1520190018,1,0
1520190315,1,0
1520190915,2,0
1520191217,2,0
1520192417,1,0
1520193315,3,0
1520193916,2,0
1520194216,1,0
1520194817,2,0
1520195419,2,0
1520195717,1,0
1520196018,1,0
1520196915,1,0
1520197218,2,0
1520197816,1,0
1520198416,1,0
1520198716,1,0
1520199916,1,0
1520200216,1,0
1520200817,3,0
1520201715,1,0
1520202016,2,0
1520202618,1,0
1520204424,1,0
1520204717,1,0
1520206217,1,0
1520208017,2,0
1520208916,1,0
1520209516,1,0
1520210715,3,0
1520211315,2,0
1520211617,1,0
1520212216,2,0
1520212516,1,0
1520213417,1,0
1520214615,3,0
1520215218,2,0
1520216418,2,0
1520217317,1,0
1520217617,1,0
1520220016,1,0
1520220915,1,0
1520221216,1,0
1520221815,1,0
1520222418,1,0
1520223017,1,0
1520223616,2,0
1520224217,1,0
1520224816,1,0
1520225116,1,0
1520225715,1,0
1520226615,2,0
1520227217,2,0
1520228115,1,0
1520229618,2,0
1520230516,2,0
1520230816,2,0
1520231716,2,0
1520232016,1,0
1520232617,3,0
1520233218,2,0
1520234115,1,0
1520234415,1,0
1520235017,1,0
1520235617,1,0
1520235917,1,0
1520236819,4,0
1520237415,2,0
1520238016,1,0
1520239815,3,0
1520240417,3,0
1520240716,1,0
1520241317,2,0
1520241616,1,0
1520242216,3,0
1520242519,3,0
1520243116,3,0
1520243415,2,0
1520244019,1,0
1520244616,1,0
1520245523,1,0
1520246117,3,0
1520247617,2,0
1520248217,3,0
1520248816,1,0
1520249118,2,0
1520250018,3,0
1520250316,2,0
1520251815,4,0
1520252417,2,0
1520253316,1,0
1520253617,1,0
1520254216,3,0
1520254818,5,0
1520256017,2,0
1520256616,3,0
1520257518,2,0
1520258116,1,0
1520258717,7,0
1520259016,2,0
1520259618,2,0
1520259921,3,0
1520260216,1,0
1520260817,1,0
1520261419,3,0
1520261717,1,0
1520262020,1,0
1520262617,3,0
1520263219,1,0
1520263520,2,0
1520263818,2,0
1520264116,2,0
1520264417,1,0
1520264718,2,0
1520265617,2,0
1520266218,2,0
1520266817,1,0
1520267717,5,0
1520268017,2,0
1520268615,3,0
1520269217,5,0
1520269515,3,0
1520270116,6,0
1520270716,4,0
1520271016,1,0
1520271617,4,0
1520271917,1,0
1520272515,3,0
1520273416,4,0
1520274017,2,0
1520274617,2,0
1520276115,5,0
1520276716,2,0
1520277616,1,0
1520277916,1,0
1520278218,3,0
1520278517,1,0
1520279118,1,0
1520279417,1,0
1520281217,2,0
1520281815,1,0
1520282416,1,0
1520284816,2,0
1520286016,1,0
1520286616,1,0
1520287218,2,0
1520287817,1,0
1520288416,2,0
1520288716,1,0
1520289618,2,0
1520289916,1,0
1520290823,1,0
1520292017,1,0
1520292317,1,0
1520294420,1,0
1520294718,1,0
1520295616,2,0
1520295917,2,0
1520297415,1,0
1520297716,1,0
1520298018,2,0
1520298316,1,0
1520298915,2,0
1520300416,3,0
1520301916,2,1
1520302215,1,0
1520302817,0,2
1520303716,2,0
1520304316,3,0
1520304616,1,0
1520305218,3,0
1520306115,0,1
1520307017,1,0
1520307916,1,0
1520308218,1,0
1520308819,2,0
1520309117,1,0
1520310016,1,0
1520313016,2,0
1520314816,2,0
1520316615,1,0
1520317527,1,0
1520318116,1,0
1520318717,1,0
1520319916,1,0
1520320515,1,0
1520320816,1,0
1520321417,2,0
1520322018,2,0
1520322315,1,0
1520322916,3,0
1520323517,1,0
1520324716,2,0
1520325615,1,0
1520326216,1,0
1520327115,1,0
1520327716,3,1
