DateTime,AddedIPs,RemovedIPs
1515507802,768,0
1515518514,0,512
1515526236,256,256
1515548750,0,256
1515568966,0,256
1515592829,0,1536
1515609053,1280,0
1515611724,0,256
1515617144,0,256
1515694578,0,768
1515705999,1024,0
1515746730,0,256
1515763396,1024,0
1515777327,256,0
1515785053,256,256
1515788127,256,0
1515792361,0,768
1515800734,0,256
1515807933,512,0
1515849340,0,512
1515863749,0,256
1515871568,0,512
1515874548,0,256
1515884411,0,256
1515886207,1280,0
1515888928,256,0
1515894332,512,512
1515912337,512,0
1515947001,512,0
1515953730,256,0
1515957328,256,0
1515961807,512,0
1515968131,256,0
1515971728,0,512
1515977129,256,0
1515978933,256,0
1515980731,256,0
1515998734,0,256
1515999611,0,256
1516009529,0,256
1516032012,0,1536
1516040106,0,256
1516042813,0,256
1516047906,768,0
1516049106,0,256
1516051351,0,256
1516058603,0,256
1516063505,0,256
1516130119,256,0
1516133719,0,1536
1516134351,1536,0
1516142718,256,0
1516144517,256,0
1516153520,256,0
1516185007,1024,0
1516187716,512,0
1516209326,256,0
1516221007,0,1280
1516221925,0,256
1516222823,0,256
1516230014,0,256
1516239008,0,256
1516239906,256,0
1516271060,0,768
1516274138,0,512
1516288535,0,256
1516289407,1024,0
1516292678,256,0
1516310129,0,256
1516317334,0,256
1516375809,0,768
1516382716,512,0
1516395621,0,256
1516396525,256,0
1516405529,0,256
1516461901,768,0
1516468524,0,768
1516475730,256,0
1516482925,256,256
1516497339,256,0
1516548391,0,768
1516555817,768,0
1516560331,256,0
1516563923,256,0
1516569332,256,0
1516574731,256,0
1516576534,0,256
1516583738,256,256
1516638411,1280,0
1516641323,256,0
1516642207,0,768
1516653008,0,256
1516655725,256,0
1516668336,0,256
1516669211,0,256
1516670134,256,0
1516671935,0,256
1516689008,0,256
1516697136,256,0
1516721409,256,0
1516723213,0,768
1516740328,256,0
1516745730,0,256
1516749325,0,256
1516751106,256,0
1516756534,256,256
1516782608,0,256
1516804054,768,0
1516807807,0,512
1516821330,0,256
1516823139,256,0
1516828533,256,256
1516836608,0,256
1516840208,0,256
1516844737,256,0
1516888812,0,768
1516898740,0,256
1516905207,512,0
1516907730,256,0
1516911328,256,0
1516914924,0,256
1516930608,0,256
1516980606,1536,0
1516985123,256,0
1516986923,256,0
1516990526,0,768
1516994131,256,256
1516995927,0,256
1517006115,256,0
1517017536,256,0
1517066140,0,1024
1517071532,0,512
1517074235,1024,0
1517079610,0,512
1517080525,256,0
1517087724,0,256
1517094013,0,256
1517153408,1024,0
1517159728,512,768
1517172330,256,0
1517174126,256,256
1517208336,0,256
1517238933,0,1280
1517239826,768,0
1517245214,0,512
1517246127,256,0
1517251529,256,0
1517253329,256,0
1517260528,256,0
1517267734,256,0
1517276730,256,0
1517282135,0,256
1517326209,768,1024
1517332523,0,256
1517346933,0,256
1517363106,0,512
1517402069,768,0
1517412609,0,1024
1517416208,0,256
1517418934,256,0
1517433334,256,0
1517440537,256,0
1517445616,768,0
1517487340,0,512
1517505340,0,256
1517513408,1280,0
1517516128,256,0
1517519727,0,256
1517523337,256,0
1517525106,0,256
1517526934,256,0
1517530535,256,0
1517531813,512,0
1517534139,0,256
1517537738,256,0
1517567657,0,256
1517585409,768,0
1517588129,256,0
1517599808,0,1024
1517602531,0,256
1517608822,0,256
1517613327,0,256
1517617809,0,512
1517618406,256,0
1517620543,0,256
1517624138,0,256
1517670936,0,1024
1517682615,768,0
1517685326,256,256
1517690090,256,0
1517693558,256,0
1517705107,256,256
1517765707,768,0
1517769907,0,768
1517776209,0,256
1517783409,0,256
1517785219,0,256
1517792413,0,256
1517850939,0,1024
1517852728,1024,0
1517876131,0,256
1517879737,256,0
1517883342,256,0
1517938210,0,1024
1517941836,2048,0
1517949928,256,0
1517960736,256,0
1517963783,768,0
1517987740,256,0
1518024627,768,0
1518028440,0,1792
1518030925,0,256
1518045334,256,0
1518050220,256,256
1518072094,0,256
1518107476,1024,0
1518108326,256,0
1518111220,0,1536
1518117334,256,0
1518122707,256,0
1518127228,0,256
1518128137,256,0
1518130818,0,256
1518132610,0,256
1518135339,256,0
1518136893,512,0
1518193810,0,1280
1518201009,0,256
1518203742,0,256
1518205061,1024,0
1518209130,256,256
1518222609,0,256
1518223530,512,0
1518254136,0,256
1518288320,768,0
1518291009,0,1280
1518295224,0,256
1518300927,0,256
1518308130,256,0
1518367374,512,0
1518372927,256,0
1518374184,256,1024
1518376529,256,0
1518381908,256,256
1518396308,768,0
1518399321,256,0
1518453531,1024,768
1518457508,0,256
1518460244,0,256
1518462020,0,256
1518462935,256,0
1518470136,256,0
1518473734,256,0
1518482737,512,256
1518522307,0,256
1518538540,0,1792
1518540329,1280,0
1518556509,0,256
1518560138,256,0
1518568211,256,0
1518590621,256,0
1518626045,0,1792
1518632144,0,256
1518634822,0,256
1518637010,768,0
1518639326,256,0
1518646533,256,0
1518655507,256,0
1518677137,256,0
1518722139,0,1536
1518724257,1536,0
1518726654,0,256
1518741486,256,0
1518750938,256,0
1518763540,0,256
1518802343,1280,0
1518806708,0,256
1518810307,0,1280
1518812130,256,0
1518817508,256,0
1518818477,0,256
1518823810,0,256
1518827879,512,0
1518831908,256,0
1518863667,0,256
1518885160,768,0
1518888610,0,1024
1518891322,256,0
1518897616,0,512
1518903927,0,256
1518906985,256,0
1518914733,256,0
1518970537,0,1536
1518971409,1792,0
1518972322,256,0
1518977721,0,256
1518981330,256,0
1518993010,0,256
1518999330,0,256
1519004708,256,0
1519006541,0,256
1519034426,0,256
1519057810,1280,1024
1519064126,256,0
1519065926,0,256
1519082132,256,0
1519090417,0,256
1519109130,0,256
1519144209,0,1536
1519147890,768,0
1519150525,256,0
1519154127,256,0
1519173932,512,0
1519175735,0,256
1519194610,0,256
1519219837,1536,0
1519233330,0,1024
1519240532,0,256
1519245011,0,256
1519251341,256,0
1519260309,256,0
1519306211,0,1536
1519316161,0,256
1519324822,1536,0
1519331624,256,0
1519334134,0,256
1519345815,0,256
1519346740,512,0
1519348548,256,0
1519399936,512,0
1519410611,0,1280
1519432922,512,0
1519486207,0,1536
1519486479,512,0
1519488932,256,0
1519500673,256,0
1519510549,512,0
1519517735,256,0
1519519508,0,256
1519572760,0,1280
1519577108,0,256
1519581617,0,256
1519586136,512,0
1519601965,256,256
1519659537,768,0
1519670290,0,256
1519684732,0,256
1519688709,0,256
1519713213,0,256
1519744540,0,768
1519745612,1024,0
1519769737,256,0
1519775109,0,256
1519799610,256,0
1519831808,0,256
1519838145,0,256
1519839684,768,0
1519845328,512,0
1519857909,256,0
1519859726,0,512
1519864426,256,0
1519884933,0,256
1519890226,256,0
1519895734,0,256
1519911029,1536,0
1519920928,256,0
1519922346,256,0
1519925656,256,512
1519947456,0,256
1519949740,0,256
1519967740,256,0
1519983299,256,0
1519996546,0,1792
1519998001,0,256
1520007335,0,256
1520011811,0,512
1520012081,1024,0
1520014526,256,0
1520015583,256,0
1520031620,0,256
1520037805,512,0
1520059029,0,256
1520091172,256,0
1520094656,0,256
1520095525,256,0
1520098615,0,1024
1520100930,0,512
1520177595,0,512
1520180142,0,256
1520184772,1280,0
1520189108,0,256
1520190936,256,0
1520197225,0,256
1520203120,256,0
1520210708,256,0
1520212544,256,0
1520232084,256,0
1520242547,0,256
1520260211,1536,0
1520270132,256,0
1520271011,0,256
1520276417,0,512
1520277327,256,0
1520282731,256,0
1520289171,0,256
1520296211,0,256
1520347182,256,1792
1520349330,256,0
1520355616,0,256
1520366417,256,0
1520374544,256,256
1520433011,0,1280
1520435735,0,256
1520440236,1792,0
1520450130,256,0
1520458628,256,0
1520460932,256,0
1520463744,256,0
1520469527,256,0
1520490762,256,256
1520492418,0,256
1520526710,0,1792
1520530333,1536,0
1520533933,256,0
1520536529,256,0
1520550019,0,256
1520554528,0,512
1520577121,256,0
1520616613,0,1536
1520616904,1280,0
1520620352,0,256
1520633726,0,256
1520638638,0,256
1520662528,0,256
1520687737,0,256
1520695811,512,0
1520703225,0,1024
