DateTime,AddedIPs,RemovedIPs
1516740328,256,256
1516742130,256,256
1516749325,256,256
1516751106,512,512
1516754734,256,256
1516756534,256,256
1516804054,1024,1024
1516814126,256,256
1516823139,256,256
1516828533,256,256
1516844737,256,256
1516905207,768,768
1516907730,256,256
1516911328,256,256
1516980606,1536,1536
1516985123,256,256
1516986923,256,256
1516994131,512,512
1517001332,256,256
1517006115,256,256
1517008533,256,256
1517017536,256,256
1517022933,256,256
1517024732,256,256
1517044538,256,256
1517074235,1280,1280
1517080525,256,256
1517087724,256,256
1517121926,256,256
1517153408,1280,1280
1517159728,512,512
1517172330,256,256
1517174126,256,256
1517188539,256,256
1517189536,256,256
1517192131,256,256
1517193232,256,256
1517195740,256,256
1517239826,1024,1024
1517246127,256,256
1517251529,256,256
1517253329,256,256
1517260528,256,256
1517267734,256,256
1517269531,256,256
1517272629,256,256
1517276730,512,512
1517326209,1280,1280
1517330721,256,256
1517402069,768,768
1517418934,256,256
1517433334,256,256
1517440537,512,512
1517445616,768,768
1517447745,256,256
1517469349,256,256
1517481941,256,256
1517513408,1792,1792
1517516128,256,256
1517523337,256,256
1517526934,256,256
1517530535,256,256
1517531813,512,512
1517534139,256,256
1517537738,256,256
1517585409,1536,1536
1517588129,256,256
1517589921,256,256
1517591722,256,256
1517598929,256,256
1517618406,512,512
1517643941,256,256
1517682615,1280,1280
1517685326,256,256
1517690090,256,256
1517692535,256,256
1517693558,256,256
1517696126,256,256
1517697907,256,256
1517699736,256,256
1517705107,256,256
1517706943,256,256
1517765707,1280,1280
1517790740,256,256
1517852728,1024,1024
1517879737,256,256
1517883342,256,256
1517908539,256,256
1517916609,256,256
1517916738,256,256
1517922939,256,256
1517926544,256,256
1517941836,2560,2560
1517944529,512,512
1517949928,256,256
1517960736,256,256
1517963783,768,768
1517969740,256,256
1517985938,512,512
1517987740,256,256
1518024627,2304,2304
1518025522,256,256
1518027323,256,256
1518030925,256,256
1518041730,256,256
1518045334,256,256
1518046663,256,256
1518050220,256,256
1518107476,1536,1536
1518108326,256,256
1518115523,256,256
1518117334,256,256
1518122707,256,256
1518128137,256,256
1518135339,256,256
1518136893,512,512
1518155136,256,256
1518156938,256,256
1518158741,256,256
1518167740,256,256
1518205061,1792,1792
1518209130,256,256
1518214524,256,256
1518223530,512,512
1518225308,256,256
1518232533,256,256
1518245136,256,256
1518246090,256,256
1518248735,256,256
1518252400,256,256
1518288320,1280,1280
1518295224,256,256
1518308130,256,256
1518334276,256,256
1518367374,1024,1024
1518369326,256,256
1518372927,256,256
1518374184,256,256
1518376529,256,256
1518381908,256,256
1518396308,768,768
1518398144,256,256
1518399321,256,256
1518405333,256,256
1518414129,256,256
1518416135,256,256
1518417935,256,256
1518419745,256,256
1518423338,256,256
1518424326,256,256
1518428736,256,256
1518436877,256,256
1518453531,2048,2048
1518462935,256,256
1518466529,256,256
1518470136,256,256
1518473734,512,512
1518477340,256,256
1518479153,256,256
1518480937,256,256
1518482737,768,768
1518498934,256,256
1518500733,256,256
1518538540,256,256
1518540329,2304,2304
1518547064,256,256
1518549333,256,256
1518560138,256,256
1518563733,256,256
1518568211,256,256
1518569141,256,256
1518575699,256,256
1518590621,256,256
1518637010,1792,1792
1518639326,256,256
1518641125,256,256
1518646533,256,256
1518655507,256,256
1518660940,256,256
