DateTime,AddedIPs,RemovedIPs
1517861043,11,11
1517864882,39,35
1517872564,27,27
1517876405,181,902
1517884086,905,181
1517891764,227,229
1517899445,25,28
1517907123,57,52
1517914805,42,43
1517922483,17,16
1517926323,9,13
1517934003,7,8
1517941924,11,11
1517949605,3,2
1517957283,2,4
1517964963,170,890
1517972643,883,170
1517980324,248,247
1517988003,136,128
1517995684,57,53
1518003362,16,17
1518011045,13,13
1518018964,8,9
1518026643,12,12
1518030485,6,5
1518038404,4,5
1518046085,7,7
1518049923,12,903
1518057603,885,12
1518065284,521,511
1518072963,36,35
1518080643,42,40
1518084725,28,27
1518092653,14,16
1518100324,6,7
1518108004,10,9
1518135843,297,897
1518195123,900,297
1518202805,11,12
1518210725,6,5
1518214803,2,2
1518222723,148,900
1518230883,763,53
1518238806,821,817
1518242883,235,214
1518250565,82,70
1518258484,93,89
1518266405,27,28
1518274084,14,15
1518281763,13,16
1518289683,27,28
1518293523,7,6
1518301203,3,3
1518312724,5,894
1518316803,864,0
1518324724,821,807
1518332884,59,56
1518340804,47,42
1518348485,16,15
1518353284,4,5
1518360965,13,12
1518368644,3,2
1518376564,8,7
1518384484,6,5
1518392645,8,9
1518400324,634,891
1518408244,878,633
1518412082,416,404
1518420243,126,122
1518428403,56,56
1518436083,37,35
1518444006,57,56
1518451683,22,18
1518455525,17,19
1518463203,29,33
1518470884,23,23
1518479524,14,15
1518483609,2,898
1518491284,687,0
1518498964,828,627
1518506884,247,244
1518514564,42,44
1518522245,77,68
1518526563,21,20
1518534484,23,26
1518542165,22,22
1518549842,12,13
1518557763,7,7
1518565684,4,6
1518569763,11,884
1518578163,831,0
1518586083,529,501
1518593764,129,129
1518601684,139,121
1518609363,55,64
1518617044,48,38
1518621125,19,20
1518629043,17,16
1518636963,2,2
1518644885,17,19
1518649444,8,9
1518653284,4,897
1518661205,336,0
1518669365,703,161
1518677525,106,110
1518685211,115,106
1518689287,91,85
1518697215,42,42
1518705364,53,51
1518713283,6,6
1518721210,6,7
1518728883,39,35
1518732964,5,6
1518748563,736,796
1518756485,756,701
1518764164,298,296
1518772085,14,12
1518780245,75,73
1518788162,16,16
1518792007,22,22
1518800644,21,21
1518808564,15,19
1518816724,15,16
1518824643,17,18
1518828724,1,892
1518836643,557,0
1518844565,581,265
1518852244,605,589
1518859926,173,169
1518867844,41,43
1518871924,17,16
1518879605,8,8
1518887282,12,14
1518894964,2,3
1518902643,5,3
1518911763,8,5
1518915610,11,889
1518923765,790,0
1518931685,574,505
1518939606,394,373
1518943684,102,98
1518952084,42,45
1518960003,11,14
1518967683,20,22
1518975362,8,6
1518983046,13,15
1518990723,41,38
1518998644,2,896
1519006324,833,2
1519014003,792,728
1519021684,125,120
1519029362,138,134
1519037043,42,43
1519044723,28,31
1519052405,26,27
1519060323,23,23
1519064164,15,16
1519071843,41,40
1519080005,27,22
1519087924,4,904
1519095609,887,3
1519103530,403,428
1519111204,458,428
1519118885,154,146
1519126803,42,46
1519134484,16,15
1519142409,23,25
1519146483,12,13
1519154643,11,10
1519162563,3,3
