DateTime,AddedIPs,RemovedIPs
1521233522,4,5
1521234244,5,133
1521235321,36,12
1521236163,94,6
1521236521,3,6
1521237121,9,6
1521238083,3,82
1521238321,3,1
1521238922,7,0
1521239522,6,2
1521240003,55,0
1521240122,4,2
1521241921,10,23
1521242521,5,0
1521243121,8,2
1521243722,0,1
1521244083,39,97
1521244323,12,5
1521244986,5,0
1521246122,29,19
1521247322,14,0
1521247925,85,81
1521248521,5,13
1521249721,3,3
1521250322,9,5
1521250922,8,2
1521251763,59,132
1521252128,6,6
1521252633,1,0
1521253321,6,13
1521253981,7,13
1521254522,2,0
1521255611,46,0
1521255786,1,4
1521256922,13,25
1521257524,58,8
1521258122,3,3
1521259444,8,137
1521259922,11,0
1521260522,7,19
1521261605,90,0
1521261721,8,17
1521262322,3,0
1521262986,3,2
1521263522,1,2
1521264122,11,14
1521265444,83,107
1521265921,12,34
1521266587,15,44
1521267363,1,84
1521267721,10,3
1521268922,15,2
1521269282,145,0
1521269522,8,0
1521270186,6,1
1521270722,0,6
1521271204,42,98
1521271322,12,19
1521271921,1,1
1521271981,0,1
1521272522,9,3
1521273122,0,1
1521273721,7,4
1521273787,0,1
1521274921,13,2
1521276122,15,2
1521276721,3,3
1521276965,67,84
1521277386,3,8
1521277921,0,1
1521278521,4,11
1521279721,11,11
1521280811,68,0
1521281041,3,34
1521281521,15,9
1521282121,7,0
1521282726,58,107
1521282781,0,1
1521283321,4,3
1521283922,6,0
1521284586,17,2
1521285721,3,9
1521286321,4,0
1521286563,70,0
1521286921,13,5
1521288187,4,1
1521288722,2,0
1521289321,15,0
1521289921,14,1
1521290403,61,13
1521290522,4,60
1521291787,2,5
1521292324,5,101
1521292921,1,4
1521294243,96,9
1521295386,5,5
1521296163,80,28
1521296521,3,0
1521297122,0,2
1521297722,5,4
1521298083,21,60
1521298321,8,1
1521298987,5,3
1521299521,6,0
1521300003,0,67
1521300121,7,5
1521301321,1,7
1521301922,78,5
1521302522,4,2
1521302587,0,2
1521303722,12,3
1521304322,4,31
1521304922,2,0
1521305521,2,4
1521305765,72,53
1521306128,11,0
1521306636,0,5
1521307322,8,2
1521307981,0,1
1521308521,4,2
1521309121,6,0
1521309619,70,119
1521309787,10,3
1521310321,9,0
1521310922,3,0
1521312122,7,9
1521313442,120,5
1521314522,0,17
1521315365,17,74
1521315721,2,2
1521316321,3,0
1521316987,8,4
1521317521,3,1
1521318121,6,0
1521318722,1,2
1521319204,55,67
1521319321,1,0
1521320587,6,3
1521321122,3,8
1521321722,12,2
1521322922,9,4
1521323285,53,131
1521323522,7,10
1521324188,2,1
1521324722,4,2
1521325322,11,0
1521326522,7,4
1521327121,4,5
