DateTime,AddedIPs,RemovedIPs
1521120756,35,0
1521121749,72,160
1521122910,87,16
1521124822,164,87
1521125102,89,162
1521126752,64,23
1521126940,85,130
1521127688,40,0
1521128663,60,9
1521129603,59,314
1521130804,62,8
1521131446,135,275
1521131535,0,1023
1521132740,123,50
1521133810,83,96
1521134664,49,25
1521135730,121,189
1521136576,35,17
1521136803,20,0
1521137408,45,86
1521138496,52,11
1521138972,1021,0
1521139507,92,187
1521140423,165,113
1521141317,40,0
1521141908,44,1
1521142344,33,30
1521144003,109,278
1521144259,33,25
1521144609,45,1
1521144918,0,256
1521146174,31,30
1521146236,106,110
1521148110,62,30
1521148519,99,160
1521149440,77,125
1521150022,59,24
1521150307,44,42
1521151941,56,16
1521152904,121,67
1521153859,39,18
1521154804,53,251
1521157176,138,420
1521157521,63,169
1521158409,0,255
1521159153,28,15125
1521159307,15130,0
1521160216,36,125
1521161080,23,15
1521161103,41,50
1521163083,564,110
1521163882,0,14937
1521164968,14927,4
1521166821,131,75
1521167425,37,126
1521168325,47,56
1521168751,47,8
1521170647,168,119
1521171034,49,118
1521171731,44,47
1521172576,36,8
1521173648,82,90
1521174486,30,9
1521174619,36,139
1521175510,34,65
1521176432,83,40
1521177019,41,93
1521178335,342,142
1521179111,48,54
1521180262,40,11
1521180424,80,77
1521182173,39,8
1521182747,123,197
1521184107,58,26
1521184529,44,107
1521186009,36,30
1521186302,76,275
1521187039,48,98
1521187941,39,25
1521188047,39,0
1521189003,28,1
1521189859,67,231
1521191790,128,168
1521192619,39,145
1521193692,67,26
1521195623,109,157
1521196087,56,1
1521197535,34,18
1521198008,41,188
1521198608,66,108
1521199455,32,42
1521199803,43,0
1521200526,73,168
1521201461,29,21
1521201603,26,1
1521202208,40,72
1521202532,255,0
1521203296,83,1289
1521204130,71,124
1521205228,729,0
1521205816,46,146
1521206886,32,0
1521207137,41,13
1521207729,41,168
1521209057,58,16
1521209410,69,112
1521210976,50,22
1521211206,89,250
1521212119,79,1
1521212893,41,23
1521213009,58,111
1521213838,47,0
1521215060,51,13412
1521216006,13007,0
1521216977,86,24
1521218898,109,231
1521220209,80,111
1521220814,32,24
1521221289,56,0
1521221403,509,0
1521222741,37,15
1521223206,62,191
1521223492,67,161
1521224408,63,0
1521224662,75,33
1521225003,0,508
1521226577,121,247
1521227407,108,83
1521228497,94,16
1521229331,37,164
1521230429,44,53
1521231008,91,126
1521232343,22,32
1521233115,131,151
1521234267,51,164
1521234586,47,0
1521236181,34,12
1521236704,50,193
1521238111,60,128
1521238527,46,0
1521240015,7,53
1521240303,81,126
1521242201,112,208
1521243023,57,125
1521244097,68,36
1521246027,120,182
1521247941,84,242
1521249307,109,93
1521249864,612,0
1521251102,74,133
1521251773,17,13
1521252608,70,128
1521253701,53,14
1521255628,42,43
1521256111,101,311
1521257084,45,0
1521257544,34,27
1521258007,46,132
1521258906,49,132
1521259462,18,22
1521259808,34,0
1521260711,37,0
1521261631,18,21
1521261902,37,191
1521263542,20,22
1521263729,72,103
1521265467,123,130
1521267402,75,186
1521268928,100,178
1521269300,26,32
1521270004,0,254
1521270847,67,106
1521271227,25,15
1521271816,43,126
1521273143,79,20
1521274447,76,145
1521275061,31,31
1521275431,43,95
1521276307,31,42
1521276976,15,33
1521278338,99,91
1521278896,24,19
1521279729,63,194
1521280838,81,46
1521281725,44,66
1521282747,72,124
1521283509,46,30
1521284670,25,43
1521285008,73,66
1521286086,64,0
1521286582,14,37
1521286962,54,78
1521287767,52,93
1521288527,16,2070
1521288926,44,1
1521289803,53,0
1521290418,21,55
1521291853,115,178
1521292351,936,0
1521292809,43,0
1521293290,21,1
1521294259,34,50
1521295202,64,128
1521296190,29,52
1521296687,138,64
1521297609,46,110
1521298096,26,49
1521298803,2,0
1521300026,124,117
1521300444,29,0
1521301046,39,184
1521301942,27,40
1521302403,10,252
1521303861,113,105
1521304202,54,1
1521304808,50,85
1521305777,27,29
1521306013,41,93
1521306910,37,1
1521307725,27,24
1521307803,40,1273
1521309635,109,162
1521310528,56,103
1521311547,1036,34
1521312303,124,109
1521313463,14,33
1521315393,118,103
1521315953,67,136
1521317309,70,103
1521318603,35,1
1521319221,29,34
1521319502,0,11005
1521321387,11019,43
1521322226,28,73
1521323302,314,36
1521324004,26,83
1521324921,30,0
1521325210,24,43
1521326702,51,95
1521327380,79,35
1521328208,35,94
1521329906,53,62
1521330319,40,114
1521331136,50,54
1521331939,10,38
1521332107,39,0
1521333012,0,10914
1521333455,256,0
1521333853,14,60
1521333907,10938,0
1521334803,39,91
1521335784,952,0
1521337206,91,129
1521337695,8,51
1521339009,58,61
1521339609,12,50
1521340931,94,84
1521341539,15,50
1521342458,61,99
1521343455,14,57
1521345375,146,186
1521346207,34,0
1521347294,26,32
1521347538,35,61
1521349219,50,53
1521350126,84,113
1521351137,16,39
1521351730,100,104
1521353058,45,39
1521353367,59,54
1521354982,72,34
1521355328,62,106
1521356403,49,95
1521356894,80,33
1521357328,37,0
1521358815,51,28
1521359102,60,121
1521360741,40,41
1521360928,102,63
1521361548,49,0
1521362663,36,33
1521363604,85,80
1521364581,89,127
1521365109,44,1
1521366008,38,102
1521366492,46,37
1521367203,7,0
1521367483,92,50
1521368411,103,44
1521369308,38,107
1521370336,72,34
1521371408,86,59
1521372252,41,31
1521372602,53,0
1521374172,41,32
1521374527,102,202
1521375388,50,0
1521376090,36,1382
1521376208,68,75
1521377122,50,36
1521378018,592,0
1521378931,88,57
1521379937,59,22
1521380671,82,113
1521381861,77,10
1521382827,132,85
1521383775,90,19
1521384104,20,105
1521385203,38,98
1521385698,58,25
1521386127,46,0
1521387004,48,0
1521387612,28,33
1521388804,45,280
1521389539,49,18
1521389727,56,64
1521391459,125,110
1521393386,117,115
1521394202,1061,0
1521394812,43,159
1521395292,43,33
1521396100,326,56
1521396923,251,0
1521397212,75,18
1521398034,0,764
1521399152,82,163
1521400518,63,59
1521401053,22,24
1521402970,151,39
1521404116,172,181
1521404887,23,17
1521405026,84,87
1521405909,78,24
1521406820,44,38
1521407428,114,64
1521408734,24,20
1521409215,355,107
1521409502,0,253
1521410656,29,30
1521411008,81,68
1521414052,37,49
1521414074,153,199
1521414917,31,0
1521416356,23,15
1521416721,44,95
1521417605,36,367
1521418581,76,16
1521420491,66,96
1521420603,57,0
1521421683,64,77
1521422412,547,0
1521423089,0,256
1521423910,118,99
1521424574,15,18
1521425412,73,35
1521426492,22,10
1521427256,324,68
1521428412,39,44
1521430334,108,122
1521430809,95,89
1521431778,35,46
1521432263,16,20
1521432919,54,0
1521434172,24,16
1521434237,59,115
1521436091,19,22
1521436818,116,49
1521438013,47,31
1521438131,79,101
1521440182,98,89
1521440929,46,0
1521441610,62,82
1521442091,15,22
1521442510,39,58
1521443411,38,0
1521444010,16,25
1521444435,10,0
1521444684,79,78
1521445549,44,1
1521445931,12,27
1521446492,80,78
1521447851,60,27
1521448233,52,81
1521449054,35,30
1521449772,19,13
1521450005,57,59
1521450927,39,0
1521451690,81,25
1521452410,52,108
1521453370,60,0
1521453609,31,20
1521455540,165,192
1521456389,39,0
1521457461,33,26
1521457809,52,128
1521459002,55,0
1521459370,49,15
1521459732,36,106
1521461542,40,1378
1521461723,55,64
1521462049,33,1
1521463453,55,50
1521463524,57,110
1521465382,919,79
1521465418,47,0
1521466089,34,0
1521466929,44,121
1521467293,47,11
1521469216,163,134
1521470418,77,100
1521471131,66,18
1521471603,36,56
1521472526,42,0
1521473052,27,5
1521473402,29,0
1521474310,54,120
1521474976,37,12
1521475418,66,45
1521476409,105,0
1521476890,32,20
1521477358,97,84
1521477902,785,0
1521478820,133,45
1521479716,45,866
1521480311,52,0
1521480737,27,14
1521481209,41,369
1521482655,21,42
1521483249,147,44
1521483321,255,0
1521484202,53,1
1521484574,16,56
1521486182,153,165
1521486488,33,67
1521487212,61,1
1521488117,56,345
1521488417,17,40
1521491080,505,155
1521491720,61,356
1521492596,60,0
1521492969,37,35
1521494122,129,40
1521494892,16,37
1521495610,106,86
1521496823,34,91
1521497409,119,47
1521498313,63,0
1521498740,35,58
1521499180,53,84
1521500902,22,41
1521501321,109,47
1521502217,65,332
1521502814,14,38
1521504739,28,33
1521504925,0,11459
1521505803,11554,0
1521506652,275,49
1521507603,47,93
1521507761,47,76
1521508590,734,0
1521508818,65,0
1521510491,17,11
1521511203,343,60
1521511339,40,70
1521512453,64,15
1521512887,49,0
1521514334,14,11
1521515081,131,153
1521515907,81,0
1521516259,10,10
1521517211,71,84
1521518175,8,9
1521519010,116,44
1521520345,111,85
1521521110,42,30
1521522508,90,81
1521523465,36,0
1521524413,74,57
1521525369,55,62
1521526586,65,40
1521527431,42,66
1521528500,62,45
1521529204,51,75
1521530421,64,62
1521531184,55,86
1521532343,108,60
1521534262,126,99
1521536177,34,31
1521536405,152,107
1521537012,41,60
1521538095,46,32
1521538273,55,85
1521540031,58,87
1521540274,0,11862
1521541211,11930,0
1521541940,23,49
1521542412,81,99
1521543467,52,0
1521543868,27,41
1521544527,52,59
