DateTime,Entries,UniqueIPs
1521228932,72972,9330260
1521229892,72970,9330258
1521230427,72973,9330261
1521230852,72969,9330257
1521231573,72957,9330245
1521232342,72944,9330231
1521233011,72941,9330228
1521233731,72938,9330225
1521234266,72936,9330223
1521234691,72936,9330222
1521235411,72934,9330220
1521236180,72928,9330214
1521236852,72925,9330210
1521237573,72924,9330209
1521238110,72920,9330205
1521238533,72919,9330204
1521239492,72920,9330205
1521240013,72922,9331558
1521240452,72914,9331550
1521242200,72912,9331548
1521242851,72914,9331550
1521243571,72912,9331548
1521244096,72923,9331559
1521244532,72922,9331558
1521245492,72916,9331552
1521246453,72912,9331548
1521247171,72915,9331551
1521247940,72898,9331534
1521248612,72896,9331532
1521249331,72893,9331529
1521249863,72888,9331524
1521250291,72883,9331518
1521250809,72886,9331522
1521251253,72882,9331518
1521251772,72889,9331525
1521252212,72891,9331526
1521253173,72887,9331522
1521253700,72894,9331529
1521254191,72894,9331529
1521255092,72895,9331530
1521255627,72895,9331530
1521256052,72895,9331531
1521256771,72898,9331534
1521257543,72892,9331528
1521258212,72891,9331527
1521258932,72891,9331527
1521259460,72893,9331529
1521259891,72893,9331529
1521260612,72894,9331530
1521261630,72897,9331533
1521262234,72895,9331531
1521263012,72890,9331526
1521263541,72890,9331524
1521263972,72884,9331518
1521264692,72883,9331517
1521265464,72886,9331520
1521266131,72891,9331525
1521266852,72892,9331526
1521267811,72893,9331527
1521268531,72885,9331519
1521269298,72884,9331518
1521269973,72886,9331520
1521270692,72885,9331519
1521271226,72888,9331521
1521271652,72893,9331525
1521272611,72893,9331525
1521273142,72899,9331531
1521273572,72897,9331529
1521274293,72898,9331530
1521275060,72910,9331542
1521275732,72913,9331545
1521276452,72920,9331552
1521276975,72932,9331566
1521277412,72944,9331578
1521278372,72957,9331591
1521278895,72962,9331597
1521279092,72958,9331593
1521279812,72953,9331588
1521280332,72954,9331589
1521280532,72954,9331589
1521280836,72948,9331583
1521281252,72944,9331579
1521282213,72941,9331576
1521282490,72943,9331578
1521282746,72943,9331578
1521283172,72934,9331569
1521284133,72924,9331559
1521284669,72924,9331558
1521285092,72924,9331558
1521285812,72925,9331559
1521286581,72915,9331549
1521287251,72917,9331551
1521287972,72921,9331555
1521288525,72924,9331558
1521288933,72911,9331545
1521289892,72909,9331543
1521290416,72919,9331553
1521290851,72923,9331557
1521291572,72924,9331558
1521292350,72917,9331551
1521293012,72913,9331547
1521293731,72905,9331539
1521294258,72903,9331537
1521294692,72900,9331534
1521294966,72904,9331538
1521295652,72909,9331543
1521296188,72903,9331537
1521296612,72895,9331529
1521297571,72894,9331527
1521298095,72888,9331521
1521298531,72885,9331519
1521299492,72887,9331521
1521300024,72889,9331523
1521300452,72888,9331522
1521301172,72886,9331520
1521301941,72884,9331518
1521302611,72880,9331513
1521303332,72881,9331514
1521303860,72899,9331534
1521304291,72893,9331528
1521305012,72888,9331523
1521305776,72878,9331513
1521306452,72881,9331516
1521307171,72876,9331511
1521307724,72880,9331515
1521308132,72879,9331514
1521309092,72880,9331515
1521309634,72883,9331518
1521310051,72886,9331521
1521310772,72887,9331522
1521311546,72954,9331590
1521312212,72954,9331588
1521312492,72956,9331590
1521312932,72955,9331589
1521313462,72956,9331590
1521313893,72956,9331590
1521314852,72946,9331581
1521315392,72943,9331578
1521315811,72944,9331579
1521316771,72943,9331578
1521317308,72946,9331580
1521317732,72943,9331578
1521318692,72937,9331572
1521319220,72935,9331569
1521319412,72937,9331571
1521320132,72939,9331573
1521320852,72938,9331572
1521321386,72937,9331571
1521321813,72935,9331569
1521322531,72932,9331566
1521323301,72932,9331566
1521323972,72931,9331565
1521324494,72934,9331569
1521324932,72934,9331569
1521325209,72932,9331567
1521325268,72937,9331601
1521326891,72948,9331612
1521327379,72950,9331614
1521327572,72951,9331615
1521328291,72950,9331614
1521329904,72948,9331612
1521330452,72943,9331607
1521331171,72945,9331609
1521331938,72947,9331611
1521332612,72941,9331605
1521333332,72940,9331604
1521333852,72950,9331614
1521334292,72944,9331608
1521335251,72944,9331608
1521335783,72942,9331606
1521336213,72940,9331604
1521337172,72935,9331599
1521337694,72937,9331601
1521338131,72942,9331606
1521339139,72957,9331621
1521339608,72961,9331626
1521339812,72964,9331629
1521340531,72966,9331631
1521341538,72962,9331627
1521342212,72961,9331625
1521342933,72960,9331624
1521343454,72964,9331628
1521343891,72961,9331625
1521344613,72961,9331625
1521345374,72954,9331618
1521346051,72953,9331617
1521346771,72950,9331614
1521347293,72954,9331618
1521347492,72953,9331617
1521348255,72950,9331614
1521348931,72950,9331614
1521349218,72956,9331620
1521349652,72954,9331618
1521350371,72954,9331618
1521351136,72948,9331612
1521351812,72946,9331610
1521352533,72942,9331606
1521353492,72940,9331604
1521353770,72943,9331607
1521354211,72949,9331613
1521354932,72958,9331622
1521355652,72958,9331622
1521356431,72956,9331620
1521356893,72953,9331617
1521357331,72943,9331606
1521358292,72941,9331604
1521358813,72949,9331612
1521359253,72944,9331607
1521359972,72945,9331608
1521360740,72939,9331602
1521361412,72940,9331604
1521362133,72936,9331600
1521362662,72950,9331615
1521363092,72941,9331606
1521364052,72927,9331592
1521364580,72928,9331593
1521365012,72914,9331579
1521365972,72920,9331585
1521366491,72926,9331591
1521366692,72924,9331589
1521367412,72930,9331595
1521368132,72927,9331592
1521368410,72927,9331591
1521368853,72930,9331594
1521369572,72934,9331598
1521370335,72928,9331592
1521370815,72929,9331593
1521371011,72926,9331590
1521371732,72920,9331584
1521372251,72923,9331587
1521372693,72922,9331586
1521373412,72915,9331579
1521374170,72915,9331579
1521375092,72916,9331580
1521375813,72919,9331583
1521376089,72924,9331588
1521376532,72924,9331588
1521377492,72922,9331586
1521378017,72920,9331584
1521378451,72921,9331585
1521379411,72925,9331589
1521379935,72922,9331586
1521380371,72924,9331588
1521381091,72921,9331585
1521381860,72915,9331580
1521382771,72916,9331581
1521383297,72919,9331584
1521383491,72923,9331588
1521383774,72924,9331589
1521384212,72922,9331587
1521384933,72922,9331586
1521385697,72916,9331579
1521386611,72916,9331579
1521387332,72908,9331571
1521387611,72903,9331566
1521388052,72908,9331571
1521388772,72909,9331572
1521389537,72914,9331577
1521390451,72918,9331581
1521391173,72919,9331582
1521391891,72920,9331583
1521392852,72913,9331576
1521393385,72917,9331580
1521393813,72916,9331579
1521394771,72914,9331579
1521395291,72917,9331583
1521395491,72916,9331582
1521396211,72910,9331576
1521396932,72911,9331577
1521397211,72911,9331577
1521397652,72852,9331517
1521398179,72856,9331521
1521398612,72863,9331528
1521399150,72855,9331520
1521399572,72860,9331525
1521400099,72861,9331526
1521400532,72856,9331521
1521401052,72864,9331529
1521401492,72862,9331527
1521402212,72859,9331524
1521402969,72865,9331530
1521403653,72862,9331527
1521404372,72864,9331528
1521404885,72868,9331532
1521405093,72866,9331530
1521405699,72860,9331527
