DateTime,AddedIPs,RemovedIPs
1521182165,276,146
1521182521,26,4
1521183122,6,0
1521183721,8,1
1521184322,4,4
1521184922,19,0
1521186122,10,19
1521187321,5,0
1521188522,11,3
1521189181,1,1
1521189722,10,5
1521190921,10,6
1521191521,12,5
1521192122,30,0
1521192721,0,1
1521192782,0,1
1521193322,2,2
1521193921,4,4
1521194522,7,2
1521195122,6,4
1521195721,17,1
1521196922,4,6
1521198121,4,16
1521198721,0,1
1521199321,10,6
1521199922,2,0
1521200522,3,0
1521201121,4,1
1521201721,6,11
1521202922,3,11
1521204122,8,7
1521204721,7,0
1521205322,0,2
1521206521,3,5
1521207722,17,0
1521208321,2,9
1521208921,4,0
1521210122,9,9
1521210722,6,0
1521211322,12,3
1521212522,21,0
1521213121,1,2
1521213722,7,12
1521214381,1,1
1521214922,10,1
1521216121,8,3
1521216633,0,2
1521217321,3,7
1521217921,15,23
1521218521,5,6
1521219122,19,1
1521219721,6,0
1521220921,2,13
1521222121,5,6
1521223322,12,10
1521224521,6,7
1521225721,7,5
1521226922,3,9
1521227522,8,0
1521228122,2,7
1521228781,12,2
1521229321,7,5
1521229921,1,0
1521230521,9,0
1521231722,5,35
1521232321,6,2
1521232922,0,2
1521233522,4,5
1521234122,5,0
1521235321,36,12
1521235981,20,6
1521236521,3,6
1521237121,9,6
1521237721,3,2
1521238321,3,1
1521238922,7,0
1521239522,6,2
1521240122,4,2
1521241921,10,23
1521242521,5,0
1521243121,8,2
1521243722,0,1
1521244323,12,5
1521244922,5,0
1521246122,29,19
1521247322,14,0
1521248521,5,13
1521249721,3,3
1521250322,9,5
1521250922,8,2
1521252121,6,5
1521252633,1,0
1521253321,6,13
1521253981,7,13
1521254522,2,0
1521255721,1,3
1521256922,13,25
1521258122,3,3
1521259321,8,5
1521259922,11,0
1521260522,7,19
1521261721,8,17
1521262322,3,0
1521262921,3,0
1521263522,1,2
1521264122,11,14
1521265322,7,1
1521265921,9,35
1521266522,14,43
1521267121,1,3
1521267721,10,3
1521268922,15,2
1521269522,8,0
1521270122,5,0
1521270722,0,6
1521271322,12,19
1521271921,1,1
1521271981,0,1
1521272522,10,0
1521273122,0,1
1521273721,7,4
1521274921,13,2
1521276122,15,2
1521276721,3,3
1521277321,3,7
1521277921,0,1
1521278521,4,11
1521279721,11,11
1521281041,3,33
1521281521,15,9
1521282121,7,0
1521282721,5,8
1521282781,0,1
1521283321,4,3
1521283922,6,0
1521284521,17,1
1521285721,3,9
1521286321,4,0
1521286921,13,5
1521288121,4,1
1521288722,2,0
1521289321,15,0
1521289921,14,1
1521290522,4,60
1521291722,2,4
1521292322,5,0
1521292921,1,4
1521294121,4,8
1521295321,5,2
1521295921,10,7
1521296521,3,0
1521297122,0,2
1521297722,5,4
1521298321,8,1
1521298922,4,0
1521299521,6,0
1521300121,7,5
1521301321,1,7
1521301922,7,5
1521302522,4,2
1521303722,12,3
1521304322,4,31
1521304922,2,0
1521305521,2,4
1521306121,11,0
1521306636,0,5
1521307322,8,2
1521307981,0,1
1521308521,4,2
1521309121,6,0
1521309721,10,3
1521310321,9,0
1521310922,3,0
1521312122,7,9
1521313321,3,5
1521314522,0,17
1521315181,0,6
1521315721,2,2
1521316321,3,0
1521316921,8,4
1521317521,3,1
1521318121,6,0
1521318722,1,2
1521319321,1,0
1521320522,6,2
1521321122,3,8
1521321722,12,2
1521322922,9,4
1521323522,7,10
1521324121,2,0
1521324722,4,2
1521325322,11,0
1521326522,7,4
1521327121,4,5
1521327722,5,0
1521328321,0,2
1521328922,8,10
1521330121,33,22
1521331321,2,3
1521332521,6,4
1521333122,8,5
1521333721,2,12
1521334228,2,2
1521334921,1,19
1521335522,3,8
1521336121,1,0
1521336721,7,0
1521337322,14,26
1521337922,3,3
1521338522,6,0
1521339121,1,4
1521339721,5,0
1521340322,3,0
1521340922,7,22
1521341522,1,0
1521342121,2,0
1521343322,1,4
1521344522,8,10
1521345121,2,1
1521345722,2,2
1521346921,18,9
1521348121,6,17
1521348721,4,0
1521349321,3,5
1521350522,8,2
1521351121,2,0
1521351181,1,13
1521351721,25,0
1521352922,8,11
1521353521,54,2
1521354122,4,4
1521354781,7,0
1521355321,6,1
1521355921,9,2
1521356521,12,19
1521357122,9,4
1521357721,8,0
1521358322,1,6
1521358922,3,0
1521360121,4,6
1521360721,20,1
1521361322,5,13
1521362522,3,10
1521363121,3,0
1521363721,10,0
1521364322,1,4
1521364922,12,17
1521365522,4,0
1521366121,1,0
1521366201,2,2
1521367321,3,3
1521368521,15,12
1521369121,3,0
1521369722,15,0
1521370322,13,0
1521370922,8,0
1521372121,15,12
1521372721,7,4
1521373321,4,0
1521374522,6,2
1521375121,1,0
1521375722,6,4
1521376922,3,13
1521377522,7,0
1521378121,2,10
1521378721,3,0
1521379322,2,0
1521379922,4,3
1521380521,5,3
1521381722,6,0
1521382322,6,4
1521382921,3,1
1521383522,4,0
1521383581,1,0
1521384122,3,0
1521385322,6,6
1521385921,6,3
1521386521,2,0
1521387039,0,1
1521387721,8,7
1521388321,10,0
1521388922,6,47
1521390121,7,8
1521390781,3,3
1521391321,10,3
1521392522,5,3
1521393122,5,0
1521393722,4,0
1521394243,1,0
1521394922,3,2
1521396122,7,2
1521396721,4,20
1521397322,5,0
1521397981,5,4
1521398522,2,0
1521399121,10,2
1521399721,2,4
1521400322,7,7
1521400921,5,1
1521402121,5,0
1521402721,1,0
1521403322,2,12
1521404521,31,6
1521405721,11,9
1521406321,4,0
1521406921,2,21
1521407521,3,0
1521408122,32,12
1521408721,7,5
1521409321,5,1
1521409922,0,7
1521410521,4,7
1521411121,2,1
1521411722,3,2
1521413521,14,22
1521414722,5,6
1521415322,9,4
1521415921,2,0
1521416522,1,14
1521417721,4,8
1521418321,21,0
1521418921,6,0
1521420122,12,16
1521420722,5,0
1521421321,19,5
1521421921,12,0
1521422522,8,28
1521423122,7,4
1521423722,2,1
1521424321,2,1
1521424921,4,40
1521425522,6,2
1521426121,3,4
1521427321,11,0
1521427921,7,2
1521428522,7,21
1521429121,7,4
1521429722,6,0
1521430321,10,4
1521430921,3,7
1521431522,7,16
1521432122,9,0
1521432721,6,7
1521433321,11,0
1521434522,13,3
1521435721,6,1
1521436921,9,37
1521437582,6,29
1521438121,8,0
1521438722,1,0
1521439322,6,4
1521439922,11,2
1521440521,9,0
1521441181,0,1
1521441721,9,3
1521442321,8,2
1521442922,5,0
1521444122,7,0
1521444781,10,7
1521445322,13,0
1521445921,10,16
1521446521,33,7
1521447121,3,13
1521447721,1,0
1521448322,5,5
1521448921,9,3
1521449522,0,3
1521450121,7,6
1521450722,4,3
1521451321,6,0
1521451922,4,2
1521452522,3,34
1521453121,10,13
1521453721,8,2
1521454321,1,1
1521454921,17,7
1521455521,5,0
1521456121,1,3
1521457322,3,7
1521458521,3,2
1521459181,0,2
1521459722,5,14
1521460321,6,2
1521460922,11,4
1521462122,0,3
1521463322,4,6
1521464522,14,2
1521465721,4,28
1521466322,0,2
1521466922,5,2
1521467522,1,5
1521468122,2,5
1521468722,10,0
1521469321,3,2
1521470521,3,12
1521471121,4,0
1521471721,3,5
1521472321,0,1
1521472922,13,0
1521473522,3,0
1521473581,0,1
1521474122,9,0
1521474722,5,31
1521475321,4,5
1521475921,1,0
1521476521,5,31
1521477721,2,2
1521478321,3,8
1521478922,7,3
1521479521,4,14
1521480121,11,4
1521480722,11,0
1521481322,6,0
1521482521,3,10
1521483030,2,0
1521483722,14,1
1521484321,2,11
1521484921,1,0
1521486122,6,21
1521486722,1,0
1521487321,5,10
1521487981,5,0
1521488521,8,0
1521489122,3,0
1521490922,6,28
1521491581,4,1
1521492121,2,3
1521493322,1,1
1521493922,3,5
1521494521,5,6
1521494584,14,8
1521495182,5,4
1521495721,8,2
1521496321,4,1
1521496921,6,14
1521497521,6,0
1521498121,1,0
1521498721,1,2
1521499322,9,4
1521499922,6,0
1521500522,9,4
1521501122,1,4
1521501721,1,0
1521502322,0,3
1521502921,2,1
1521503521,4,0
1521504122,4,4
1521505322,13,0
1521506522,4,9
1521507122,84,11
1521507721,6,0
1521508922,13,11
1521509582,0,1
1521510122,4,1
1521511322,76,2
1521511921,0,3
1521512521,7,21
1521513721,60,7
1521514921,9,5
1521516122,4,5
1521516721,4,0
1521517321,4,0
1521518521,11,4
1521519121,2,5
1521519721,8,14
1521520321,28,5
1521520921,8,0
1521521521,80,13
1521522121,2,31
1521523321,9,0
1521523922,1,12
1521524521,5,2
1521525121,3,3
1521525721,7,10
1521526322,2,0
1521526921,6,5
1521527521,3,0
1521528121,3,1
1521528722,3,1
1521529321,4,0
1521530521,6,9
1521531721,1,0
1521532322,3,6
1521532921,3,0
1521533522,2,0
1521534121,6,10
1521534721,1,0
1521535321,2,0
1521536521,5,2
1521537122,3,1
1521537721,3,0
1521538381,1,8
1521540121,7,4
1521540636,12,7
1521541321,1,0
1521542521,3,4
1521543122,1,3
1521543722,10,0
1521544321,1,3
1521544921,6,3
