DateTime,Entries,UniqueIPs
1519631045,4864,4981
1519633451,4864,4981
1519636808,4865,4982
1519641610,4864,4981
1519651686,4865,4982
1519653848,4864,4981
1519668010,4865,4982
1519668731,4866,4983
1519669207,4865,4982
1519670170,4866,4983
1519672087,4865,4982
1519676896,4866,4983
1519677846,4866,4983
1519678329,4867,4984
1519678819,4866,4983
1519679769,4867,4984
1519683129,4866,4983
1519688408,4867,4984
1519694408,4866,4983
1519695367,4865,4982
1519695845,4865,4982
1519697769,4866,4983
1519701605,4865,4982
1519705445,4866,4983
1519709290,4865,4982
1519714812,4866,4983
1519723928,4865,4982
1519728729,4866,4983
1519729691,4865,4982
1519736430,4866,4983
1519742169,4868,4985
1519747448,4869,4986
1519754655,4868,4985
1519757290,4869,4986
1519760165,4868,4985
1519760651,4869,4986
1519764246,4867,4984
1519767131,4868,4985
1519768085,4869,4986
1519770004,4868,4985
1519774084,4867,4984
1519778888,4868,4985
1519780344,4872,4989
1519780809,4871,4988
1519781287,4872,4989
1519782249,4872,4989
1519785131,4873,4990
1519797124,4872,4989
1519799773,4873,4990
1519801211,4872,4989
1519802648,4873,4990
1519805046,4874,4991
1519813208,4875,4992
1519817531,4874,4991
1519824262,4876,4993
1519826649,4875,4992
1519836967,4876,4993
1519838165,4875,4992
1519850885,4870,4987
1519856645,4871,4988
1519859528,4870,4987
1519864088,4871,4988
1519866493,4870,4987
1519866969,4871,4988
1519867946,4870,4987
1519870088,4869,4986
1519871286,4870,4987
1519874647,4869,4986
1519893850,4870,4987
1519895289,4871,4988
1519897208,4870,4987
1519922650,4869,4986
1519924808,4870,4987
1519926730,4871,4988
1519933450,4870,4987
1519937286,4875,4992
1519948325,4876,4993
1519950965,4875,4992
1519953368,4876,4993
1519954329,4876,4993
1519954805,4879,4996
1519955295,4886,5003
1519956246,4885,5002
1519956726,4886,5003
1519967288,4887,5004
1519971130,4886,5003
1519972090,4885,5002
1519972325,4754,4859
1519974972,4756,4861
1519978806,4755,4860
1519981926,4754,4859
1519982407,4755,4860
1519985767,4756,4861
1519989610,4755,4860
1519998965,4758,4863
1520004252,4757,4862
1520011934,4758,4863
1520016246,4759,4864
1520019608,4758,4863
1520021531,4757,4862
1520023451,4759,4864
1520030164,4760,4865
1520033046,4759,4864
1520040005,4758,4863
1520041689,4756,4861
1520042165,4756,4861
1520042672,4755,4860
1520043129,4757,4862
1520043611,4758,4863
1520046007,4757,4862
1520048405,4758,4863
1520051765,4757,4862
1520057051,4758,4863
1520058010,4757,4862
1520067613,4758,4863
1520071449,4757,4862
1520075290,4758,4863
1520084165,4757,4862
1520086583,4760,4865
1520093529,4761,4866
1520098328,4760,4865
1520105528,4761,4866
1520108410,4760,4865
1520109847,4756,4861
1520121365,4757,4862
1520124006,4756,4861
1520126410,4757,4862
1520127848,4756,4861
1520128329,4757,4862
1520128810,4756,4861
1520129286,4757,4862
1520129768,4756,4861
1520130263,4759,4864
1520133604,4760,4865
1520137448,4759,4864
1520152087,4760,4865
1520165529,4759,4864
1520170328,4760,4865
1520174185,4763,4868
1520178008,4762,4867
1520181605,4763,4868
1520186420,4762,4867
1520192408,4760,4865
1520192896,4762,4867
1520196249,4764,4869
1520198413,4765,4870
1520204648,4764,4869
1520207533,4765,4870
1520210405,4764,4869
1520214727,4764,4869
1520215211,4765,4870
1520217856,4767,4872
1520221448,4768,4873
1520224806,4767,4872
1520235129,4768,4873
1520249530,4769,4874
1520254815,4770,4875
1520260805,4769,4874
1520261527,4771,4876
1520264165,4772,4877
1520278565,4771,4876
1520282892,4768,4873
1520298971,4767,4872
1520299445,4767,4872
1520299929,4767,4872
1520300405,4767,4872
1520300890,4766,4871
1520301365,4767,4872
1520302325,4766,4871
1520304729,4767,4872
1520305226,4769,4874
1520311927,4769,4874
1520316252,4768,4873
1520323931,4769,4874
1520327770,4768,4873
1520337368,4769,4874
1520340249,4770,4875
1520349148,4771,4876
1520356809,4772,4877
1520360888,4771,4876
1520362815,4771,4876
1520365205,4770,4875
1520368808,4771,4876
1520369289,4774,4879
1520371929,4773,4878
1520374327,4772,4877
1520378647,4773,4878
1520383449,4772,4877
1520386331,4773,4878
1520387289,4772,4877
1520387765,4773,4878
1520388726,4774,4879
1520391613,4773,4878
1520392578,4774,4879
1520393062,4777,4882
1520395928,4776,4881
1520410328,4777,4882
1520413688,4776,4881
1520416087,4777,4882
1520417291,4778,4883
1520418245,4777,4882
1520421607,4776,4881
1520423047,4777,4882
1520425925,4776,4881
1520426408,4777,4882
1520435052,4778,4883
1520436987,4780,4885
1520439845,4779,4884
1520441290,4780,4885
1520446810,4779,4884
1520447765,4780,4885
1520449686,4779,4884
1520454006,4780,4885
1520454487,4781,4886
1520455446,4779,4884
1520456889,4778,4883
1520459529,4777,4882
