DateTime,AddedIPs,RemovedIPs
1520566096,68,31
1520568027,71,58
1520569947,18,152
1520571862,38,31
1520573783,29,29
1520575703,47,29
1520577619,53,28
1520579540,48,33
1520581465,41,32
1520583383,32,35
1520585309,29,26
1520587460,37,34
1520589384,42,31
1520591299,39,27
1520593229,79,77
1520595138,32,50
1520597319,44,991
1520599222,42,8
1520601149,165,0
1520603310,50,11
1520605226,44,11
1520607155,37,8
1520609063,59,2
1520610986,51,4
1520612907,68,5
1520614833,78,8
1520616746,54,4
1520618664,35,3
1520620658,26,2
1520622513,30,4
1520624429,40,1
1520626346,31,1
1520628266,48,3
1520630195,40,3
1520632095,37,6
1520634028,39,6
1520635960,18,2
1520638467,49,5
1520640505,26,5
1520642411,28,7
1520644350,114,0
1520646250,16,10
1520648184,12,8
1520650094,15,5
1520652020,30,2
1520653943,13,3
1520655867,10,3
1520657790,12,2
1520659703,17,5
1520661637,29,7
1520663545,14,2
1520665474,12,4
1520667389,11,1
1520669313,18,0
1520671221,16,3
1520673151,14,3
1520675062,10,5
1520677000,10,5
1520678898,16,2
1520680826,31,0
1520682745,14,5
1520684674,10,3030
1520686584,38,42
1520688512,961,1
1520690434,46,68
1520692364,28,39
1520694270,23,69
1520696190,45,47
1520698113,58,27
1520700024,47,18
1520701946,22,44
1520704106,21,28
1520706028,47,45
1520708025,41,55
1520709862,49,47
1520711784,51,39
1520713704,35,32
1520715636,50,63
1520717552,113,37
1520719707,49,38
1520721624,28,48
1520723557,14,28
1520725701,54,50
1520727623,10,30
1520729545,11,41
1520731465,868,0
1520733384,14,38
1520735292,19,27
1520737470,23,84
1520739393,16,43
1520741316,8,26
1520743227,8,17
1520745147,5,45
1520747071,15,28
1520748986,37,43
1520751146,32,52
1520753057,24,47
1520754982,34,39
1520756905,33,33
1520758836,86,63
1520760739,37,36
1520762665,27,38
1520764569,26,47
1520766747,19,28
1520768668,35,32
1520770592,26,1426
1520772503,25,35
1520774416,456,0
1520776354,25,21
1520778264,21,14
1520780178,24,12
1520782093,31,30
1520784049,93,35
1520785946,53,11
1520787866,27,27
1520789784,25,21
1520791703,22,17
1520793862,34,14
1520796023,27,11
1520797934,47,10
1520799880,19,19
1520801780,29,15
1520803716,38,13
1520805638,70,25
1520807543,41,16
1520809464,30,32
1520811610,26,16
1520813545,28,9
1520815461,16,30
1520817387,384,0
1520819311,20,14
1520821238,18,14
1520823144,12,12
1520825068,30,28
1520826989,37,18
1520828912,27,12
1520830829,80,34
1520832747,19,16
1520834665,15,13
1520836582,22,11
1520838496,26,11
1520840421,27,9
1520842345,56,18
1520844504,32,15
1520846423,28,12
1520848352,38,10
1520850267,46,13
1520852184,49,16
1520854093,79,32
1520856021,106,1437
1520857947,45,26
1520859869,604,0
1520861777,16,17
1520863703,52,22
1520865619,67,16
1520867785,36,10
1520869697,33,11
1520871631,45,10
1520873776,38,8
1520876555,65,26
1520878720,52,34
1520880738,58,34
1520882657,44,27
1520884570,33,22
1520886491,29,31
1520888474,77,91
1520890342,30,39
1520892507,19,24
1520894423,28,24
1520896586,20,20
1520898499,20,34
1520900417,29,23
1520902333,25,25
1520904257,542,0
1520906169,16,14
1520908342,39,32
1520910265,16,8
1520912176,29,9
1520914106,24,10
1520916015,24,6
1520917940,22,4
1520919862,27,17
1520921773,12,29
1520923701,19,32
1520925615,19,26
1520927557,24,21
1520929469,63,43
1520931372,24,26
1520933290,51,68
1520935222,52,47
1520937138,18,24
1520939066,28,20
1520940977,30,35
1520942897,32,1656
1520944817,30,42
1520946737,887,0
1520948665,26,19
1520950584,39,17
1520952498,28,13
1520954412,35,32
1520956329,35,45
1520958257,29,33
1520960189,22,47
1520962092,26,50
1520964019,57,46
1520966027,44,22
1520970264,92,53
1520972427,43,49
1520974343,15,37
1520976268,18,32
1520978176,18,39
1520980090,17,42
1520982045,59,121
1520983949,44,59
1520985870,70,45
1520987774,48,42
1520989709,814,0
1520991613,9,17
1520993545,17,15
1520995454,15,11
1520997381,24,27
1520999295,17,33
1521001220,12,29
1521003140,16,37
1521005060,23,42
1521006971,19,22
1521008899,15,17
1521010830,44,48
1521012745,33,26
1521014663,30,48
1521016590,38,34
1521018509,33,31
1521020422,23,38
1521022354,16,40
1521024509,21,44
1521026420,47,71
1521028341,23,58
1521030257,27,1554
1521032683,639,0
1521034578,38,18
1521036510,51,24
1521038416,23,21
1521040352,37,16
1521042482,46,30
1521044660,33,24
1521046817,91,50
1521048735,43,28
1521050663,41,15
1521052582,31,17
1521054493,41,19
1521056417,32,22
1521058354,25,27
1521060250,35,28
1521062176,27,42
1521064102,24,27
1521066010,8,31
1521067946,19,21
1521069852,18,26
1521072037,41,63
1521073940,13,32
1521075851,577,0
1521077728,15,16
1521079703,23,23
1521081611,23,21
1521083791,30,16
1521085696,29,29
1521087614,27,21
1521089547,23,23
1521091454,29,26
1521093378,16,26
1521095292,38,15
1521097215,60,34
1521099141,25,22
1521101071,31,22
1521102974,33,27
1521104905,22,42
1521106811,17,26
1521108738,40,28
1521110662,58,21
1521112574,47,25
1521114495,37,33
1521116927,26,1412
1521118822,604,0
1521120746,68,11
1521122910,93,20
1521124822,73,16
1521126752,75,25
1521128663,67,14
1521130804,65,12
1521132740,73,19
1521134664,54,28
1521136576,39,19
1521138496,56,15
1521140423,110,34
1521142344,41,31
1521144259,41,29
1521146174,38,38
1521148110,68,31
1521150022,66,25
1521151941,63,17
1521153859,46,23
1521157176,50,71
1521159153,32,23
1521161080,29,15
1521163083,547,0
1521164968,49,7
1521166821,59,19
1521168751,59,13
1521170647,67,21
1521172576,44,12
1521174486,33,12
1521176432,58,44
1521178335,46,19
1521180262,48,15
1521182173,41,10
1521184107,34,22
1521186009,38,31
1521187941,43,29
1521189859,37,35
1521191790,52,29
1521193692,32,25
1521195623,48,17
1521197535,36,23
1521199455,35,46
1521201461,34,22
1521203296,36,1480
1521205228,769,0
1521207137,48,16
1521209057,64,18
1521210976,53,28
1521212893,49,29
1521215060,62,31
1521216977,52,27
1521218898,41,22
1521220814,37,26
1521222741,41,18
1521224662,78,38
1521226577,57,37
1521228497,26,17
1521230429,54,59
1521232343,25,33
1521234267,32,22
1521236181,23,14
1521238111,15,36
1521240015,12,56
1521242201,16,50
1521244097,17,39
1521246027,19,27
1521247941,29,32
1521249864,673,0
1521251773,21,15
1521253701,15,16
1521255628,47,52
1521257544,35,29
1521259462,23,25
1521261631,22,22
1521263542,22,24
1521265467,35,17
1521267402,19,36
1521269300,32,36
1521271227,28,16
1521273143,30,21
1521275061,32,35
1521276976,20,33
1521278896,27,21
1521280838,57,50
1521282747,24,55
1521284670,26,47
1521286582,19,39
1521288527,18,2354
1521290418,28,61
1521292351,1077,0
1521294259,37,58
1521296190,35,64
1521298096,31,56
1521300026,44,70
1521301942,29,44
1521303861,40,34
1521305777,31,32
1521307725,30,30
1521309635,48,92
1521311547,21,40
1521313463,21,39
1521315393,18,36
1521317309,23,47
1521319221,34,39
1521321387,33,49
1521323302,26,39
1521325210,32,50
1521327380,16,40
1521329906,27,69
1521331939,13,40
1521333853,14,60
1521335784,1014,0
1521337695,14,55
1521339609,15,58
1521341539,16,56
1521343455,17,65
1521345375,15,44
1521347294,21,34
1521349219,57,60
1521351137,17,44
1521353058,48,40
1521354982,80,39
