DateTime,Entries,UniqueIPs
1520566096,4200,4200
1520568027,4213,4213
1520569947,4079,4079
1520571862,4086,4086
1520573783,4086,4086
1520575703,4104,4104
1520577619,4129,4129
1520579540,4144,4144
1520581465,4153,4153
1520583383,4150,4150
1520585309,4153,4153
1520587460,4156,4156
1520589384,4167,4167
1520591299,4179,4179
1520593229,4181,4181
1520595138,4163,4163
1520597319,3216,3216
1520599222,3250,3250
1520601149,3415,3415
1520603310,3454,3454
1520605226,3487,3487
1520607155,3516,3516
1520609063,3573,3573
1520610986,3620,3620
1520612907,3683,3683
1520614833,3753,3753
1520616746,3803,3803
1520618664,3835,3835
1520620658,3859,3859
1520622513,3885,3885
1520624429,3924,3924
1520626346,3954,3954
1520628266,3999,3999
1520630195,4036,4036
1520632095,4067,4067
1520634028,4100,4100
1520635960,4116,4116
1520638467,4160,4160
1520640505,4181,4181
1520642411,4202,4202
1520644350,4316,4316
1520646250,4322,4322
1520648184,4326,4326
1520650094,4336,4336
1520652020,4364,4364
1520653943,4374,4374
1520655867,4381,4381
1520657790,4391,4391
1520659703,4403,4403
1520661637,4425,4425
1520663545,4437,4437
1520665474,4445,4445
1520667389,4455,4455
1520669313,4473,4473
1520671221,4486,4486
1520673151,4497,4497
1520675062,4502,4502
1520677000,4507,4507
1520678898,4521,4521
1520680826,4552,4552
1520682745,4561,4561
1520684674,1541,1541
1520686584,1537,1537
1520688512,2497,2497
1520690434,2475,2475
1520692364,2464,2464
1520694270,2418,2418
1520696190,2416,2416
1520698113,2447,2447
1520700024,2476,2476
1520701946,2454,2454
1520704106,2447,2447
1520706028,2449,2449
1520708025,2435,2435
1520709862,2437,2437
1520711784,2449,2449
1520713704,2452,2452
1520715636,2439,2439
1520717552,2515,2515
1520719707,2526,2526
1520721624,2506,2506
1520723557,2492,2492
1520725701,2496,2496
1520727623,2476,2476
1520729545,2446,2446
1520731465,3314,3314
1520733384,3290,3290
1520735292,3282,3282
1520737470,3221,3221
1520739393,3194,3194
1520741316,3176,3176
1520743227,3167,3167
1520745147,3127,3127
1520747071,3114,3114
1520748986,3108,3108
1520751146,3088,3088
1520753057,3065,3065
1520754982,3060,3060
1520756905,3060,3060
1520758836,3083,3083
1520760739,3084,3084
1520762665,3073,3073
1520764569,3052,3052
1520766747,3043,3043
1520768668,3046,3046
1520770592,1646,1646
1520772503,1636,1636
1520774416,2092,2092
1520776354,2096,2096
1520778264,2103,2103
1520780178,2115,2115
1520782093,2116,2116
1520784049,2174,2174
1520785946,2216,2216
1520787866,2216,2216
1520789784,2220,2220
1520791703,2225,2225
1520793862,2245,2245
1520796023,2261,2261
1520797934,2298,2298
1520799880,2298,2298
1520801780,2312,2312
1520803716,2337,2337
1520805638,2382,2382
1520807543,2407,2407
1520809464,2405,2405
1520811610,2415,2415
1520813545,2434,2434
1520815461,2420,2420
1520817387,2804,2804
1520819311,2810,2810
1520821238,2814,2814
1520823144,2814,2814
1520825068,2816,2816
1520826989,2835,2835
1520828912,2850,2850
1520830829,2896,2896
1520832747,2899,2899
1520834665,2901,2901
1520836582,2912,2912
1520838496,2927,2927
1520840421,2945,2945
1520842345,2983,2983
1520844504,3000,3000
1520846423,3016,3016
1520848352,3044,3044
1520850267,3077,3077
1520852184,3110,3110
1520854093,3157,3157
1520856021,1826,1826
1520857947,1845,1845
1520859869,2449,2449
1520861777,2448,2448
1520863703,2478,2478
1520865619,2529,2529
1520867785,2555,2555
1520869697,2577,2577
1520871631,2612,2612
1520873776,2642,2642
1520876555,2681,2681
1520878720,2699,2699
1520880738,2723,2723
1520882657,2740,2740
1520884570,2751,2751
1520886491,2749,2749
1520888474,2735,2735
1520890342,2726,2726
1520892507,2721,2721
1520894423,2725,2725
1520896586,2725,2725
1520898499,2711,2711
1520900417,2717,2717
1520902333,2717,2717
1520904257,3259,3259
1520906169,3261,3261
1520908342,3268,3268
1520910265,3276,3276
1520912176,3296,3296
1520914106,3310,3310
1520916015,3328,3328
1520917940,3346,3346
1520919862,3356,3356
1520921773,3339,3339
1520923701,3326,3326
1520925615,3319,3319
1520927557,3322,3322
1520929469,3342,3342
1520931372,3340,3340
1520933290,3323,3323
1520935222,3328,3328
1520937138,3322,3322
1520939066,3330,3330
