DateTime,AddedIPs,RemovedIPs
1514154021,4,2
1514168894,5,0
1514183790,7,0
1514198658,10,0
1514213293,3,0
1514227946,7,0
1514242583,1,0
1514257481,3,0
1514272084,6,1
1514286747,2,1
1514301384,6,1
1514316026,7,2
1514330654,3,0
1514345306,7,0
1514360189,5,1
1514374829,2,0
1514389714,4,0
1514404588,12,3
1514419477,6,0
1514434344,8,2
1514448973,10,1
1514463874,2,1
1514478516,9,1
1514493391,12,0
1514508009,7,0
1514522672,5,1
1514537296,9,0
1514551933,5,0
1514566835,3,0
1514581697,4,0
1514596592,5,0
1514611206,5,0
1514625858,7,0
1514640492,5,1
1514655130,12,0
1514669790,7,0
1514684424,5,3
1514699297,5,0
1514713944,8,0
1514728578,4,1
1514743232,7,0
1514757852,9,2
1514772489,9,0
1514787393,6,1
1514802025,6,0
1514816675,5,2
1514831550,9,0
1514846426,8,1
1514861293,5,1
1514875926,6,0
1514890585,8,0
1514905454,5,0
1514920096,7,1
1514934746,9,0
1514949701,2,1
1514964268,4,1
1514979147,12,0
1514993819,3,0
1515008669,7,2
1515024279,5,0
1515039156,4,1
1515054027,11,1
1515068662,5,1
1515083301,9,0
1515098188,8,0
1515112809,6,0
1515127448,6,0
1515142113,7,0
1515157040,6,1
1515171887,1,0
1515186485,9,0
1515201392,9,1
1515216022,4,2
1515230649,7,0
1515245556,2,1
1515260184,4,1
1515275053,8,0
1515289943,5,2
1515304571,4,0
1515327152,10,0
1515341769,11,1
1515356426,6,1
1515371308,2,0
1515385951,3,0
1515400589,7,1
1515415222,3,0
1515429871,6,12
1515444497,8,1
1515459156,4,1
1515473784,5,1
1515488412,5,1
1515503050,5,1
1515517952,6,1
1515532590,8,0
1515547209,8,0
1515562094,5,0
1515576991,9,15
1515591856,3,1
1515606751,5,1
1515621385,6,4
1515636268,4,2
1515651147,6,2
1515665793,8,0
1515680409,3,1
1515695312,2,1
1515709957,5,2
1515724565,7,2
1515739221,5,2
1515753855,2,2
1515768532,7,3
1515783384,8,1
1515799000,7,1
1515813856,11,0
1515828751,8,1
1515843866,4,0
1515858747,5,1
1515873614,5,2
1515888254,4,0
1515902905,7,0
1515917546,15,0
1515932423,4,0
1515947064,4,0
1515962687,9,4
1515977309,5,1
1515991946,4,1
1516006583,11,5
1516021222,7,0
1516035860,3,1
1516050500,7,0
1516065132,9,0
1516080022,3,2
1516094655,8,0
1516109308,5,0
1516123951,7,3
1516138578,10,3
1516153468,5,2
1516168095,4,2
1516183234,8,4
1516198112,4,2
1516212989,3,2
1516227622,8,2
1516242259,3,3
1516257146,1,1
1516271787,8,1
1516286404,4,0
1516301314,8,2
1516315934,7,3
1516330825,4,1
1516345713,3,2
1516360335,4,3
1516374971,3,2
1516389853,4,4
1516404860,7,0
1516419615,4,0
1516434499,2,3
1516449136,8,0
1516463785,2,1
1516478661,5,0
1516493285,9,1
1516507929,7,1
1516522818,4,1
1516537465,7,0
1516552096,3,2
1516566726,4,1
1516581619,10,1
1516596260,3,2
1516610910,5,3
1516625787,7,4
1516640412,2,1
1516655052,2,0
1516669696,8,0
1516684345,2,1
1516699221,6,2
1516713852,4,4
1516728746,6,1
1516743369,11,1
1516758253,15,1
1516772894,13,1
1516787540,6,2
1516802186,12,0
1516816829,6,3
1516831447,14,1
1516846346,4,0
1516860965,12,0
1516875617,8,2
1516890258,11,1
1516904903,14,0
1516919786,5,0
1516934422,10,0
1516949050,13,2
1516963930,8,1
1516978571,8,1
