DateTime,AddedIPs,RemovedIPs
1521091803,560,730
1521092703,618,790
1521093603,522,743
1521094503,630,711
1521095403,602,692
1521096303,668,731
1521097203,603,708
1521098103,653,747
1521099002,593,665
1521099902,711,633
1521100804,684,666
1521101703,625,678
1521102604,652,717
1521103502,717,648
1521104403,662,637
1521105302,613,700
1521106202,679,648
1521107103,711,580
1521108003,652,563
1521108903,663,530
1521109803,645,540
1521110703,679,544
1521111603,871,604
1521112503,730,547
1521113403,767,583
1521114303,710,612
1521115203,576,549
1521116103,567,518
1521117002,477,631
1521117903,452,645
1521118803,658,616
1521119703,668,583
1521120603,692,556
1521121503,736,607
1521122403,641,700
1521123303,661,596
1521124203,541,601
1521125103,405,643
1521126003,570,681
1521126903,525,683
1521127802,573,593
1521128703,488,735
1521129603,460,663
1521130503,530,670
1521131403,469,631
1521132303,694,762
1521133203,493,695
1521134102,556,896
1521135002,555,764
1521135903,628,725
1521136803,566,784
1521137703,635,691
1521138602,605,730
1521139503,571,626
1521140403,552,699
1521141303,538,659
1521142203,469,675
1521143102,440,634
1521144003,464,760
1521144903,539,716
1521145803,486,686
1521146702,434,610
1521147602,581,619
1521148502,1381,605
1521149403,657,630
1521150303,400,576
1521151203,494,572
1521152102,513,582
1521153003,412,605
1521153902,405,494
1521154802,483,584
1521156602,965,1028
1521157502,483,684
1521158402,487,597
1521159303,473,466
1521160203,415,525
1521161103,479,555
1521162002,504,504
1521162903,445,616
1521163802,487,655
1521164702,596,599
1521165603,513,598
1521166503,452,547
1521167403,489,612
1521168303,576,552
1521169202,528,422
1521170103,481,542
1521171003,508,945
1521171903,565,600
1521172802,437,469
1521173703,479,483
1521174603,511,553
1521175502,494,440
1521176402,452,621
1521177302,430,476
1521178203,530,542
1521179102,526,544
1521180002,416,503
1521180903,473,466
1521181803,609,495
1521182702,462,450
1521183602,679,428
1521184502,773,467
1521185403,586,492
1521186302,395,441
1521187203,394,412
1521188103,561,454
1521189002,444,504
1521189903,487,428
1521190802,499,408
1521191703,494,566
1521192603,542,927
1521193503,466,594
1521194402,530,393
1521195303,502,454
1521196203,444,459
1521197102,546,416
1521198003,363,390
1521198902,425,445
1521199802,529,428
1521200703,408,457
1521201603,413,500
1521202503,292,518
1521203402,284,531
1521204303,277,503
1521205202,317,525
1521206102,234,640
1521207002,260,649
1521207902,462,553
1521208803,610,610
1521209702,540,517
1521210602,805,530
1521211503,705,527
1521212403,685,592
1521213302,809,565
1521214202,578,466
1521215103,807,529
1521216003,585,585
1521216902,691,451
1521217803,653,508
1521218703,636,524
1521219602,776,555
1521220503,498,487
1521221402,503,601
1521222303,683,752
1521223203,600,712
1521224102,531,610
1521225003,638,523
1521225902,562,612
1521226803,576,511
1521227703,568,619
1521228603,556,607
1521229502,604,557
1521230404,589,389
1521231303,544,415
1521232203,449,501
1521233102,642,503
1521234002,530,556
1521234903,606,504
1521235803,529,566
1521236703,574,546
1521237602,487,490
1521238503,601,510
1521239403,465,526
1521240303,462,441
1521242103,1009,1025
1521243003,480,268
1521243902,551,330
1521244803,449,269
1521245703,483,266
1521246603,476,228
1521247503,411,232
1521248402,496,200
1521249302,361,240
1521250202,438,216
