DateTime,AddedIPs,RemovedIPs
1512702616,5,10
1512717015,4,18
1512731416,10,5
1512745814,8,9
1512760215,7,2
1512774614,4,3
1512789131,2,0
1512800358,2,2
1512814214,4,4
1512828615,5,3
1512843014,6,7
1512857414,6,6
1512871815,19,4
1512886214,6,10
1512900614,2,10
1512915014,2,6
1512929414,2,5
1512943814,11,1
1512958214,2,1
1512972613,8,6
1512987014,6,6
1513001416,13,7
1513015814,1,8
1513030214,7,14
1513044613,3,5
1513059013,4,2
1513073414,10,4
1513087814,6,0
1513102213,9,9
1513116614,5,11
1513131016,8,2
1513145413,4,11
1513159814,15,6
1513174214,5,4
1513188617,10,5
1513203015,14,5
1513217416,5,3
1513231814,4,10
1513246214,5,6
1513260615,4,9
1513275015,6,3
1513289414,4,8
1513303814,2,11
1513318214,3,9
1513332614,2,5
1513347014,6,12
1513361414,5,14
1513375814,5,3
1513390214,0,7
1513404614,4,3
1513419014,2,7
1513433414,6,5
1513447814,6,2
1513462215,6,3
1513476615,13,2
1513491014,0,2
1513505414,2,6
1513519813,7,4
1513534214,3,4
1513548614,2,3
1513563012,2,1
1513577413,2,5
1513591813,2,7
1513606213,8,7
1513620614,2,0
1513635013,4,11
1513649416,4,0
1513663813,8,3
1513678217,7,6
1513692613,8,2
1513707015,4,3
1513721413,1,2
1513735815,5,2
1513750213,3,10
1513764613,4,2
1513779014,6,3
1513793414,6,5
1513807814,3,8
1513822213,2,7
1513836613,7,6
1513851014,2,6
1513865414,3,3
1513879813,1,3
1513894214,7,6
1513908613,6,3
1513923013,4,1
1513937414,3,7
1513951813,5,5
1513966213,7,2
1513980613,3,5
1513995013,0,5
1514009413,2,1
1514023813,1,4
1514038213,2,4
1514052613,1,8
1514067014,5,6
1514081413,1,3
1514095813,4,1
1514110213,1,8
1514124613,10,5
1514139013,8,2
1514153412,3,0
1514167813,1,3
1514182213,1,1
1514196612,0,2
1514211013,9,3
1514225413,2,1
1514239813,1,0
1514254213,2,3
1514268613,0,3
1514283013,1,10
1514297414,9,7
1514311813,3,2
1514326214,3,1
1514340614,0,2
1514355013,2,1
1514369413,2,10
1514383813,18,3
1514398213,3,1
1514412614,6,1
1514427014,2,1
1514441413,2,4
1514455813,4,7
1514470213,14,3
1514484614,3,1
1514499013,4,1
1514513413,3,1
1514527813,6,11
1514542212,4,11
1514553013,7,4
