DateTime,Entries,UniqueIPs
1512702616,59,59
1512717015,45,45
1512731416,50,50
1512745814,49,49
1512760215,54,54
1512774614,55,55
1512789131,57,57
1512800358,57,57
1512814214,57,57
1512828615,59,59
1512843014,58,58
1512857414,58,58
1512871815,73,73
1512886214,69,69
1512900614,61,61
1512915014,57,57
1512929414,54,54
1512943814,64,64
1512958214,65,65
1512972613,67,67
1512987014,67,67
1513001416,73,73
1513015814,66,66
1513030214,59,59
1513044613,57,57
1513059013,59,59
1513073414,65,65
1513087814,71,71
1513102213,71,71
1513116614,65,65
1513131016,71,71
1513145413,64,64
1513159814,73,73
1513174214,74,74
1513188617,79,79
1513203015,88,88
1513217416,90,90
1513231814,84,84
1513246214,83,83
1513260615,78,78
1513275015,81,81
1513289414,77,77
1513303814,68,68
1513318214,62,62
1513332614,59,59
1513347014,53,53
1513361414,44,44
1513375814,46,46
1513390214,39,39
1513404614,40,40
1513419014,35,35
1513433414,36,36
1513447814,40,40
1513462215,43,43
1513476615,54,54
1513491014,52,52
1513505414,48,48
1513519813,51,51
1513534214,50,50
1513548614,49,49
1513563012,50,50
1513577413,47,47
1513591813,42,42
1513606213,43,43
1513620614,45,45
1513635013,38,38
1513649416,42,42
1513663813,47,47
1513678217,48,48
1513692613,54,54
1513707015,55,55
1513721413,54,54
1513735815,57,57
1513750213,50,50
1513764613,52,52
1513779014,55,55
1513793414,56,56
1513807814,51,51
1513822213,46,46
1513836613,47,47
1513851014,43,43
1513865414,43,43
1513879813,41,41
1513894214,42,42
1513908613,45,45
1513923013,48,48
1513937414,44,44
1513951813,44,44
1513966213,49,49
1513980613,47,47
1513995013,42,42
1514009413,43,43
1514023813,40,40
1514038213,38,38
1514052613,31,31
1514067014,30,30
1514081413,28,28
1514095813,31,31
1514110213,24,24
1514124613,29,29
1514139013,35,35
1514153412,38,38
1514167813,36,36
1514182213,36,36
1514196612,34,34
1514211013,40,40
1514225413,41,41
1514239813,42,42
1514254213,41,41
1514268613,38,38
1514283013,29,29
1514297414,31,31
1514311813,32,32
1514326214,34,34
1514340614,32,32
1514355013,33,33
1514369413,25,25
1514383813,40,40
1514398213,42,42
1514412614,47,47
1514427014,48,48
1514441413,46,46
1514455813,43,43
1514470213,54,54
1514484614,56,56
1514499013,59,59
1514513413,61,61
1514527813,56,56
1514542212,49,49
1514553013,52,52
1514567413,54,54
1514581813,53,53
1514596215,51,51
1514610613,48,48
1514625014,40,40
1514639414,38,38
1514653813,39,39
1514668214,35,35
1514682613,33,33
1514697014,32,32
1514711413,29,29
1514725813,35,35
1514740213,39,39
1514754613,42,42
1514769013,41,41
1514783413,39,39
1514797813,40,40
1514812212,40,40
1514826612,41,41
1514841012,40,40
1514855413,40,40
1514869813,33,33
1514884212,27,27
1514898612,30,30
1514913012,28,28
1514927412,28,28
1514941812,27,27
1514998502,33,33
1515010211,29,29
1515024611,30,30
1515039011,31,31
1515053411,28,28
1515067811,28,28
1515082232,28,28
1515096611,28,28
1515111011,26,26
1515125411,28,28
1515139811,26,26
1515154211,25,25
1515168611,27,27
1515183019,28,28
1515197412,21,21
1515211812,23,23
1515226212,21,21
1515240611,21,21
1515255012,22,22
1515269411,21,21
1515283811,21,21
1515298211,21,21
1515312611,16,16
1515327011,16,16
1515341411,18,18
1515355811,18,18
1515370210,18,18
1515384611,20,20
1515399012,24,24
1515413411,29,29
1515427811,36,36
1515442214,39,39
1515456613,41,41
1515471012,44,44
1515485412,42,42
1515499812,45,45
1515514213,48,48
1515528616,50,50
1515543012,47,47
1515557412,40,40
1515571812,34,34
1515586214,34,34
1515600614,36,36
1515615012,37,37
1515629412,38,38
1515643812,40,40
1515658212,33,33
1515672612,32,32
1515687012,31,31
1515701413,32,32
1515715814,29,29
1515730212,32,32
1515744612,27,27
1515759012,24,24
1515773412,25,25
1515787812,26,26
1515802212,27,27
1515831013,28,28
1515845413,29,29
1515859813,27,27
1515874213,40,40
1515888613,69,69
1515903013,89,89
1515917412,97,97
1515931812,105,105
1515946212,129,129
1515960612,156,156
1515975012,170,170
1515989412,185,185
1516003812,187,187
1516018212,233,233
1516032612,257,257
1516047012,240,240
1516061412,227,227
1516075812,223,223
1516090212,209,209
1516104612,183,183
1516119012,175,175
1516133412,165,165
1516147819,166,166
1516162221,164,164
1516176626,96,96
1516191024,78,78
1516205426,77,77
1516219832,86,86
1516234229,83,83
1516248629,84,84
1516263028,86,86
1516277428,89,89
1516291823,93,93
1516306220,88,88
1516320619,91,91
1516335019,90,90
1516349417,84,84
1516363811,76,76
1516378219,68,68
1516392612,67,67
1516407012,62,62
1516421411,54,54
1516435812,43,43
1516450212,34,34
1516464614,29,29
1516479016,33,33
1516493420,36,36
1516507811,37,37
1516522211,40,40
1516536611,42,42
1516551011,41,41
1516565416,43,43
1516579811,40,40
1516594211,39,39
1516608612,34,34
1516623011,32,32
1516637414,24,24
1516651814,27,27
1516666211,25,25
1516680613,22,22
1516695014,21,21
1516709411,17,17
1516723812,20,20
1516738212,23,23
1516752612,25,25
1516767012,23,23
1516781413,22,22
1516795812,23,23
1516810213,23,23
1516824615,26,26
1516839017,22,22
1516853420,25,25
1516867813,25,25
1516882213,23,23
1516896615,22,22
1516911016,26,26
1516925412,28,28
1516939815,28,28
1516954212,26,26
1516968612,29,29
1516983016,32,32
1516997413,36,36
1517011812,35,35
1517026212,36,36
1517040611,36,36
1517055012,35,35
1517069412,37,37
1517083814,35,35
1517098221,37,37
1517112613,38,38
1517127012,32,32
1517141411,38,38
1517155812,42,42
1517170216,46,46
1517184616,45,45
1517199011,48,48
1517213411,53,53
1517227811,60,60
1517242221,66,66
1517256616,65,65
1517271017,69,69
1517285412,68,68
1517299812,64,64
1517314212,69,69
1517328612,70,70
1517343012,76,76
1517357418,73,73
1517371812,66,66
1517386212,65,65
1517400612,65,65
1517415015,67,67
1517425813,69,69
1517440215,73,73
1517454612,71,71
1517469013,69,69
1517483413,70,70
1517497813,69,69
1517512213,75,75
1517526615,74,74
1517541017,72,72
1517555412,73,73
1517569813,76,76
1517584226,81,81
1517598615,81,81
1517613013,78,78
1517627413,78,78
1517641813,77,77
1517656213,78,78
1517670612,75,75
1517685012,76,76
1517699413,71,71
1517713815,66,66
1517728213,54,54
1517742614,51,51
1517757013,51,51
1517771412,45,45
1517785813,37,37
1517800213,31,31
1517814613,27,27
1517829012,28,28
1517843416,28,28
1517857816,31,31
1517872213,29,29
1517886615,30,30
1517901012,30,30
1517915413,29,29
1517929815,34,34
1517944216,34,34
1517958612,34,34
1517973014,34,34
1517987411,36,36
1518001811,37,37
1518016216,40,40
1518030626,42,42
1518045014,37,37
1518059415,38,38
1518073813,34,34
1518088213,34,34
1518102612,33,33
1518117024,32,32
1518131411,31,31
1518145812,32,32
1518160212,31,31
1518174612,28,28
1518189012,31,31
1518203411,33,33
1518217811,31,31
1518246612,31,31
1518261012,33,33
1518275412,33,33
1518289819,28,28
1518304218,29,29
1518318615,27,27
1518333011,23,23
1518347412,23,23
1518361813,24,24
1518376211,26,26
1518390619,28,28
1518405011,25,25
1518419411,21,21
1518433811,25,25
1518448211,23,23
1518462612,24,24
1518477018,27,27
1518491411,29,29
1518505813,26,26
1518520212,29,29
1518534612,27,27
1518549011,29,29
1518563413,29,29
1518577813,27,27
1518592211,23,23
1518606610,29,29
1518621011,29,29
1518635413,28,28
1518649813,27,27
1518664213,25,25
1518678610,27,27
1518693011,28,28
1518707412,36,36
1518721811,37,37
1518736220,40,40
1518750619,37,37
1518765010,31,31
1518779410,34,34
1518793812,37,37
1518808210,40,40
1518822612,41,41
1518837012,40,40
1518851410,33,33
1518865811,32,32
1518880212,34,34
1518894611,35,35
1518909014,41,41
1518923416,43,43
1518937810,35,35
1518952210,37,37
1518966610,30,30
1518981012,31,31
1518995410,32,32
1519009810,31,31
1519024212,30,30
1519038610,28,28
1519053010,29,29
1519067411,32,32
1519081815,34,34
1519096210,35,35
1519110610,37,37
1519125010,39,39
1519139410,40,40
1519153811,44,44
1519168214,45,45
1519182617,42,42
1519197010,37,37
1519211410,36,36
1519225817,34,34
1519240211,32,32
1519254611,33,33
1519269057,31,31
1519283410,26,26
1519297811,25,25
1519312212,26,26
1519326610,36,36
1519341012,40,40
1519355432,36,36
1519369810,34,34
1519384208,36,36
1519398610,42,42
1519413011,39,39
1519427415,41,41
1519441810,42,42
1519456209,40,40
1519470610,27,27
1519485018,26,26
1519499416,30,30
1519513816,32,32
1519535414,30,30
1519549809,24,24
1519564209,27,27
1519578611,28,28
1519593008,29,29
1519607409,28,28
1519621812,29,29
1519636209,27,27
1519650610,27,27
1519665012,30,30
1519679410,35,35
1519693809,38,38
1519708209,41,41
1519722614,37,37
1519737010,42,42
1519751410,46,46
1519765819,49,49
1519780210,46,46
1519794610,45,45
1519809010,40,40
