DateTime,Entries,UniqueIPs
1519680027,1553,1569
1519687226,1568,1584
1519690829,1533,1549
1519694427,1549,1565
1519698029,1542,1558
1519701026,1534,1550
1519704629,1522,1538
1519708229,1539,1555
1519711829,1540,1556
1519715427,1543,1559
1519722626,1533,1549
1519726229,1506,1521
1519728026,1502,1516
1519731628,1511,1526
1519735227,1509,1525
1519738829,1515,1531
1519742427,1518,1534
1519744229,1502,1518
1519747826,1533,1549
1519751429,1544,1563
1519753226,1558,1577
1519756829,1557,1575
1519764626,1560,1578
1519768235,1528,1546
1519771826,1545,1563
1519775429,1628,1646
1519779026,1626,1644
1519782029,1645,1663
1519785632,1788,1807
1519789226,1807,1827
1519792830,1871,1890
1519794627,1933,1952
1519798230,2092,2111
1519802430,2133,2153
1519806027,2153,2173
1519809631,2153,2173
1519813228,2158,2179
1519816231,2174,2194
1519819828,2171,2191
1519824031,2150,2170
1519827628,2166,2186
1519831230,2170,2190
1519834828,2143,2162
1519837830,2147,2166
1519841428,2166,2185
1519849228,2162,2181
1519856428,2158,2177
1519860030,2153,2172
1519863628,2173,2191
1519867230,2162,2180
1519870828,2152,2170
1519874430,2163,2180
1519878028,2159,2176
1519882230,1920,1936
1519885827,1937,1953
1519888830,1949,1965
1519892427,1938,1953
1519895429,1908,1923
1519899650,1897,1912
1519903227,1911,1926
1519906828,1901,1917
1519910426,1924,1940
1519913429,1921,1937
1519917029,1918,1935
1519920629,1939,1956
1519924227,1953,1970
1519927829,1933,1949
1519932028,1951,1967
1519935627,1922,1937
1519939232,1940,1955
1519942226,1961,1976
1519946429,1938,1953
1519950027,1976,1991
1519953629,1984,2000
1519956627,1964,1980
1519963826,1973,1990
1519967429,1842,1859
1519971026,1857,1874
1519975229,1598,1614
1519978826,1604,1620
1519982429,1589,1605
1519985426,1607,1623
1519989629,1441,1456
1519993226,1456,1471
1519996830,1451,1466
1520000427,1438,1454
1520003428,1425,1441
1520007026,1439,1455
1520010631,1414,1431
1520014226,1428,1445
1520018430,1419,1437
1520022026,1438,1456
