DateTime,AddedIPs,RemovedIPs
1519669227,1,11
1519672229,7,0
1519676430,5,5
1519680027,5,0
1519687226,4,8
1519690829,2,10
1519694427,3,16
1519698029,4,12
1519701026,3,10
1519704629,6,0
1519708229,2,2
1519711829,5,4
1519715427,7,4
1519722626,8,6
1519726229,4,8
1519728026,5,3
1519731628,6,0
1519735227,2,0
1519738829,4,11
1519742427,8,8
1519744229,0,3
1519747826,10,2
1519751429,8,9
1519753226,8,12
1519756829,6,0
1519764626,10,19
1519768235,5,4
1519771826,5,8
1519775429,72,8
1519779026,19,13
1519782029,25,0
1519785632,126,0
1519789226,16,8
1519792830,80,7
1519794627,95,4
1519798230,267,4
1519802430,58,11
1519806027,8,0
1519809631,3,18
1519813228,9,0
1519816231,14,5
1519819828,4,3
1519824031,5,15
1519827628,5,0
1519831230,3,2
1519834828,7,4
1519837830,5,8
1519841428,5,42
1519849228,8,70
1519856428,10,5
1519860030,2,10
1519863628,7,0
1519867230,7,14
1519870828,1,18
1519874430,8,0
1519878028,3,6
1519882230,3,17
1519885827,6,0
1519888830,0,4
1519892427,1,6
1519895429,4,8
1519899650,1,16
1519903227,2,0
1519906828,5,4
1519910426,10,2
1519913429,6,6
1519917029,13,7
1519920629,13,5
1519924227,5,1
1519927829,5,0
1519932028,1,0
1519935627,3,0
1519939232,8,202
1519942226,7,0
1519946429,8,429
1519950027,22,0
1519953629,20,0
1519956627,1,13
1519963826,5,5
1519967429,2,3
1519971026,1,3
1519975229,10,10
1519978826,9,0
1519982429,4,8
1519985426,7,6
1519989629,3,3
1519993226,6,0
1519996830,1,12
1520000427,5,4
1520003428,5,3
1520007026,5,7
1520010631,5,5
1520014226,3,4
1520018430,3,8
1520022026,5,0
1520025029,7,0
1520029231,7,18
1520032827,8,0
1520036428,2,5
1520040026,7,6
1520043629,3,4
1520046627,2,6
1520050229,2,2
1520053825,4,5
1520055628,2,12
1520059828,5,5
1520063425,3,0
1520066428,4,10
1520074226,10,5
1520077228,2,6
1520080827,6,0
1520082629,1,2
1520086833,6,10
1520090427,16,0
1520094029,5,4
1520097027,6,6
1520104226,13,4
1520107829,4,7
1520111426,3,5
1520115028,1,3
1520122226,24,18
1520126428,10,25
1520130026,5,0
1520133629,2,9
1520137244,5,3
1520140233,1,6
1520143827,4,1
1520148028,4,10
1520151626,4,0
1520155229,5,6
1520158227,4,3
1520160029,1,21
1520163626,1,0
1520167228,3,0
1520170826,4,10
1520174428,4,0
1520178027,0,3
1520181629,2,2
1520185226,3,7
1520187029,0,18
1520190626,6,0
1520197826,11,21
1520201429,5,0
1520205027,9,11
1520208629,4,15
1520212828,4,8
1520216426,6,0
1520220029,3,9
1520223026,4,17
1520226629,7,0
1520233825,5,12
1520237429,8,5
1520239226,0,7
1520242829,3,0
1520246426,4,32
1520250029,2,0
1520253626,2,0
1520257228,4,7
1520260826,8,4
1520268627,5,9
1520271629,2,2
1520275226,2,6
1520277028,3,4
1520284226,7,17
1520288430,2,0
1520292026,6,0
1520295629,3,7
1520298632,1,10
1520302229,2,8
1520305825,4,6
1520309425,2,6
1520316626,12,192
1520320229,5,0
1520323827,7,14
1520325628,3,0
1520329226,1,3
1520332828,4,5
1520336426,3,3
1520338229,2,7
1520341826,3,8
1520346028,6,7
1520349628,5,0
1520352630,1,13
1520356227,4,0
1520358035,4,7
1520361632,8,4
1520365835,6,15
1520368834,5,0
1520372435,4,4
1520376033,6,7
1520379635,5,6
1520383232,3,5
1520390432,3,35
1520394035,5,2
1520397632,2,5
1520401234,2,0
1520404832,4,226
1520410232,4,0
1520413835,4,17
1520417432,2,8
1520421034,6,15
1520424632,4,5
1520428234,6,5
1520431832,5,0
1520435435,7,12
1520437231,8,2
1520440834,5,5
1520444432,4,10
1520448035,12,9
1520451632,5,0
1520458833,16,14
1520466633,19,13
1520470234,2,9
1520473831,4,2
1520476844,0,8
1520480432,1,5
1520484035,5,139
1520487632,1,0
1520491234,4,235
1520494832,3,13
1520498435,3,10
1520502033,3,14
1520505635,7,0
1520509834,3,160
1520513432,3,0
1520517035,8,4
1520520632,2,6
1520523634,2,14
1520527232,2,9
1520530834,7,4
1520535035,5,6
1520538633,4,0
1520542235,6,14
1520545832,11,5
1520548836,12,6
1520553035,7,17
1520556632,10,0
1520563832,11,10
1520566833,1,0
1520570433,5,7
1520577632,9,15
1520581834,4,21
1520585432,6,0
1520589035,4,2
1520592632,4,10
1520596234,7,0
1520599233,4,10
1520607032,6,14
1520610635,7,6
1520614232,2,7
1520617234,4,8
1520620832,4,2
1520622635,3,0
1520626835,3,11
1520630432,7,5
1520634035,2,0
1520637634,3,19
1520641235,24,0
1520644832,69,6
1520648434,59,9
1520651432,8,0
1520655034,8,9
1520658638,15,0
1520662232,7,6
1520665834,7,6
1520669432,5,7
1520676632,17,16
1520680835,12,7
1520684433,2,0
1520689234,7,3
1520697033,8,16
1520700036,3,5
1520707233,19,3
1520715032,15,11
1520718636,2,4
1520722233,3,9
1520725235,3,0
1520728833,6,4
1520733035,7,15
1520736632,4,0
1520739635,3,4
1520746832,9,7
1520751035,4,4
1520754632,2,0
1520758237,3,9
1520761232,1,7
1520764836,4,0
1520768433,4,12
1520775632,10,11
1520782833,13,8
1520790035,11,8
1520793635,7,4
1520797233,5,11
1520800835,8,0
1520808033,14,16
1520811636,8,3
1520816435,4,8
1520819433,2,0
1520823034,5,8
1520826033,5,4
1520829635,5,0
1520833232,3,11
1520836834,1,0
1520844033,8,3
1520851231,7,20
1520854834,7,3
1520858433,3,6
1520865632,3,18
1520869235,2,0
1520877035,7,5
1520880032,6,8
1520887832,6,5
1520890834,4,9
1520894433,10,0
1520899235,12,17
1520902232,4,0
1520905235,4,6
1520912432,13,13
1520916035,5,15
1520919634,4,0
1520923237,5,4
1520926832,3,5
1520930434,5,1
1520934033,3,12
1520937635,3,0
1520944832,14,5
1520948435,1,1
1520952032,6,0
1520955633,6,5
1520962232,11,11
1520964635,5,4
1520966432,3,5
1520970035,3,0
1520973632,4,4
1520977235,1,12
1520980234,4,0
1520982635,1,13
1520986232,3,3
1520990435,7,9
1520994032,2,0
1520997036,9,7
1521000632,1,2
1521004242,4,5
1521007832,7,3
1521015033,14,10
1521018636,3,7
1521022232,3,0
1521025835,3,9
1521027634,4,7
1521031234,5,0
1521034232,2,4
1521037832,4,5
1521040232,4,2
1521043852,3,5
1521047432,2,1
1521051032,6,2
1521054636,5,1
1521058232,3,7
1521060036,3,0
1521063633,2,0
1521067235,4,15
1521070833,3,0
1521072635,1,8
1521076233,4,8
1521079834,0,3
1521083433,1,8
1521086435,3,4
1521090032,2,4
1521093632,3,6
1521097235,2,3
1521099632,1,2
1521103235,3,0
1521106833,5,10
1521113432,7,6
1521115835,1,0
1521119432,2,12
1521121234,5,4
1521124832,9,0
1521127834,8,3
1521130232,3,5
1521133835,2,5
1521135632,3,3
1521139235,7,0
1521142833,7,0
1521146435,5,12
1521150033,4,10
1521153635,4,9
1521157233,6,7
1521160834,5,0
1521168032,67,12
1521171635,71,2
1521173432,51,9
1521177034,16,0
1521180632,3,0
1521184235,9,11
1521187832,6,0
1521191435,8,14
1521195033,5,6
1521199235,4,11
1521202832,2,0
1521206434,4,13
1521210032,5,0
1521213034,4,7
1521216633,3,10
1521220835,4,7
1521224433,4,0
1521228035,5,0
1521231033,3,7
1521238233,13,10
1521242435,46,13
1521246032,9,11
1521249034,7,19
1521252633,11,0
1521254435,8,8
1521257432,3,8
1521261032,5,10
1521262832,2,6
1521265234,6,0
1521268232,1,5
1521270034,2,4
1521273631,5,0
1521277234,7,7
1521281435,1,4
1521285634,2,8
1521289232,3,0
1521292234,3,4
1521295832,4,0
1521299438,6,6
1521301232,1,2
1521304849,2,0
1521308448,4,7
1521312052,6,0
1521315644,13,20
1521319848,9,8
1521323441,5,6
1521327035,6,3
1521330032,4,0
1521337232,3,18
1521340834,4,0
1521344432,0,8
1521348036,2,8
1521349832,99,0
1521352835,231,42
1521356434,2,0
1521358835,2,50
1521362438,4,0
1521366042,5,33
1521369037,13,12
1521375033,3,19
1521376835,1,0
1521380433,5,0
1521383434,7,5
1521387039,18,0
1521390634,2,4
1521394243,7,0
1521396051,6,7
1521398455,16,5
1521402049,12,2
1521405656,10,10
1521409234,5,0
1521412859,7,4
1521416445,1,6
1521420056,3,0
1521421844,1,0
1521425436,7,9
1521428432,0,2
1521432032,3,5
1521435634,4,8
1521439231,3,5
1521442832,3,11
1521446434,3,0
1521450032,1,9
1521451834,1,0
1521454231,1,0
1521457232,3,2
1521460834,4,4
1521464432,9,18
1521466234,1,0
1521468632,2,0
1521472234,2,10
1521475831,5,21
1521479433,3,0
1521483030,8,6
1521484833,3,18
1521488432,9,0
1521492032,2,0
1521495631,11,6
1521499233,9,8
1521507031,309,13
1521510035,559,6
1521513635,270,10
1521517838,237,7
1521521434,172,3
1521524438,38,2
1521528034,5,4
1521529838,4,0
1521533436,3,6
1521537038,11,7
1521540636,5,4
1521544238,1,16
