DateTime,AddedIPs,RemovedIPs
1519680027,55,42
1519687226,151,127
1519690829,58,66
1519694427,43,86
1519698029,47,54
1519701026,57,63
1519704629,63,52
1519708229,55,87
1519711829,65,94
1519715427,69,196
1519722626,100,120
1519726229,55,51
1519728026,47,41
1519731628,60,59
1519735227,46,65
1519738829,65,54
1519742427,72,59
1519744229,32,37
1519747826,83,65
1519751429,60,59
1519753226,49,30
1519756829,75,77
1519764626,133,128
1519768235,60,55
1519771826,60,68
1519775429,157,63
1519779026,64,80
1519782029,82,75
1519785632,191,50
1519789226,72,77
1519792830,145,58
1519794627,169,46
1519798230,335,164
1519802430,112,149
1519806027,56,57
1519809631,44,54
1519813228,38,51
1519816231,69,61
1519819828,38,39
1519824031,28,26
1519827628,53,74
1519831230,57,62
1519834828,35,29
1519837830,63,45
1519841428,62,60
1519849228,109,89
1519856428,116,119
1519860030,35,33
1519863628,91,65
1519867230,60,60
1519870828,27,34
1519874430,86,76
1519878028,50,52
1519882230,53,173
1519885827,59,290
1519888830,52,66
1519892427,28,49
1519895429,51,57
1519899650,51,82
1519903227,43,45
1519906828,36,198
1519910426,60,38
1519913429,39,39
1519917029,76,57
1519920629,70,69
1519924227,54,63
1519927829,71,64
1519932028,88,51
1519935627,82,74
1519939232,62,68
1519942226,54,51
1519946429,60,57
1519950027,92,70
1519953629,75,69
1519956627,22,49
1519963826,97,120
1519967429,77,51
1519971026,46,57
1519975229,82,61
1519978826,66,88
1519982429,53,55
1519985426,65,54
1519989629,55,74
1519993226,71,68
1519996830,36,46
1520000427,46,85
1520003428,51,49
1520007026,59,41
1520010631,56,50
1520014226,59,66
1520018430,86,67
1520022026,59,61
1520025029,66,68
1520029231,75,57
1520032827,65,65
1520036428,62,73
1520040026,62,64
1520043629,46,64
1520046627,34,45
1520050229,49,69
1520053825,58,53
1520055628,23,28
1520059828,72,49
1520063425,61,68
1520066428,49,48
1520074226,109,112
1520077228,34,64
1520080827,53,36
1520082629,51,37
1520086833,71,53
1520090427,78,69
1520094029,52,73
1520097027,58,56
1520104226,119,107
1520107829,54,57
1520111426,69,58
1520115028,68,60
1520122226,123,116
1520126428,66,61
1520130026,55,61
1520133629,58,71
1520137244,51,58
1520140233,48,54
1520143827,62,57
1520148028,73,73
1520151626,55,90
1520155229,42,46
1520158227,55,57
1520160029,18,20
1520163626,78,57
1520167228,68,52
1520170826,47,62
1520174428,49,61
1520178027,46,66
1520181629,61,42
1520185226,58,62
1520187029,18,17
1520190626,87,47
1520197826,119,112
1520201429,62,63
1520205027,78,69
1520208629,62,67
1520212828,66,55
1520216426,54,68
1520220029,36,65
1520223026,48,60
1520226629,42,39
1520233825,94,101
1520237429,53,55
1520239226,23,21
1520242829,48,60
1520246426,41,61
1520250029,50,56
1520253626,58,40
1520257228,72,56
1520260826,75,50
1520268627,107,115
1520271629,51,58
1520275226,34,50
1520277028,41,26
1520284226,93,79
1520288430,82,65
1520292026,64,45
1520295629,49,50
1520298632,38,57
1520302229,37,55
1520305825,46,60
1520309425,61,50
1520316626,104,110
1520320229,40,54
1520323827,54,49
1520325628,22,21
1520329226,46,59
1520332828,53,42
1520336426,48,46
1520338229,27,30
1520341826,48,53
1520346028,61,46
1520349628,49,68
1520352630,47,46
1520356227,60,53
1520358035,46,39
1520361632,48,51
1520365835,82,54
1520368834,56,54
1520372435,64,55
1520376033,62,69
1520379635,61,73
1520383232,56,48
1520390432,63,98
1520394035,49,73
1520397632,37,37
1520401234,52,57
1520404832,59,38
1520406634,24,26
1520410232,42,43
1520413835,60,64
1520417432,49,63
1520421034,51,47
1520424632,45,60
1520428234,50,70
1520431832,55,56
1520435435,66,65
1520437231,44,24
1520440834,47,41
1520444432,44,42
1520448035,70,55
1520451632,73,52
1520458833,149,123
1520466633,137,110
1520470234,52,71
1520473831,49,89
1520476844,55,55
1520480432,54,51
1520484035,49,59
1520487632,62,53
1520491234,65,52
1520494832,61,71
1520498435,49,44
1520502033,56,57
1520505635,61,45
1520509834,77,82
1520513432,71,59
1520517035,57,73
1520520632,56,60
1520523634,45,38
1520527232,59,57
1520530834,64,68
1520535035,67,52
1520538633,106,63
1520542235,73,73
1520545832,71,75
1520548836,93,65
1520553035,71,75
1520556632,61,59
1520563832,91,127
1520566833,36,63
1520570433,71,55
1520577632,109,104
1520581834,68,86
1520585432,61,76
1520589035,62,68
1520592632,58,57
1520596234,59,63
1520599233,75,65
1520607032,118,116
1520610635,59,58
1520614232,54,82
1520617234,52,66
1520620832,49,50
1520622635,42,17
1520626835,92,81
1520630432,82,54
1520634035,69,52
1520637634,69,73
1520641235,66,50
1520644832,132,93
1520648434,106,100
1520651432,69,66
1520655034,70,57
1520658638,68,59
1520662232,47,54
1520665834,46,63
1520669432,64,67
1520676632,119,95
1520680835,111,62
1520684433,63,72
1520689234,61,107
1520697033,109,136
1520700036,42,35
1520707233,152,117
1520715032,156,111
1520718636,50,65
1520722233,53,73
1520725235,46,39
1520728833,53,62
1520733035,54,66
1520736632,61,60
1520739635,41,47
1520746832,105,111
1520751035,51,88
1520754632,48,90
1520758237,54,65
1520761232,41,90
1520764836,60,54
1520768433,68,63
1520775632,99,133
1520782833,105,120
1520790035,114,85
1520793635,63,59
1520797233,66,63
1520800835,83,54
1520808033,138,97
1520811636,60,79
1520816435,59,91
1520819433,39,62
1520823034,65,66
1520826033,50,56
1520829635,68,53
1520833232,43,59
1520836834,63,63
1520844033,112,104
1520851231,102,110
1520854834,65,64
1520858433,59,58
1520865632,105,119
1520869235,54,58
1520877035,111,109
1520880032,80,52
1520887832,118,117
1520890834,67,67
1520894433,83,69
1520899235,85,77
1520902232,48,70
1520905235,45,58
1520912432,103,99
1520916035,55,60
1520919634,41,55
1520923237,53,52
1520926832,43,47
1520930434,57,61
1520934033,53,64
1520937635,50,46
1520944832,107,111
1520948435,44,62
1520952032,56,53
1520955633,70,57
1520962232,110,101
1520964635,41,39
1520966432,32,17
1520970035,52,60
1520973632,78,74
1520977235,44,45
1520980234,68,51
1520982635,37,34
1520986232,63,60
1520990435,66,63
1520994032,43,67
1520997036,54,49
1521000632,51,49
1521004242,49,66
1521007832,74,59
1521015033,99,125
1521018636,56,55
1521022232,35,67
1521025835,55,47
1521027634,24,29
1521031234,44,54
1521034232,42,44
1521037832,43,52
1521040232,23,19
1521043852,47,47
1521047432,58,44
1521051032,65,58
1521054636,72,50
1521058232,57,69
1521060036,38,29
1521063633,53,48
1521067235,50,44
1521070833,54,53
1521072635,40,34
1521076233,59,59
1521079834,48,64
1521083433,40,53
1521086435,44,46
1521090032,40,52
1521093632,34,41
1521097235,53,46
1521099632,32,33
1521103235,63,48
1521106833,55,54
1521113432,84,93
1521115835,27,30
1521119432,43,50
1521121234,41,42
1521124832,70,59
1521127834,60,62
1521130232,42,35
1521133835,43,54
1521135632,29,24
1521139235,64,66
1521142833,65,61
1521146435,65,63
1521150033,61,49
1521153635,57,56
1521157233,55,50
1521160834,55,46
1521168032,137,119
1521171635,119,72
1521173432,76,26
1521177034,61,99
1521180632,70,46
1521184235,43,42
1521187832,52,54
1521191435,48,53
1521195033,56,35
1521199235,51,64
1521202832,50,58
1521206434,52,49
1521210032,50,57
1521213034,59,42
1521216633,44,50
1521220835,72,69
1521224433,62,39
1521228035,66,61
1521231033,55,69
1521238233,153,105
1521242435,123,106
1521246032,55,73
1521249034,42,60
1521252633,55,47
1521254435,23,22
1521257432,40,59
1521261032,41,45
1521262832,22,31
1521265234,22,19
1521268232,30,42
1521270034,19,34
1521273631,57,40
1521277234,53,73
1521279635,21,84
1521281435,29,17
1521285634,59,69
1521289232,41,55
1521292234,45,48
1521295832,33,47
1521299438,54,53
1521301232,28,18
1521304849,43,48
1521308448,66,41
1521312052,69,58
1521315644,57,62
1521319848,57,66
1521323441,74,41
1521327035,55,58
1521330032,59,49
1521337232,73,118
1521340834,56,65
1521344432,35,57
1521348036,37,40
1521349832,123,24
1521352835,257,40
1521356434,24,48
1521358835,25,19
1521362438,43,33
1521366042,57,98
1521369037,65,43
1521371435,9,26
1521375033,38,48
1521376835,24,27
1521380433,42,55
1521383434,27,33
1521387039,38,16
1521390634,32,32
1521394243,70,40
1521396051,24,18
1521398455,36,27
1521402049,61,32
1521405656,45,39
1521409234,52,39
1521412859,53,49
1521416445,27,32
1521420056,41,49
1521421844,18,41
1521425436,41,51
1521428432,17,23
1521432032,26,55
1521435634,51,53
1521439231,33,29
1521442832,24,19
1521446434,44,38
1521450032,39,33
1521451834,16,19
1521454231,16,11
1521457232,29,42
1521460834,20,36
1521464432,75,39
1521466234,36,22
1521468632,11,12
1521472234,30,60
1521475831,45,316
1521479433,47,67
1521483030,49,37
1521484833,39,47
1521488432,51,45
1521492032,51,65
1521495631,80,67
1521499233,71,53
1521507031,424,97
1521510035,606,41
1521513635,343,196
1521517838,310,56
1521521434,202,219
1521524438,120,39
1521528034,41,48
1521529838,25,22
1521533436,39,38
1521537038,51,43
1521540636,29,36
1521544238,31,42
