DateTime,AddedIPs,RemovedIPs
1515091219,107,87
1515104420,102,69
1515114619,76,77
1515129019,76,99
1515140422,66,72
1515152421,86,109
1515163822,115,143
1515174022,94,175
1515186621,138,0
1515199220,83,65
1515213621,77,88
1515224420,56,95
1515235223,63,96
1515246022,110,119
1515260419,84,62
1515273023,85,174
1515287421,93,120
1515301818,83,103
1515314420,88,105
1515327021,130,128
1515338421,80,78
1515350421,100,103
1515364221,89,82
1515376220,80,92
1515386420,83,96
1515397220,72,0
1515409221,98,102
1515423620,92,81
1515435022,79,78
1515447020,63,72
1515461419,62,94
1515475818,82,98
1515487220,134,197
1515499820,122,94
1515514222,89,65
1515526820,71,64
1515539420,88,98
1515552019,102,100
1515563419,140,94
1515573622,69,90
1515583222,100,0
1515594022,55,44
1515607819,58,71
1515619819,79,73
1515633018,85,105
1515643819,111,110
1515657621,169,82
1515667822,91,65
1515678022,70,71
1515692422,78,80
1515706220,70,95
1515719420,109,202
1515733819,105,0
1515747623,71,122
1515759023,72,86
1515769822,62,115
1515782422,86,105
1515796821,144,146
1515807621,96,119
1515818421,87,77
1515832821,93,0
1515847227,69,44
1515861021,56,168
1515875421,97,110
1515886820,118,80
1515897620,84,100
1515912019,100,103
1515922823,68,77
1515935423,56,85
1515949221,93,110
1515963622,126,93
1515975020,107,83
1515989418,81,103
1516001420,84,79
1516014022,88,74
1516023623,77,91
1516035623,71,123
1516046422,86,109
1516059020,104,0
1516073420,89,94
1516083020,76,99
1516097422,74,61
1516108221,60,89
1516120222,72,107
1516134622,114,62
1516147220,103,194
1516161022,281,75
1516171820,147,65
1516182629,98,80
1516192851,72,0
1516204222,88,86
1516214422,77,82
1516228820,99,123
1516240220,110,101
1516251020,85,102
1516261221,78,75
1516275621,81,55
1516286421,82,74
1516300822,71,104
1516314621,95,114
1516326020,83,119
1516340420,84,115
1516354822,102,180
1516368623,92,102
1516380027,76,83
1516392622,73,112
1516406421,93,118
1516420220,93,149
1516430420,75,107
1516444820,101,102
1516455621,91,58
1516468220,120,58
1516482021,111,82
1516495220,60,96
1516506021,75,93
1516520420,84,0
1516531224,83,208
1516542022,75,0
1516552824,76,195
1516566622,141,0
1516576221,80,62
1516585220,60,97
1516596020,46,93
1516606820,72,112
1516619421,44,86
1516630222,75,84
1516642222,72,82
1516653621,77,70
1516667420,145,68
1516680620,146,62
1516695024,96,79
1516708822,82,190
1516723223,96,87
1516736422,104,87
1516749022,102,98
1516759821,101,99
1516770620,95,87
1516782023,84,89
1516792822,70,85
1516803022,67,0
1516817422,71,94
1516830021,101,80
1516842619,102,62
1516857021,73,92
1516870823,76,146
1516885221,73,85
1516894822,80,98
1516906822,83,105
1516920022,82,116
1516934419,100,123
1516948220,79,80
1516962620,93,77
1516975822,102,64
1516988421,92,59
1517002220,82,98
1517013020,84,99
1517024419,73,138
1517035220,60,101
1517049021,73,77
1517059823,84,0
1517070622,62,60
1517083220,114,52
1517097621,118,74
1517109019,79,84
1517123420,60,111
1517137221,72,172
1517146823,65,65
1517161220,81,102
1517175020,129,64
1517189419,141,66
1517202620,107,84
1517217021,49,81
1517227823,69,82
1517239224,65,72
1517251220,55,56
1517263822,125,97
1517278221,110,73
1517289621,85,70
1517303423,84,40
1517314223,71,74
1517325023,71,0
1517339420,86,63
1517353822,89,216
1517364621,77,75
1517375420,53,0
1517388025,71,113
1517400021,80,40
1517410823,74,67
1517421624,84,68
1517436020,57,111
1517445621,57,106
1517456422,59,109
1517467221,48,104
1517479224,81,84
1517493024,89,57
1517506220,93,52
1517518824,135,39
1517532022,68,52
1517542822,37,65
1517556618,56,194
1517567423,63,109
1517581821,83,100
1517594420,93,69
1517605823,94,50
1517618421,129,85
1517631020,81,92
1517643620,58,89
1517656221,62,84
1517667022,48,76
