DateTime,Entries,UniqueIPs
1515022820,5364,5444
1515034220,5349,5429
1515044419,5344,5424
1515055222,5337,5417
1515066025,5329,5409
1515076822,5326,5406
1515091219,5318,5398
1515104420,5318,5398
1515114619,5312,5392
1515129019,5308,5388
1515140422,5291,5371
1515152421,5282,5362
1515163822,5271,5351
1515174022,5258,5338
1515186621,5283,5363
1515199220,5276,5355
1515213621,5264,5343
1515224420,5247,5326
1515246022,5236,5315
1515260419,5243,5322
1515273023,5219,5298
1515287421,5204,5283
1515301818,5198,5276
1515314420,5192,5270
1515327021,5190,5268
1515338421,5185,5263
1515350421,5179,5257
1515364221,5169,5247
1515376220,5165,5243
1515386420,5157,5234
1515409221,5156,5233
1515423620,5145,5222
1515435022,5142,5219
1515447020,5134,5211
1515461419,5128,5205
1515475818,5117,5194
1515487220,5108,5185
1515499820,5097,5174
1515514222,5091,5168
1515526820,5085,5162
1515539420,5072,5149
1515552019,5053,5130
1515563419,5046,5123
1515573622,5037,5114
1515583222,5029,5106
1515594022,5018,5095
1515607819,5011,5088
1515619819,5002,5079
1515633018,4990,5067
1515643819,4987,5064
1515657621,5040,5118
1515667822,5021,5098
1515678022,4997,5073
1515692422,4987,5062
1515706220,4984,5059
1515719420,4979,5054
1515733819,4972,5047
1515747623,4964,5039
1515759023,4956,5031
1515769822,4948,5022
1515782422,4958,5032
1515796821,4958,5032
1515807621,4952,5026
1515818421,4947,5021
1515832821,4939,5013
1515847227,4928,5002
1515861021,4917,4989
1515875421,4913,4985
1515886820,4910,4982
1515897620,4906,4978
1515912019,4780,4851
1515922823,4747,4818
1515935423,4717,4788
1515949221,4692,4763
1515963622,4673,4744
1515975020,4612,4683
1515989418,4594,4665
1516001420,4574,4645
1516014022,4561,4632
1516023623,4546,4616
1516046422,4535,4605
1516059020,4525,4595
1516073420,4517,4586
1516083020,4500,4569
1516097422,4498,4567
1516108221,4494,4563
1516120222,4486,4555
1516134622,4482,4551
1516147220,4468,4537
1516161022,4653,4724
