DateTime,AddedIPs,RemovedIPs
1515091219,295,285
1515104420,273,271
1515114619,248,251
1515129019,260,293
1515140422,289,277
1515152421,297,259
1515163822,273,328
1515174022,286,263
1515186621,330,259
1515199220,253,281
1515213621,302,309
1515224420,241,308
1515235223,262,263
1515246022,295,298
1515260419,268,266
1515273023,266,265
1515287421,265,271
1515301818,255,277
1515314420,259,240
1515327021,290,274
1515338421,240,281
1515350421,298,258
1515364221,271,255
1515376220,265,286
1515386420,253,302
1515397220,255,251
1515409221,272,299
1515423620,253,287
1515435022,289,227
1515447020,254,237
1515461419,238,260
1515475818,252,239
1515487220,307,259
1515499820,248,273
1515514222,248,270
1515526820,289,237
1515539420,288,226
1515552019,283,284
1515563419,313,328
1515573622,238,327
1515583222,301,261
1515594022,260,298
1515607819,293,268
1515619819,308,261
1515633018,292,279
1515643819,255,325
1515657621,346,284
1515667822,288,246
1515678022,290,307
1515692422,295,314
1515706220,306,255
1515719420,301,350
1515733819,296,300
1515747623,218,321
1515759023,268,209
1515769822,238,279
1515782422,315,245
1515796821,351,295
1515807621,287,269
1515818421,271,293
1515832821,283,335
1515847227,252,292
1515861021,256,266
1515875421,328,273
1515886820,281,258
1515897620,272,254
1515912019,275,330
1515922823,242,289
1515935423,247,289
1515949221,327,258
1515963622,340,273
1515975020,262,303
1515989418,260,291
1516001420,239,307
1516014022,291,238
1516023623,257,265
1516035623,260,302
1516046422,287,221
1516059020,274,281
1516073420,284,272
1516083020,205,246
1516097422,255,277
1516108221,239,254
1516120222,263,276
1516134622,341,245
1516147220,315,299
1516161022,466,300
1516171820,295,314
1516182629,242,314
1516192851,279,268
1516204222,337,274
1516214422,289,352
1516228820,366,292
1516240220,317,298
1516251020,252,372
1516261221,278,308
1516275621,310,322
1516286421,282,297
1516300822,331,280
1516314621,322,312
1516326020,298,304
1516340420,259,347
1516354822,281,285
1516368623,274,302
1516380027,250,274
1516392622,302,224
1516406421,294,278
1516420220,305,288
1516430420,266,291
1516444820,287,312
1516455621,278,289
1516468220,330,271
1516482021,281,289
1516495220,268,253
1516506021,257,280
1516520420,265,269
1516531224,265,308
1516542022,256,291
1516552824,253,262
1516566622,339,246
1516576221,261,249
1516585220,216,241
1516596020,214,290
1516606820,297,284
1516619421,231,267
1516630222,255,279
1516642222,263,261
1516653621,286,243
1516667420,320,234
1516680620,307,300
1516695024,250,318
1516708822,251,310
1516723223,296,274
1516736422,318,260
1516749022,293,266
1516759821,311,246
1516770620,291,336
1516782023,272,311
1516792822,287,298
1516803022,268,298
1516817422,300,280
1516830021,355,265
1516842619,295,313
1516857021,233,332
1516870823,261,258
1516885221,251,245
1516894822,243,252
1516906822,302,201
1516920022,258,295
1516934419,280,277
1516948220,243,309
1516962620,257,287
1516975822,277,254
1516988421,259,248
1517002220,303,221
1517013020,281,239
1517024419,233,315
1517035220,255,306
1517049021,248,290
1517059823,256,248
1517070622,271,242
1517083220,297,277
1517097621,313,236
1517109019,263,259
1517123420,229,320
1517137221,303,267
1517146823,225,277
1517161220,265,269
1517175020,356,224
1517189419,336,288
1517202620,276,289
1517217021,228,364
1517227823,340,232
1517239224,268,319
1517251220,311,269
1517263822,364,239
1517278221,294,382
1517289621,305,314
1517303423,280,383
1517314223,309,254
1517325023,280,305
1517339420,343,279
1517353822,342,297
1517364621,289,282
1517375420,214,339
1517388025,269,294
1517400021,274,300
1517410823,275,253
1517421624,274,239
1517436020,290,222
1517445621,264,230
1517456422,245,276
1517467221,244,322
1517479224,290,297
1517493024,286,299
1517506220,290,301
1517518824,352,264
1517532022,259,248
1517542822,213,291
1517556618,251,294
1517567423,280,267
1517581821,277,300
1517594420,294,250
1517605823,317,233
1517618421,291,290
1517631020,240,291
1517643620,221,282
1517656221,279,277
1517667022,252,287
1517680820,288,250
1517692219,340,257
1517706621,302,298
1517719221,240,328
1517731225,256,279
1517745625,264,234
1517759423,240,274
1517771423,319,227
1517783422,247,288
1517794220,273,257
1517804426,270,263
1517814622,223,277
1517826626,300,273
1517839223,219,295
1517853623,323,213
1517866222,309,241
1517875821,289,259
1517886621,205,327
1517900419,242,297
1517914821,260,269
1517925623,210,267
1517938222,238,228
1517952622,277,191
1517967018,216,275
1517978421,221,243
1517990421,180,267
1518004221,224,186
1518015623,200,224
1518030021,272,200
1518043822,242,228
1518057022,195,238
1518071418,190,255
1518085824,201,213
1518100222,217,218
1518114623,261,193
1518129023,236,218
1518142819,220,233
1518154221,179,245
1518168623,185,206
1518182422,184,205
1518196822,211,188
1518211220,211,193
1518222621,224,190
1518237021,178,241
1518251423,173,199
1518265220,179,175
1518276022,184,156
1518290420,237,146
1518301824,173,194
1518316219,204,202
1518330619,173,207
1518345024,191,206
1518359423,177,199
1518373823,205,178
1518387623,210,154
1518399021,166,183
1518413421,152,219
1518427823,172,192
1518441623,171,187
1518455421,159,181
1518466821,200,147
1518477620,170,148
1518492019,146,189
1518506419,168,159
1518520822,157,179
1518534622,124,174
1518546022,209,124
1518560422,176,164
1518574821,167,190
1518589220,139,169
1518603622,162,177
1518614421,152,163
1518628221,169,161
1518639622,180,150
1518650420,184,157
1518663620,152,190
1518677419,175,151
1518691822,153,165
1518706222,187,180
1518720621,166,180
1518731421,227,129
1518742221,182,189
1518756619,151,232
1518771022,149,186
1518782423,183,155
1518796223,162,174
1518810621,192,152
1518825020,193,170
1518837021,183,183
1518850821,137,201
1518865223,210,153
1518879622,156,205
1518894021,219,157
1518908421,210,180
1518922820,149,229
1518936619,254,181
1518948024,193,204
1518961822,171,227
1518976223,197,153
1518990620,249,175
1519005020,165,211
1519019422,185,174
1519030222,175,198
1519044622,205,200
1519057223,164,204
1519071621,228,173
1519084823,223,174
1519099221,154,253
1519113021,205,171
1519123823,173,183
1519138221,157,217
1519149023,211,154
1519160422,194,193
1519174221,211,193
1519185620,169,209
1519200023,157,199
1519213823,197,169
1519228221,139,209
1519242620,209,146
1519253422,195,176
1519268421,153,204
1519282220,149,180
1519293023,159,164
1519307422,166,155
1519321821,151,165
1519336222,181,143
1519350620,176,154
1519364420,117,209
1519375822,160,138
1519387223,147,152
1519401023,173,147
1519415420,188,133
1519426823,160,181
1519440622,152,186
1519455019,140,168
1519468822,166,166
1519480222,131,150
1519494023,194,134
1519505423,211,141
1519519822,163,168
1519534221,155,208
1519548624,117,180
1519563022,158,138
1519577421,163,175
1519591824,175,160
1519602622,192,161
1519617019,144,181
1519631419,124,165
1519645823,147,144
1519659622,129,150
1519672222,155,133
1519684222,182,135
1519698021,130,187
1519711821,152,147
1519726224,137,149
1519738823,136,132
1519753221,179,141
1519764621,154,147
1519779020,136,158
1519792822,124,148
1519806021,243,145
1519819821,149,152
1519831222,120,150
1519845622,170,130
1519860022,151,154
1519874421,177,153
1519888820,146,176
1519903222,128,179
1519917023,153,116
1519927823,124,141
1519942221,157,114
1519956620,152,145
1519971019,123,127
1519985422,167,145
1519996824,119,136
1520010623,119,138
1520025023,145,132
1520036422,151,135
1520050221,102,154
1520063419,140,120
1520077223,112,141
1520090421,153,101
1520104221,145,143
1520115022,144,120
1520126421,145,143
1520140225,117,153
1520151622,119,134
1520163622,134,119
1520178022,107,142
1520190621,159,102
1520205021,149,131
1520216420,117,130
1520230822,98,150
1520242824,87,105
1520257223,122,118
1520271623,132,128
1520284221,136,122
1520298626,133,120
1520309419,116,135
1520323823,118,128
1520338224,113,110
1520352624,115,114
1520365829,164,119
1520379628,138,142
1520394027,84,131
1520406627,110,98
1520421029,123,132
1520435429,115,144
1520448029,132,90
1520458827,168,122
1520470227,148,149
1520484027,100,154
1520498430,133,124
1520509829,140,130
1520523628,133,131
1520535028,148,136
1520548828,213,151
1520560827,155,163
1520574626,126,168
1520589029,138,162
1520603429,180,128
1520617228,118,186
1520630426,179,114
1520644826,157,151
1520658630,162,183
1520669428,125,154
1520680829,192,120
1520693428,129,192
1520707227,164,142
1520718628,171,152
1520733027,113,145
1520746825,115,129
1520761228,125,154
1520775627,135,149
1520790030,144,135
1520800828,162,124
1520811628,153,135
1520826026,119,184
1520836826,125,128
1520851227,136,135
1520865628,123,131
1520880027,149,128
1520894427,169,150
1520905228,126,158
1520919626,125,142
1520934028,123,135
1520948428,111,121
1520962226,134,109
1520973626,146,134
1520986225,130,113
