DateTime,AddedIPs,RemovedIPs
1519494026,4,1
1519501825,2,6
1519505428,1,0
1519509024,6,8
1519512628,0,1
1519516224,3,1
1519519827,1,1
1519523424,2,0
1519527027,3,3
1519530624,1,0
1519534227,3,4
1519537824,2,0
1519541426,2,4
1519545025,2,2
1519548627,1,7
1519552231,2,2
1519555826,1,0
1519563024,3,3
1519570223,1,5
1519573827,1,0
1519577424,3,5
1519581027,2,0
1519588225,1,4
1519591829,1,0
1519599024,1,3
1519602627,4,2
1519609824,2,2
1519613427,2,2
1519617024,1,0
1519624224,4,7
1519627827,2,0
1519631424,1,1
1519634426,3,1
1519638024,4,0
1519641629,3,4
1519645827,0,5
1519652427,2,4
1519656024,2,0
1519659627,0,4
1519663224,3,5
1519666826,3,0
1519669224,1,2
1519672226,2,0
1519676427,0,6
1519680024,3,0
1519687224,0,1
1519690826,2,1
1519694425,0,4
1519698026,1,0
1519701024,2,6
1519704626,2,0
1519708224,1,0
1519711827,0,4
1519715424,1,6
1519722624,1,2
1519726227,1,0
1519728024,1,3
1519731626,1,0
1519735224,1,0
1519738826,1,2
1519742424,2,0
1519747824,3,1
1519751427,2,0
1519753223,2,7
1519756827,2,2
1519764624,1,4
1519768232,2,2
1519771824,2,0
1519775426,3,3
1519779024,2,4
1519782027,0,6
1519785629,4,5
1519789223,1,0
1519792827,3,3
1519794624,2,0
1519798227,4,1
1519802427,4,1
1519809627,2,3
1519813225,4,0
1519816227,1,0
1519819824,4,1
1519824027,3,6
1519827624,5,0
1519831226,4,0
1519834825,1,2
1519841424,0,2
1519849225,4,5
1519856425,2,3
1519860027,3,1
1519863624,3,4
1519867227,4,0
1519870824,1,1
1519874427,1,3
1519878024,3,1
1519882226,1,6
1519885824,1,0
1519888826,4,3
1519892424,2,2
1519895426,2,0
1519899647,0,6
1519903225,0,1
1519906826,1,0
1519910423,2,2
1519913427,5,7
1519917025,3,0
1519920626,2,1
1519927827,0,1
1519932026,3,1
1519935624,3,0
1519939228,1,2
1519942224,2,0
1519946427,3,2
1519950024,4,0
1519953627,3,5
1519956624,3,0
1519963823,3,6
1519967427,3,0
1519971024,2,4
1519975227,4,4
1519978824,3,0
1519982426,4,0
1519985424,3,3
1519989626,5,5
1519993224,2,0
1519996827,1,4
1520000424,5,4
1520003426,2,4
1520010627,1,0
1520014224,1,2
1520018428,4,0
1520022024,2,0
1520025027,2,4
1520029227,0,1
1520036426,2,0
1520040024,2,3
1520043626,3,0
1520046624,2,4
1520050226,1,0
1520053823,1,4
1520055626,2,3
1520059826,1,2
1520063423,2,0
1520066426,2,0
1520074224,0,2
1520077226,1,4
1520080824,3,2
1520082626,2,0
1520086830,2,1
1520090424,1,0
1520094026,2,1
1520097025,1,1
1520104224,2,4
1520107827,2,0
1520111424,1,4
1520115026,0,3
1520122224,7,3
1520126426,2,3
1520130023,1,0
1520133626,3,0
1520140230,2,2
1520143825,4,3
1520148026,1,2
1520151624,2,0
1520155227,1,0
1520158224,2,0
1520160026,2,0
1520167226,1,2
1520170824,2,3
1520174426,1,1
1520178025,1,0
1520181627,1,2
1520185224,2,0
1520187026,1,7
1520190624,0,2
1520197824,2,0
1520201427,1,1
1520205025,2,0
1520208627,0,5
1520212826,1,6
1520216424,1,0
1520223024,3,0
1520226627,1,4
1520233823,1,0
1520237427,1,5
1520239224,1,2
1520246424,1,0
1520250026,2,8
1520253624,3,0
1520257226,1,3
1520268625,1,7
1520271626,4,1
1520275224,2,2
1520277026,0,1
1520284224,1,3
1520288427,2,3
1520292024,2,0
1520295627,3,1
1520298629,2,0
1520302226,0,1
1520305823,3,0
1520309423,0,6
1520316623,2,11
1520320226,3,4
1520323824,3,0
1520325626,0,7
1520329224,1,0
1520332826,2,4
1520336424,1,1
1520338227,2,4
1520346026,0,4
1520356224,3,2
1520358033,2,5
1520361630,1,0
1520365833,3,1
1520368831,1,0
1520372433,2,4
1520376030,2,4
1520379633,0,1
1520383230,1,0
1520390430,1,2
1520394032,0,4
1520397630,4,0
1520401232,0,3
1520404830,2,3
1520406632,2,0
1520410230,1,3
1520417430,0,11
1520421032,1,4
1520428232,0,4
1520431830,1,3
1520435433,1,5
1520437229,1,2
1520444430,0,2
1520448033,2,5
1520451630,1,2
1520458830,2,3
1520466631,1,3
1520470232,0,7
1520473829,2,0
1520476842,1,3
1520484032,1,4
1520487630,1,3
1520494830,2,4
1520498432,2,3
1520502030,0,3
1520505633,0,1
1520509832,1,2
1520513430,2,0
1520517033,1,6
1520520630,2,1
1520523632,4,0
1520527230,2,4
1520530832,0,2
1520535033,0,5
1520538630,1,0
1520542233,3,1
1520545830,2,4
1520548833,3,0
1520553033,2,11
1520556630,1,0
1520563830,1,3
1520566831,0,1
1520570429,2,0
1520577630,0,5
1520581832,2,4
1520585430,2,0
1520589033,0,4
1520592630,1,0
1520596232,1,0
1520599230,2,0
1520607030,0,4
1520610633,0,5
1520614230,1,2
1520617232,1,4
1520620830,1,0
1520622633,1,3
1520626832,0,1
1520634033,3,6
1520637631,2,3
1520641233,4,0
1520644830,4,5
1520648432,5,0
1520651430,1,3
1520655032,2,2
1520658636,1,2
1520662230,1,0
1520665832,2,6
1520669430,3,3
1520676630,4,6
1520680833,3,2
1520684430,0,2
1520689232,2,3
1520697030,3,2
1520700033,2,2
1520707230,3,1
1520715030,2,6
1520718633,1,7
1520722230,0,3
1520725232,0,2
1520728831,2,6
1520733033,1,2
1520736629,1,0
1520739633,1,0
1520746830,1,13
1520751032,0,1
1520754630,2,0
1520758234,4,7
1520761229,1,0
1520764834,2,1
1520768431,1,1
1520775630,4,3
1520782831,0,5
1520790032,3,5
1520797231,0,1
1520800832,1,0
1520808031,3,3
1520811633,3,3
1520816433,2,6
1520823032,3,3
1520826031,2,0
1520829632,0,1
1520833229,1,0
1520836832,1,0
1520844030,0,1
1520851229,2,6
1520858430,2,3
1520865630,0,2
1520869232,1,2
1520877033,1,2
1520880030,1,4
1520887830,1,2
1520890832,1,1
1520894430,2,0
1520899233,0,3
1520902229,2,0
1520905232,1,0
1520912430,1,5
1520916033,2,4
1520919631,0,3
1520923234,0,4
1520926830,1,4
1520934031,1,2
1520944830,0,1
1520948432,1,1
1520952030,0,3
1520955630,1,2
1520962230,2,1
1520966430,2,0
1520970032,1,2
1520973630,2,2
1520977232,0,1
1520980231,1,1
1520982633,2,0
1520986230,2,0
1520990432,1,3
1520997033,3,6
1521000630,1,2
1521004239,3,2
1521007830,1,4
1521015031,2,1
1521018633,2,1
1521022230,1,0
1521025832,2,1
1521027630,0,3
1521031232,1,3
1521034230,1,1
1521037830,2,0
1521040230,0,1
1521043842,1,2
1521047430,1,1
1521051030,2,3
1521054633,1,0
1521058230,0,1
1521060033,2,1
1521063630,2,3
1521067233,1,0
1521070830,2,2
1521072632,2,0
1521076230,2,0
1521079832,2,2
1521086432,2,0
1521090029,1,2
1521097232,1,1
1521099630,0,3
1521103232,0,2
1521106831,3,1
1521113430,2,2
1521115832,0,2
1521127832,2,2
1521130230,1,0
1521133832,3,0
1521135630,0,5
1521139233,1,1
1521142830,2,1
1521146433,4,3
1521150030,1,3
1521153633,1,4
1521157231,2,2
1521160832,1,2
1521168030,4,3
1521171632,1,0
1521173430,0,2
1521177032,1,0
1521180630,1,2
1521184233,1,3
1521187830,1,0
1521191433,2,4
1521195030,1,3
1521199232,1,3
1521202829,2,0
1521206432,0,2
1521210029,5,1
1521213032,3,0
1521216630,0,2
1521220833,3,5
1521224430,1,0
1521228032,1,1
1521231030,1,1
1521238230,2,3
1521242433,2,7
1521252631,2,0
1521254432,3,6
1521257429,1,0
1521261030,2,2
1521262830,1,2
1521265232,1,0
1521270031,1,3
1521273629,3,3
1521277231,1,2
1521279633,0,1
1521281432,4,0
1521285632,0,4
1521292232,1,2
1521295830,1,2
1521299436,2,1
1521301230,1,2
1521304844,3,0
1521308440,0,1
1521312046,2,0
1521315638,1,3
1521319843,0,1
1521323435,0,7
1521330030,1,0
1521337229,0,3
1521344430,0,9
1521348033,2,2
1521349830,0,2
1521352832,0,5
1521356431,0,1
1521362432,1,0
1521366037,0,4
1521369031,0,1
1521371432,1,1
1521375030,2,0
1521383430,0,2
1521387036,6,1
1521390630,2,0
1521394237,1,0
1521396039,3,1
1521398447,2,2
1521402040,3,0
1521405650,1,0
1521409230,3,2
1521412849,0,8
1521416438,3,0
1521420049,1,2
1521421838,1,0
1521425432,2,0
1521435631,0,2
1521439229,0,8
1521442829,5,0
1521446431,3,0
1521450029,0,2
1521451831,1,4
1521454229,4,0
1521460832,3,4
1521464429,1,0
1521466231,2,0
1521468629,1,0
1521472232,2,0
1521475829,2,2
1521479431,3,1
1521483029,1,0
1521484831,2,1
1521488430,3,0
1521492030,0,4
1521495629,1,1
1521499231,1,1
1521507028,5,6
1521510031,2,2
1521513628,4,4
1521517832,4,4
1521521428,1,0
1521524432,5,5
1521528028,1,0
1521529831,1,1
1521533430,0,2
1521537031,3,3
1521540629,3,3
1521544232,1,1
