DateTime,AddedIPs,RemovedIPs
1519680024,22,20
1519687224,20,23
1519690826,21,19
1519694425,23,21
1519698026,24,24
1519701024,21,21
1519704626,21,23
1519708224,23,21
1519711827,19,19
1519715424,20,24
1519722624,19,17
1519726227,19,22
1519728024,17,17
1519731626,19,18
1519735224,21,19
1519738826,22,19
1519742424,20,22
1519744226,17,17
1519747824,19,20
1519751427,20,19
1519753223,18,18
1519756827,22,23
1519764624,20,20
1519768232,23,22
1519771824,23,22
1519775426,21,24
1519779024,23,20
1519782027,24,23
1519785629,21,24
1519789223,21,22
1519792827,23,21
1519794624,18,18
1519798227,20,19
1519802427,22,22
1519806024,22,23
1519809627,21,21
1519813225,23,22
1519816227,21,23
1519819824,19,19
1519824027,19,19
1519827624,21,22
1519831226,19,18
1519834825,17,17
1519837827,19,21
1519841424,18,15
1519849225,21,20
1519856425,18,19
1519860027,16,18
1519863624,23,21
1519867227,22,21
1519870824,17,18
1519874427,21,22
1519878024,21,19
1519882226,20,20
1519885824,20,23
1519888826,18,17
1519892424,17,17
1519895426,23,21
1519899647,23,24
1519903225,20,20
1519906826,19,20
1519910423,23,22
1519913427,22,21
1519917025,20,22
1519920626,20,20
1519924224,21,20
1519927827,21,22
1519932026,21,21
1519935624,21,20
1519939228,20,22
1519942224,22,20
1519946427,22,21
1519950024,21,24
1519953627,21,21
1519956624,22,21
1519963823,17,15
1519967427,24,25
1519971024,22,22
1519975227,25,24
1519978824,22,24
1519982426,23,21
1519985424,24,23
1519989626,24,25
1519993224,24,25
1519996827,17,20
1520000424,24,20
1520003426,21,22
1520007024,22,23
1520010627,20,20
1520014224,21,21
1520018428,21,19
1520022024,24,24
1520025027,23,24
1520029227,21,23
1520032825,24,21
1520036426,24,24
1520040024,21,22
1520043626,19,21
1520046624,20,20
1520050226,22,20
1520053823,23,21
1520055626,18,21
1520059826,19,19
1520063423,22,21
1520066426,23,22
1520074224,18,21
1520077226,20,21
1520080824,23,20
1520082626,19,19
1520086830,20,22
1520090424,22,22
1520094026,24,21
1520097025,22,22
1520104224,20,23
1520107827,21,20
1520111424,21,20
1520115026,20,21
1520122224,19,19
1520126426,23,22
1520130023,19,20
1520133626,22,20
1520137235,16,22
1520140230,21,17
1520143825,21,20
1520148026,23,23
1520151624,21,23
1520155227,20,20
1520158224,22,20
1520160026,17,22
1520163624,20,17
1520167226,20,21
1520170824,22,20
1520174426,15,18
1520178025,17,15
1520181627,19,18
1520185224,19,20
1520187026,18,17
1520190624,18,20
1520197824,14,14
1520201427,20,17
1520205025,23,21
1520208627,21,24
1520212826,21,20
1520216424,19,21
1520220026,21,19
1520223024,22,22
1520226627,18,21
1520233823,18,15
1520237427,19,21
1520239224,19,19
1520242827,20,19
1520246424,18,20
1520250026,18,17
1520253624,19,19
1520257226,16,18
1520260824,17,18
1520268625,17,12
1520271626,22,21
1520275224,19,20
1520277026,17,19
1520284224,21,20
1520288427,22,20
1520292024,20,22
1520295627,21,20
1520298629,22,21
1520302226,22,24
1520305823,24,22
1520309423,21,22
1520316623,21,23
1520320226,20,19
1520323824,22,20
1520325626,15,18
1520329224,18,19
1520332826,17,19
1520336424,21,17
1520338227,14,15
1520341824,22,19
1520346026,20,23
1520349626,18,18
1520352627,20,21
1520356224,22,21
1520358033,22,20
1520361630,21,23
1520365833,24,22
1520368831,23,22
1520372433,22,25
1520376030,24,21
1520379633,15,20
1520383230,21,18
1520390430,20,20
1520394032,21,20
1520397630,17,16
1520401232,20,21
1520404830,20,22
1520406632,24,21
1520410230,20,21
1520413832,22,21
1520417430,21,23
1520421032,22,21
1520424630,16,16
1520428232,20,22
1520431830,19,19
1520435433,18,20
1520437229,20,17
1520440832,19,21
1520444430,22,20
1520448033,21,21
1520451630,22,20
1520458830,22,23
1520466631,24,23
1520470232,24,24
1520473829,18,22
1520476842,22,19
1520480430,19,20
1520484032,19,20
1520487630,21,18
1520491232,17,20
1520494830,23,20
1520498432,24,24
1520502030,19,23
1520505633,20,17
1520509832,23,23
1520513430,21,21
1520517033,21,21
1520520630,22,21
1520523632,21,22
1520527230,23,21
1520530832,22,24
1520535033,19,22
1520538630,15,15
1520542233,22,19
1520545830,23,22
1520548833,22,23
1520553033,21,23
1520556630,19,17
1520563830,19,20
1520566831,20,20
