DateTime,AddedIPs,RemovedIPs
1519374726,0,1
1519378086,1,0
1519399691,0,1
1519400165,1,0
1519401365,0,1
1519402104,0,1
1519402569,1,0
1519404966,1,0
1519428490,0,1
1519432085,1,0
1519434251,0,5
1519434725,18,15
1519435209,9,11
1519435686,19,18
1519436167,7,7
1519436890,16,14
1519437615,22,20
1519438089,17,16
1519438568,3,3
1519439048,1,2
1519439524,2,4
1519440012,1,0
1519455366,0,1
1519458250,1,0
1519481769,0,2
1519482246,1,0
1519484167,1,0
1519503131,0,1
1519503607,1,0
1519508891,0,1
1519513696,1,0
1519520649,1,9
1519521134,15,19
1519521621,18,9
1519522098,12,11
1519522574,3,8
1519523056,10,10
1519523537,9,11
1519524261,26,26
1519524975,1,1
1519525451,4,3
1519525939,1,0
1519531739,0,1
1519532169,1,0
1519535768,0,1
1519538886,1,0
1519555929,0,1
1519556413,1,0
1519561221,0,1
1519561685,1,0
1519563611,0,1
1519566966,1,0
1519574167,0,1
1519574647,1,0
1519589528,0,2
1519590008,1,0
1519592427,1,0
1519595285,0,1
1519595766,1,0
1519607288,4,9
1519607769,13,17
1519608247,16,13
1519608729,13,13
1519609205,8,12
1519609689,14,12
1519610168,18,15
1519610652,11,13
1519611371,14,11
1519611845,3,1
1519612333,3,0
1519615686,0,1
1519618091,1,0
1519626244,0,1
1519626728,1,0
1519641610,0,2
1519642086,1,0
1519644970,1,0
1519666829,0,1
1519668010,1,0
1519677846,0,1
1519678329,1,0
1519684088,0,2
1519684569,1,0
1519686970,1,0
1519693449,3,7
1519693924,11,10
1519694408,16,11
1519694889,13,15
1519695367,5,10
1519695845,17,15
1519696331,9,8
1519696818,13,12
1519697288,14,9
1519697769,1,0
1519698247,0,1
1519698969,1,0
1519702089,0,1
1519702565,1,1
1519703048,1,0
1519718646,0,1
1519721527,1,0
1519739290,0,1
1519739768,1,0
1519743855,0,1
1519745287,2,1
1519749371,1,1
1519767131,0,2
1519767604,1,0
1519769045,0,1
1519769527,1,0
1519770004,1,0
1519779849,4,10
1519780326,18,16
1519780809,20,15
1519781287,17,16
1519781764,5,5
1519782249,15,11
1519782724,5,10
1519783219,17,20
1519783685,9,17
1519784170,14,1
1519784645,0,1
1519785131,1,0
1519792329,0,1
1519793285,0,1
1519793768,1,0
1519794730,1,0
1519838644,0,2
1519839131,2,0
1519839605,1,1
1519843447,1,1
1519847044,1,1
1519866493,6,12
1519866969,7,13
1519867444,19,18
