DateTime,Entries,UniqueIPs
1519374726,5136,5136
1519378086,5137,5137
1519399691,5136,5136
1519400165,5137,5137
1519401365,5136,5136
1519402104,5135,5135
1519402569,5136,5136
1519404966,5137,5137
1519428490,5136,5136
1519432085,5137,5137
1519434251,5132,5132
1519434725,5135,5135
1519435209,5133,5133
1519435686,5134,5134
1519436167,5134,5134
1519436890,5136,5136
1519437615,5138,5138
1519438089,5139,5139
1519438568,5139,5139
1519439048,5138,5138
1519439524,5136,5136
1519440012,5137,5137
1519455366,5136,5136
1519458250,5137,5137
1519481769,5135,5135
1519482246,5136,5136
1519484167,5137,5137
1519503131,5136,5136
1519503607,5137,5137
1519508891,5136,5136
1519513696,5137,5137
1519520649,5129,5129
1519521134,5125,5125
1519521621,5134,5134
1519522098,5135,5135
1519522574,5130,5130
1519523056,5130,5130
1519523537,5128,5128
1519524261,5128,5128
1519524975,5128,5128
1519525451,5129,5129
1519525939,5130,5130
1519531739,5129,5129
1519532169,5130,5130
1519535768,5129,5129
1519538886,5130,5130
1519555929,5129,5129
1519556413,5130,5130
1519561221,5129,5129
1519561685,5130,5130
1519563611,5129,5129
1519566966,5130,5130
1519574167,5129,5129
1519574647,5130,5130
1519589528,5128,5128
1519590008,5129,5129
1519592427,5130,5130
1519595285,5129,5129
1519595766,5130,5130
1519607288,5125,5125
1519607769,5121,5121
1519608247,5124,5124
1519608729,5124,5124
1519609205,5120,5120
1519609689,5122,5122
1519610168,5125,5125
1519610652,5123,5123
1519611371,5126,5126
1519611845,5128,5128
1519612333,5131,5131
1519615686,5130,5130
1519618091,5131,5131
1519626244,5130,5130
1519626728,5131,5131
1519641610,5129,5129
1519642086,5130,5130
1519644970,5131,5131
1519666829,5130,5130
1519668010,5131,5131
1519677846,5130,5130
1519678329,5131,5131
1519684088,5129,5129
1519684569,5130,5130
1519686970,5131,5131
1519693449,5127,5127
1519693924,5128,5128
1519694408,5133,5133
1519694889,5131,5131
1519695367,5126,5126
1519695845,5128,5128
1519696331,5129,5129
1519696818,5130,5130
1519697288,5135,5135
1519697769,5136,5136
1519698247,5135,5135
1519698969,5136,5136
1519702089,5135,5135
1519702565,5135,5135
1519703048,5136,5136
1519718646,5135,5135
1519721527,5136,5136
1519739290,5135,5135
1519739768,5136,5136
1519743855,5135,5135
1519745287,5136,5136
1519749371,5136,5136
1519767131,5134,5134
1519767604,5135,5135
1519769045,5134,5134
1519769527,5135,5135
1519770004,5136,5136
1519779849,5130,5130
1519780326,5132,5132
1519780809,5137,5137
1519781287,5138,5138
1519781764,5138,5138
1519782249,5142,5142
1519782724,5137,5137
1519783219,5134,5134
1519783685,5126,5126
1519784170,5139,5139
1519784645,5138,5138
1519785131,5139,5139
1519792329,5138,5138
1519793285,5137,5137
1519793768,5138,5138
1519794730,5139,5139
1519838644,5137,5137
1519839131,5139,5139
1519839605,5139,5139
1519843447,5139,5139
1519847044,5139,5139
1519866493,5133,5133
1519866969,5127,5127
1519867444,5128,5128
1519867929,5124,5124
1519868407,5127,5127
1519868891,5127,5127
1519869365,5134,5134
1519870088,5133,5133
1519870809,5131,5131
1519871286,5131,5131
1519871767,5132,5132
1519883767,5131,5131
1519884249,5131,5131
1519884728,5132,5132
1519899132,5131,5131
1519899607,5132,5132
1519908253,5131,5131
1519908727,5132,5132
1519952890,5127,5127
1519953368,5128,5128
1519953849,5130,5130
1519954329,5129,5129
1519954805,5127,5127
1519955290,5130,5130
1519955768,5137,5137
1519956246,5137,5137
1519956726,5135,5135
1519957210,5134,5134
1519957686,5136,5136
1519981926,5135,5135
1519982407,5136,5136
1519996331,5135,5135
1519996805,5136,5136
1520002566,5134,5134
1520003050,5136,5136
1520007606,5135,5135
1520008090,5136,5136
1520015768,5135,5135
1520016246,5136,5136
1520026805,5133,5133
1520027290,5136,5136
1520031127,5135,5135
1520031619,5136,5136
1520039049,5129,5129
1520039525,5125,5125
1520040005,5120,5120
1520040486,5122,5122
1520041209,5123,5123
1520041689,5125,5125
1520042165,5134,5134
1520042649,5132,5132
1520043129,5136,5136
1520043611,5133,5133
1520044085,5134,5134
1520049365,5133,5133
1520049849,5134,5134
1520125449,5130,5130
1520125925,5133,5133
1520126410,5128,5128
1520126888,5129,5129
1520127366,5131,5131
1520127848,5125,5125
1520128329,5131,5131
1520128810,5131,5131
1520129286,5135,5135
1520129768,5136,5136
1520130247,5136,5136
1520130727,5135,5135
1520131204,5136,5136
1520143213,5135,5135
1520143687,5134,5134
1520144179,5136,5136
1520167924,5134,5134
1520168414,5136,5136
1520180169,5135,5135
1520180648,5136,5136
1520189766,5135,5135
1520190250,5135,5135
1520190969,5136,5136
1520192408,5134,5134
1520192889,5136,5136
1520212329,5124,5124
1520212808,5122,5122
1520213286,5122,5122
1520213765,5122,5122
1520214248,5123,5123
1520214727,5124,5124
1520215211,5127,5127
1520215688,5133,5133
1520216647,5132,5132
1520217128,5132,5132
