DateTime,AddedIPs,RemovedIPs
1519295047,0,1
1519295530,1,0
1519323608,0,1
1519332742,1,0
1519333223,0,1
1519350725,1,0
1519351222,1,2
1519351686,1,1
1519354089,0,1
1519355049,1,0
1519389606,0,1
1519391048,1,0
1519399208,0,1
1519401365,1,0
1519402569,1,0
1519410486,0,1
1519411929,0,1
1519413846,1,0
1519417933,1,0
1519420809,0,1
1519421768,1,0
1519425126,1,0
1519426574,0,1
1519427524,0,1
1519428009,1,0
1519429690,1,0
1519430889,0,1
1519432565,0,1
1519437615,0,1
1519438089,1,0
1519442886,1,0
1519446245,0,1
1519449849,1,0
1519451290,1,0
1519453927,0,1
1519455366,0,1
1519458250,1,0
1519462324,0,1
1519465930,1,0
1519467370,1,0
1519470969,0,1
1519474088,0,1
1519475056,1,0
1519480091,0,1
1519489445,1,0
1519494246,1,1
1519498566,0,1
1519505050,1,0
1519506489,1,0
1519507936,0,1
1519508407,0,1
1519510808,1,0
1519511771,0,1
1519517294,1,0
1519521134,1,0
1519526405,1,0
1519531228,0,1
1519531739,1,0
1519533367,0,1
1519589528,0,1
1519598647,1,0
1519601530,0,1
1519609689,0,1
1519610168,1,0
1519614731,1,0
1519627689,0,1
1519631045,1,0
1519633451,0,1
1519636808,1,0
1519641610,0,1
1519651686,1,0
1519653848,0,1
1519668010,1,0
1519668731,1,0
1519669207,0,1
1519672087,0,1
1519676896,1,0
1519677846,0,1
1519678329,1,0
1519678819,0,1
1519679769,1,0
1519683129,0,1
1519688408,1,0
1519694408,0,1
1519695367,0,1
1519695845,1,1
1519697769,1,0
1519701605,0,1
1519705445,1,0
1519709290,0,1
1519714812,1,0
1519723928,0,1
1519728729,1,0
1519729691,0,1
1519747448,1,0
1519754655,0,1
1519757290,1,0
1519760165,0,1
1519760651,1,0
1519764246,0,1
1519767131,1,0
1519768085,1,0
1519770004,0,1
1519774084,0,1
1519778888,1,0
1519780809,0,1
1519781287,1,0
1519782249,1,1
1519785131,1,0
1519797124,0,1
1519799773,1,0
1519801211,0,1
1519813208,1,0
1519817531,0,1
1519824245,1,0
1519826649,0,1
1519836967,1,0
1519838165,0,1
1519856645,1,0
1519859528,0,1
1519864088,1,0
1519866493,0,1
1519866969,1,0
1519867929,0,1
1519870088,0,1
1519871286,1,0
1519874647,0,1
1519893850,1,0
1519897208,0,1
1519922650,0,1
1519924808,1,0
1519933450,0,1
1519948325,1,0
1519950965,0,1
1519953368,1,0
1519954329,1,1
1519954805,3,0
1519955290,1,0
1519956246,0,1
1519956726,1,0
1519967288,1,0
1519971130,0,1
1519972090,0,1
1519974972,2,0
1519978806,0,1
1519981926,0,1
1519982407,1,0
1519985767,1,0
1519989610,0,1
1520004252,0,1
1520011934,1,0
1520016246,1,0
1520019608,0,1
1520021531,0,1
1520030164,1,0
1520033046,0,1
1520040005,0,1
1520041689,0,2
1520042165,1,1
1520042649,0,2
1520043129,2,0
1520043611,1,0
1520046007,0,1
1520048405,1,0
1520051765,0,1
1520057051,1,0
1520058010,0,1
1520067613,1,0
1520071449,0,1
1520075290,1,0
1520084165,0,1
1520093529,1,0
1520098328,0,1
1520105528,1,0
1520108410,0,1
1520121365,1,0
1520124006,0,1
1520126410,1,0
1520127848,0,1
1520128329,1,0
1520128810,0,1
1520129286,1,0
1520129768,0,1
1520130247,1,1
1520133604,1,0
1520137448,0,1
1520152087,1,0
1520165529,0,1
1520170328,1,0
1520178008,0,1
1520181605,1,0
1520186420,0,1
1520192408,0,2
1520192889,2,0
1520198413,1,0
1520204648,0,1
1520207528,1,0
1520210405,0,1
1520214727,1,1
1520215211,1,0
1520221448,1,0
1520224806,0,1
1520235129,1,0
1520254815,1,0
1520260805,0,1
1520264165,1,0
1520278565,0,1
1520298971,0,1
1520299445,1,1
1520299929,1,1
1520300405,1,1
1520300890,0,1
1520301365,1,0
1520302325,0,1
1520304729,1,0
1520311927,1,1
1520316252,0,1
1520323931,1,0
1520327770,0,1
1520337368,1,0
1520340249,1,0
1520349129,0,1
1520356809,1,0
1520360888,0,1
1520362815,1,1
1520365205,0,1
1520368808,1,0
1520369289,1,0
1520371929,0,1
1520374327,0,1
1520378647,1,0
1520383449,0,1
1520386331,1,0
1520387289,0,1
1520387765,1,0
1520388726,1,0
1520391613,0,1
1520392578,1,0
1520395928,0,1
1520410328,1,0
1520413688,0,1
1520416087,1,0
1520417291,1,0
1520418245,0,1
1520421607,0,1
1520423047,1,0
1520425925,0,1
1520426408,1,0
1520435052,1,0
1520439845,0,1
1520446810,0,1
1520447765,1,0
1520449686,0,1
1520454006,1,0
1520454487,1,0
1520456889,0,1
1520459529,0,1
1520472968,1,2
1520473447,1,0
1520475365,0,1
1520478728,1,0
1520481125,0,1
1520485452,1,0
1520490246,0,1
1520508486,0,1
1520508966,1,0
1520509929,1,0
1520513765,1,0
1520517849,0,1
1520522648,1,0
1520530086,0,1
1520533927,0,1
1520538005,1,0
1520540892,0,1
1520552410,1,0
1520554569,0,1
1520556492,1,0
1520557928,1,0
1520559366,0,1
1520567049,1,0
1520569934,0,1
1520576168,1,0
1520579528,0,1
1520585292,1,0
1520589370,1,0
1520591768,0,1
1520592246,0,1
1520596825,1,0
1520606168,1,0
1520610965,0,1
1520619124,0,1
1520621049,1,0
1520623447,0,1
1520626328,1,0
1520629214,0,1
1520629688,1,0
1520632569,0,1
1520640026,1,0
1520642405,1,0
1520642887,0,1
1520644806,0,1
1520645528,1,0
1520646009,0,1
1520646488,2,0
1520648169,0,1
1520653932,1,0
1520657288,1,0
1520657767,0,1
1520661125,1,0
1520664488,0,1
1520667846,0,1
1520682730,1,0
1520685126,1,0
1520688967,0,1
1520703611,1,0
1520706967,0,1
1520707932,0,1
1520712726,1,0
1520715126,0,1
1520723048,1,0
1520723531,1,0
1520726165,0,1
1520728089,0,1
1520728565,1,0
1520729044,0,1
1520730487,1,0
1520734569,1,0
1520737926,0,1
1520741290,0,1
1520745131,1,0
1520748969,0,1
1520750170,1,0
1520754006,0,1
1520757366,1,0
1520760730,0,1
1520762166,1,0
1520765288,0,1
1520770087,1,0
1520771527,1,0
1520780648,0,1
1520784965,1,0
1520788807,0,1
1520793371,0,1
1520803694,1,0
1520805625,0,1
1520808008,1,0
1520812090,0,1
1520816418,1,0
1520819292,0,1
1520819765,0,1
1520820248,1,0
1520822166,1,0
1520822649,1,0
1520825050,0,2
1520828407,1,0
1520831770,0,1
1520836568,1,0
1520839451,0,1
1520842330,1,0
1520842805,0,1
1520844978,1,0
1520845926,1,0
1520847848,0,1
1520851206,0,1
1520854565,1,0
1520880249,0,1
1520884091,1,0
1520888436,0,1
1520890564,1,0
1520892969,0,1
1520894890,1,0
1520898006,0,1
1520920813,1,0
1520926089,0,1
1520942887,1,0
1520944326,0,1
1520944807,2,0
1520949610,0,1
1520969770,0,1
1520979608,1,0
1520982024,0,1
1520983450,1,0
1520985851,0,1
1520988755,1,0
1520992568,0,1
1520993048,0,1
1520996414,1,0
1520997848,1,0
1520999290,0,1
1521002644,1,0
1521003129,0,1
1521004085,0,1
1521006006,0,1
1521009892,1,0
1521024491,0,1
1521024968,1,0
1521025929,1,0
1521028810,0,1
1521032655,1,0
1521041286,0,1
1521049689,1,0
1521053051,0,1
1521055445,0,1
1521057854,1,0
1521060244,0,1
1521066964,1,0
1521069372,0,1
1521076096,1,0
1521077054,0,2
1521077539,1,1
1521079448,1,0
1521081848,1,0
1521082326,0,1
1521082815,0,1
1521084725,1,0
1521088088,1,1
1521091445,0,1
1521115448,1,0
1521116906,1,0
1521124808,0,1
1521125289,1,0
1521139928,0,1
1521141846,0,1
1521147127,2,0
