DateTime,AddedIPs,RemovedIPs
1521145321,4,29
1521145921,7,3
1521146521,7,1
1521147722,2,12
1521148322,5,1
1521148922,2,0
1521149522,4,2
1521150121,1,7
1521150721,9,3
1521151321,15,2
1521152521,10,3
1521153722,9,0
1521154322,3,17
1521154921,3,4
1521155522,2,0
1521156721,0,1
1521157922,8,5
1521158522,8,0
1521159122,6,12
1521159721,16,0
1521160322,9,3
1521161522,4,0
1521162121,1,8
1521162722,7,0
1521163322,9,0
1521164522,10,2
1521165121,11,0
1521165722,13,0
1521166322,12,0
1521166921,1,0
1521168121,3,3
1521169321,4,1
1521169922,15,0
1521170521,4,1
1521171122,11,5
1521171721,11,0
1521172921,0,15
1521174121,5,4
1521174722,2,6
1521175321,3,0
1521175922,1,3
1521176521,2,26
1521177721,4,0
1521178922,14,1
1521180122,4,1
1521181322,2,6
1521182521,16,2
1521183122,6,0
1521183721,9,0
1521184322,2,3
1521184922,17,0
1521186122,5,20
1521187321,5,0
1521188522,11,1
1521189722,5,3
1521190921,12,3
1521191521,8,2
1521192122,32,0
1521193322,2,2
1521193921,4,3
1521194522,7,1
1521195122,0,2
1521195721,6,0
1521196922,3,2
1521198121,4,17
1521199321,10,6
1521200522,3,0
1521201721,6,3
1521202922,3,9
1521204122,5,7
1521204721,7,0
1521205322,0,2
1521206521,3,1
1521207722,7,0
1521208321,2,10
1521208921,3,0
1521210122,9,0
1521210722,6,0
1521211322,7,3
1521212522,21,0
1521213121,1,2
1521213722,7,7
1521214322,2,1
1521214922,2,1
1521216121,8,3
1521217321,2,7
1521217921,14,0
1521218521,5,6
1521219122,6,1
1521219721,7,0
1521220921,2,13
1521222121,5,5
1521223322,4,10
1521224521,4,1
1521225721,5,5
1521226922,3,9
1521227522,8,0
1521228122,3,5
1521228722,8,0
1521229321,7,5
1521229921,1,0
1521230521,8,0
1521231722,2,29
1521232321,6,2
1521232922,0,2
1521233522,4,5
1521234122,5,0
1521235321,38,8
1521236521,1,6
1521237121,5,1
1521237721,3,2
1521238321,3,0
1521238922,7,0
1521239522,6,2
1521240122,2,1
1521241921,10,22
1521242521,5,0
1521243121,8,2
1521244323,12,2
1521244922,5,0
1521246122,20,14
1521247322,14,0
1521248521,3,13
1521249721,4,3
1521250322,9,6
1521250922,8,0
1521252121,6,5
1521253321,4,10
1521253922,9,10
1521254522,2,0
1521255721,1,3
1521256922,11,21
1521258122,3,3
1521259321,8,5
1521259922,11,0
1521260522,6,20
1521261721,8,6
1521262322,4,0
1521262921,3,0
1521264122,11,15
1521265322,7,1
1521265921,2,0
1521266522,10,43
1521267121,0,1
1521267721,11,0
1521268922,15,0
1521269522,8,0
1521270122,5,0
1521271322,14,19
1521272522,4,0
1521273721,6,4
1521274921,13,1
1521276122,12,3
1521276721,3,3
1521277321,2,0
1521278521,5,10
1521279721,7,3
1521280921,1,2
1521281521,3,5
1521282121,7,0
1521282721,5,1
1521283321,3,3
1521283922,6,0
1521284521,18,1
1521285721,3,9
1521286321,4,0
1521286921,13,1
1521288121,3,1
1521288722,3,0
1521289321,11,0
1521289921,14,1
1521290522,5,54
1521291722,3,4
1521292921,0,2
1521294121,3,2
1521295321,5,2
1521295921,7,5
1521296521,3,0
1521297122,0,2
1521297722,4,3
1521298321,8,1
1521298922,4,0
1521300121,8,6
1521301321,2,7
1521301922,7,5
1521302522,4,2
1521303722,9,2
1521304322,1,1
1521304922,2,0
1521305521,2,4
1521306121,11,0
1521307322,8,1
1521307921,0,1
1521308521,3,0
1521309121,6,0
1521309721,9,2
1521310321,9,0
1521310922,3,0
1521312122,6,5
1521313321,3,3
1521314522,0,18
1521315122,0,6
1521315721,2,1
1521316321,3,0
1521316921,4,4
1521317521,3,0
1521318121,6,0
1521318722,1,1
1521319321,1,0
1521320522,3,2
1521321122,1,8
1521321722,4,0
1521322922,9,3
1521323522,4,5
1521324121,2,0
1521324722,2,2
1521325322,10,0
1521326522,6,4
1521327121,4,5
1521327722,5,0
1521328922,8,10
1521330121,31,18
1521331321,2,4
1521332521,6,4
1521333122,3,5
1521333721,2,12
1521334921,1,16
1521335522,3,2
1521336721,7,0
1521337322,14,26
1521337922,3,0
1521338522,4,0
1521339121,1,3
1521339721,5,0
1521340322,3,0
1521340922,8,22
1521341522,1,0
1521342121,2,0
1521343322,1,4
1521344522,5,8
1521345121,2,1
1521345722,3,0
1521346921,13,8
1521348121,5,17
1521348721,3,0
1521349321,3,0
1521350522,6,4
1521351121,2,0
1521351721,4,0
1521352922,8,11
1521353521,1,2
1521354122,5,4
1521354722,5,0
1521355321,6,1
1521355921,9,0
1521356521,12,5
1521357122,9,4
1521357721,6,0
1521358322,1,6
1521358922,3,0
1521360121,3,1
1521360721,21,1
1521361322,4,9
1521362522,3,6
1521363721,4,0
1521364322,1,0
1521364922,12,16
1521365522,4,0
1521366121,1,0
1521367321,3,3
1521368521,6,4
1521369121,3,0
1521369722,12,0
1521370322,14,0
