DateTime,AddedIPs,RemovedIPs
1520856122,3,2
1520856721,3,0
1520858521,0,1
1520860922,0,3
1520862122,4,4
1520862721,1,0
1520863322,0,1
1520864521,0,2
1520865722,0,2
1520866921,0,1
1520868122,3,0
1520868721,3,5
1520869921,0,8
1520871721,0,5
1520874123,3,0
1520874721,5,7
1520875321,1,2
1520877121,0,1
1520877722,0,2
1520878921,0,1
1520880121,0,9
1520881322,5,0
1520883121,0,4
1520886122,0,14
1520887921,8,7
1520889722,0,1
1520890922,0,4
1520892122,1,2
1520892722,0,1
1520893921,2,4
1520894522,0,5
1520898722,0,1
1520899322,0,2
1520899922,6,0
1520900522,10,0
1520902922,0,3
1520904122,4,0
1520905322,0,1
1520906522,1,2
1520910121,4,1
1520910722,1,0
1520911923,0,1
1520913122,3,4
1520914322,1,0
1520914922,0,1
1520916722,1,0
1520917321,1,0
1520918522,2,0
1520919722,2,0
1520920321,1,0
1520923321,1,0
1520923921,4,0
1520924521,1,0
1520925721,0,2
1520926922,3,0
1520928122,4,0
1520928721,0,1
1520929322,0,1
1520930522,9,1
1520931722,3,0
1520932922,2,0
1520934122,5,0
1520935322,5,7
1520937121,0,1
1520938921,0,3
1520940722,11,0
1520941922,1,0
1520943722,1,0
1520944922,4,1
1520945521,0,4
1520946122,1,0
1520947322,0,1
1520948522,3,0
1520949721,5,0
1520952721,0,2
1520953322,1,0
1520954521,0,1
1520955122,0,4
1520956921,0,1
1520958122,0,1
1520959321,7,0
1520960522,3,1
1520962322,0,2
1520964121,5,2
1520966521,0,2
1520969522,1,0
1520970121,1,0
1520971922,0,1
1520973722,0,6
1520974923,3,2
1520976722,1,0
1520977321,0,6
1520979721,0,2
1520980322,3,0
1520980921,0,3
1520982122,0,5
1520982722,0,1
1520984522,0,1
1520985121,0,1
1520985722,3,0
1520988122,0,1
1520988723,4,0
1520989322,2,2
1520991722,0,1
1520992321,3,6
1520992922,1,0
1520993522,0,1
1520995322,2,2
1520996521,1,2
1520998322,5,0
1520998921,1,1
1521000122,1,2
1521001321,1,0
1521002521,3,2
1521003122,1,0
1521005521,2,0
1521007321,0,1
1521008522,0,1
1521009722,0,2
1521010321,1,0
1521012122,1,0
1521013922,0,2
1521015122,4,2
1521016322,2,0
1521017521,1,1
1521018722,2,0
1521022922,3,3
1521024121,0,2
1521026522,1,1
1521027121,1,0
1521027722,1,0
1521028922,0,7
1521030122,1,0
1521032521,0,4
1521033722,1,0
1521034922,1,0
1521036121,0,2
1521038521,1,0
1521039721,1,0
1521040921,0,2
1521042121,0,1
1521045122,0,6
1521046921,0,1
1521048122,2,0
1521054721,0,1
1521055321,2,0
1521057122,0,1
1521058922,7,0
1521060121,0,1
1521060722,0,2
1521062521,0,5
1521063722,3,0
1521065522,0,1
1521067321,1,2
1521068521,0,4
1521069721,2,0
1521070921,0,1
1521073322,0,17
1521074522,5,8
1521075122,1,0
1521077521,5,1
1521080521,9,17
1521081721,1,4
1521082921,3,0
1521083521,0,3
1521084121,0,3
1521085922,2,0
1521087721,0,1
1521088921,3,3
1521089522,1,0
1521091921,1,6
1521092522,1,0
1521093722,0,2
1521096121,2,1
1521097321,1,0
1521097921,0,2
1521098521,7,0
1521099722,1,0
1521100922,2,15
1521101522,3,0
1521102121,1,2
1521103321,1,1
1521104521,0,4
1521105122,2,0
1521105721,1,0
1521106922,1,7
1521108122,2,0
1521109321,4,4
1521112922,0,1
1521115322,0,3
1521117121,3,0
1521117721,3,0
1521118922,1,5
1521119522,0,1
1521120121,1,0
1521121321,2,1
1521124321,1,3
1521124921,0,2
1521125521,1,0
1521128521,4,0
1521131521,5,0
1521135722,3,1
1521137521,1,2
1521139322,5,0
1521140522,2,0
1521141121,0,1
1521142921,0,1
1521143521,9,0
1521144122,2,0
1521145321,0,1
1521146521,0,4
1521147722,13,0
1521148322,1,0
1521151321,0,2
1521153722,0,1
1521155522,0,2
1521156721,13,4
1521157322,11,0
1521159122,1,0
1521160322,11,3
1521160921,2,0
1521162121,1,0
1521162722,2,0
1521163322,2,0
1521164522,2,0
1521165722,0,11
1521167521,0,3
1521168121,0,1
1521169321,3,1
1521169922,3,0
1521170521,0,1
1521171122,0,4
1521174121,2,0
1521176521,0,1
1521178921,2,1
1521179521,0,10
1521181321,0,1
1521182521,10,2
1521183721,0,1
1521184922,2,0
1521186122,5,0
1521187321,1,0
1521188522,1,1
1521189721,5,2
1521190921,0,3
1521191521,0,1
1521192721,0,3
1521193921,0,1
1521194522,0,1
1521195721,1,1
1521196922,1,4
1521198721,0,1
1521199321,0,1
1521199922,2,0
1521201121,4,1
1521201721,0,8
1521202921,0,1
1521204122,3,0
1521206521,0,1
1521207722,11,0
1521208921,1,0
1521210122,0,8
1521211322,5,0
1521212522,1,0
1521214322,0,1
1521214922,8,1
1521217321,1,0
1521219122,13,0
1521222121,0,1
1521223322,8,0
1521224521,3,3
1521225721,2,0
1521228722,5,2
1521229321,0,1
1521230521,1,0
1521231722,3,7
1521235321,0,1
1521236521,2,0
1521240122,2,1
1521241921,0,1
1521243721,0,2
1521244322,0,3
1521246122,0,4
1521248521,3,1
1521250922,0,2
1521253321,1,2
1521253921,2,0
1521256922,1,3
1521259321,0,1
1521260521,1,0
1521261721,0,12
1521263522,1,2
1521266522,3,0
1521267121,1,0
1521268922,0,2
1521270722,0,6
1521271322,0,1
1521271921,1,0
1521272522,6,0
1521273122,0,1
1521274921,0,1
1521276122,3,0
1521277321,0,6
1521277921,0,1
1521278521,0,3
1521279721,7,4
1521280921,0,2
1521281521,0,4
1521282721,0,7
1521283321,3,0
1521285721,2,0
1521286921,0,4
1521288121,1,0
1521289321,1,0
1521290522,0,7
1521292322,6,0
1521294121,1,1
1521295921,3,0
1521297722,1,1
1521299521,4,0
1521303722,3,1
1521304322,0,2
1521307322,0,1
1521309721,1,3
1521312122,2,2
1521313321,0,2
1521316921,5,0
1521317521,1,1
1521318722,0,2
1521320522,3,0
1521321722,0,1
1521322922,0,1
1521323522,0,1
1521324722,2,0
1521325322,1,0
1521326522,1,0
1521328321,0,3
1521330121,2,5
1521333122,5,0
1521334921,0,3
1521335522,0,6
1521336121,3,0
1521338522,2,0
1521339121,0,1
1521340922,3,0
1521344522,3,0
1521345722,0,2
1521346921,6,1
1521348721,1,0
1521350522,2,0
1521351721,1,0
1521354722,2,0
1521355921,0,2
1521356521,0,16
1521357721,2,0
1521360121,0,3
1521361322,1,5
1521362522,0,1
1521363121,3,0
1521363721,6,1
1521364322,0,4
1521364922,0,1
1521368521,0,1
1521372121,4,1
1521374521,0,1
1521375721,1,1
1521376922,0,1
1521378121,0,1
1521378721,1,0
1521379322,0,1
1521380521,1,3
1521382921,2,1
1521384122,1,0
1521385322,0,1
1521385921,0,1
1521386521,1,0
1521387721,0,1
1521388922,0,1
1521390121,1,2
1521390721,0,1
1521391321,0,2
1521392522,2,0
1521393122,1,0
1521393722,1,0
1521394921,1,0
1521396122,3,1
1521396721,1,0
1521397921,1,0
1521400322,0,3
1521400921,1,0
1521402121,1,0
1521404521,0,5
1521405721,4,1
1521406321,1,0
1521408122,0,5
1521409922,0,1
1521410521,1,1
1521411722,0,2
1521413521,3,10
1521414722,0,2
1521415322,2,0
1521420122,5,0
1521422522,0,1
1521423122,1,1
1521423722,0,1
1521424321,0,1
1521424921,2,10
1521426121,0,2
1521430921,0,2
1521431522,3,4
1521432721,1,5
1521433321,1,0
1521434522,6,0
1521435721,0,1
1521436921,0,2
1521438121,2,0
1521438722,1,0
1521439322,0,2
1521439922,1,0
1521441721,5,1
1521444122,3,0
1521447121,0,12
1521448322,0,3
1521448921,4,1
1521450121,2,1
1521450722,0,1
1521452522,1,4
1521453121,1,1
1521453721,2,0
1521454321,1,1
1521454921,1,0
1521456121,0,1
1521457321,0,2
1521458521,0,1
1521459722,2,3
1521460922,1,1
1521462121,0,1
1521463322,0,5
1521464522,5,1
1521465721,0,4
1521466922,0,2
1521467522,0,1
1521468122,0,4
1521469321,1,0
1521471721,1,2
1521474122,2,0
1521475321,2,3
1521476521,0,5
1521478321,0,1
1521478922,3,0
1521479521,0,2
1521480121,0,2
1521482521,0,2
1521483722,17,1
1521484321,0,1
1521486722,1,0
1521489122,3,0
1521490922,5,2
1521491521,0,2
1521492121,1,0
1521493922,2,5
1521494521,3,0
1521495121,0,4
1521496921,1,5
1521499322,2,1
1521500522,1,4
1521502921,0,1
1521504122,0,3
1521505322,5,0
1521506522,0,1
1521507122,1,1
1521507721,1,0
1521508922,1,0
1521511321,3,0
1521512521,6,4
1521513721,1,0
1521514921,3,6
1521517321,1,0
1521518521,1,0
1521519121,0,3
1521519721,0,1
1521520321,8,3
1521522121,2,1
1521523321,1,0
1521524521,3,2
1521525121,0,2
1521525721,0,4
1521526921,1,2
1521530521,2,2
1521531721,1,0
1521532322,0,1
1521533522,1,0
1521534121,0,1
1521534721,1,0
1521536521,4,0
1521537721,1,0
1521538322,0,1
1521540121,4,0
1521541321,1,0
1521544921,4,0
