DateTime,Entries,UniqueIPs
1520913722,1162,1198
1520914322,1163,1199
1520916121,1160,1196
1520916722,1160,1196
1520917321,1161,1197
1520918522,1159,1195
1520919122,1158,1194
1520919722,1160,1196
1520920321,1161,1197
1520920922,1154,1190
1520923321,1153,1189
1520923921,1156,1192
1520924521,1157,1193
1520925121,1153,1189
1520925721,1154,1190
1520926922,1157,1193
1520928122,1162,1198
1520929322,1159,1195
1520930522,1168,1204
1520931722,1169,1205
1520932922,1169,1205
1520934122,1174,1210
1520935322,1178,1214
1520938321,1176,1212
1520938921,1175,1211
1520940722,1186,1222
1520941922,1187,1223
1520943722,1188,1224
1520944922,1192,1228
1520946122,1193,1229
1520947921,1190,1226
1520948522,1193,1229
1520949721,1196,1232
1520952122,1193,1229
1520952721,1192,1228
1520953322,1193,1229
1520955122,1189,1225
1520958122,1187,1223
1520959321,1195,1231
1520960522,1198,1234
1520961722,1197,1233
1520962322,1189,1225
1520964121,1193,1229
1520967122,1191,1227
1520969522,1191,1227
1520970121,1192,1228
1520971321,1193,1229
1520971922,1192,1228
1520974923,1194,1230
1520976121,1187,1223
1520976722,1188,1224
1520977321,1187,1223
1520977922,1182,1218
1520978521,1181,1217
1520980322,1182,1218
1520982122,1179,1215
1520983322,1173,1209
1520984522,1172,1208
1520985722,1173,1209
1520988122,1166,1202
1520988723,1168,1204
1520989322,1170,1206
1520991722,1168,1204
1520992321,1171,1207
1520992922,1172,1208
1520995322,1174,1210
1520996521,1174,1210
1520998322,1179,1215
1520998921,1180,1216
1521000122,1181,1217
1521001321,1175,1211
1521002521,1176,1212
1521003122,1166,1202
1521005521,1168,1204
1521006122,1170,1206
1521007321,1169,1205
1521008522,1163,1199
1521009722,1161,1197
1521010321,1162,1198
1521010921,1159,1195
1521012122,1159,1195
1521013322,1151,1187
1521015122,1156,1192
1521015722,1155,1191
1521016322,1154,1190
1521017521,1151,1187
1521018122,1148,1184
1521018722,1150,1186
1521020522,1147,1183
1521022922,1148,1185
1521024121,1146,1183
1521026522,1147,1184
1521027121,1148,1185
1521027722,1149,1186
1521030122,1144,1181
1521032521,1130,1166
1521033722,1131,1167
1521034922,1131,1167
1521038521,1129,1165
1521039721,1130,1166
1521044521,1128,1164
1521046921,1125,1161
1521048122,1127,1163
1521050521,1119,1155
1521051721,1117,1153
1521052922,1115,1151
1521055321,1117,1153
1521055921,1113,1149
1521057122,1112,1148
1521058922,1119,1155
1521060121,1118,1154
1521060722,1113,1149
