DateTime,AddedIPs,RemovedIPs
1521140522,9,9
1521141121,3,3
1521141721,2,2
1521142321,4,4
1521142921,2,2
1521143521,10,10
1521144122,3,3
1521145321,3,3
1521146521,5,5
1521147121,3,3
1521147722,16,16
1521148322,2,2
1521148922,2,2
1521150121,5,5
1521151321,5,5
1521151921,2,2
1521152521,8,8
1521153121,5,5
1521153722,3,3
1521154921,4,4
1521155522,5,5
1521156721,16,16
1521157322,29,29
1521157922,4,4
1521158521,4,4
1521159122,5,5
1521159721,7,7
1521160322,25,25
1521160921,5,5
1521161522,6,6
1521162121,5,5
1521162722,6,6
1521163322,8,8
1521164522,12,12
1521165121,2,2
1521165722,1,1
1521166322,2,2
1521166921,2,2
1521167521,1,1
1521168121,3,3
1521169321,7,7
1521169922,8,8
1521170521,4,4
1521171122,6,6
1521171721,3,3
1521172921,4,4
1521174121,5,5
1521174721,3,3
1521175321,1,1
1521175922,2,2
1521176521,4,4
1521177721,3,3
1521178921,15,15
1521179521,4,4
1521180122,3,3
1521181321,6,6
1521182521,10,10
1521183721,4,4
1521184322,1,1
1521184922,5,5
1521186122,9,9
1521187321,8,8
1521187921,3,3
1521188522,3,3
1521189721,11,11
1521190921,5,5
1521191521,3,3
1521192122,3,3
1521192721,5,5
1521193322,6,6
1521193921,3,3
1521194522,11,11
1521195721,4,4
1521196922,6,6
1521198121,4,4
1521198721,2,2
1521199321,1,1
1521199922,4,4
1521200522,3,3
1521201121,8,8
1521201721,2,2
1521202921,2,2
1521204122,5,5
1521205322,1,1
1521206521,5,5
1521207722,12,12
1521208321,2,2
1521208921,4,4
1521210122,3,3
1521211322,7,7
1521212522,4,4
1521213722,5,5
1521214322,3,3
1521214922,13,13
1521216121,8,8
1521217321,11,11
1521217921,5,5
1521218521,3,3
1521219122,13,13
1521219721,3,3
1521220921,8,8
1521221522,3,3
1521222121,5,5
1521223322,14,14
1521224521,8,8
1521225721,20,20
1521226922,4,4
1521228122,8,8
1521228722,9,9
1521229321,4,4
1521229921,5,5
1521230521,5,5
1521231722,9,9
1521232321,3,3
1521232922,3,3
1521233522,5,5
1521234122,5,5
1521235321,7,7
1521236521,4,4
1521237721,6,6
1521238321,4,4
1521238922,7,7
1521239521,4,4
1521240122,5,5
1521241921,11,11
1521242521,3,3
1521243721,3,3
1521244322,1,1
1521244922,7,7
1521246122,4,4
1521246721,4,4
1521247322,4,4
1521248521,8,8
1521249721,6,6
1521250922,9,9
1521252121,5,5
1521253321,6,6
1521253921,2,2
1521254522,5,5
1521255721,4,4
1521256922,5,5
1521258122,4,4
1521259321,4,4
1521260521,7,7
1521261121,7,7
1521261721,2,2
1521262921,7,7
1521263522,2,2
1521264122,4,4
1521265322,4,4
1521265921,7,7
1521266522,5,5
1521267121,3,3
1521267721,5,5
1521268322,1,1
1521268922,7,7
1521269522,1,1
1521270122,2,2
1521270722,6,6
1521271322,2,2
1521271921,3,3
1521272522,8,8
1521273122,6,6
1521273721,4,4
1521274321,6,6
1521274921,8,8
1521275522,10,10
1521276122,9,9
1521277321,3,3
1521277921,4,4
1521278521,4,4
1521279721,10,10
1521280921,5,5
1521281521,2,2
1521282121,2,2
1521282721,4,4
1521283321,5,5
1521284521,4,4
1521285122,6,6
1521285721,4,4
1521286921,10,10
1521288121,5,5
1521288722,2,2
1521289321,6,6
1521290522,9,9
1521291722,4,4
1521292322,7,7
1521292921,5,5
1521294121,12,12
1521294721,6,6
1521295321,3,3
1521295921,4,4
1521296521,1,1
1521297722,5,5
1521298321,4,4
1521298921,6,6
1521299521,10,10
1521300121,2,2
1521301321,13,13
1521301922,11,11
1521302522,4,4
1521303722,9,9
1521304322,3,3
1521304922,4,4
