DateTime,AddedIPs,RemovedIPs
1519736536,206,0
1519740135,111,0
1519743735,88,1
1519747335,84,0
1519750935,73,0
1519754535,86,0
1519758135,79,0
1519761735,79,0
1519765336,81,0
1519768936,109,0
1519772535,84,0
1519776135,86,2957
1519779735,73,0
1519783335,113,0
1519786935,142,0
1519790535,236,0
1519794136,82,0
1519797735,89,0
1519801335,85,0
1519804935,130,0
1519808535,136,0
1519812135,164,0
1519815736,99,0
1519819335,100,0
1519822936,98,0
1519826536,104,0
1519830135,116,0
1519833735,77,0
1519837336,469,0
1519840936,81,0
1519844536,65,0
1519848135,88,0
1519851735,75,0
1519855336,88,0
1519858935,77,0
1519862535,105,2626
1519866135,255,0
1519869736,115,0
1519873336,67,0
1519876936,85,0
1519880536,78,0
1519884135,94,0
1519887736,212,0
1519891336,293,0
1519894935,131,0
1519898536,97,0
1519902136,156,0
1519905735,118,0
1519909336,140,0
1519912936,98,0
1519916536,110,0
1519920136,94,0
1519923736,95,0
1519927336,92,0
1519930936,94,0
1519934536,69,0
1519938136,60,0
1519941736,46,0
1519945336,91,0
1519948936,71,2989
1519952536,64,0
1519956136,71,0
1519959736,73,0
1519963336,45,0
1519966936,82,0
1519970536,62,0
1519974136,78,0
1519977736,62,0
1519981336,68,0
1519984936,86,0
1519988537,66,0
1519992137,96,0
1519995736,75,0
1519999336,93,0
1520002937,77,0
1520006536,70,0
1520010137,78,0
1520013736,125,0
1520017337,80,0
1520020937,109,1
1520024537,133,0
1520028136,121,0
1520031737,106,0
1520035336,99,2982
1520038937,59,0
1520042536,59,0
1520046136,68,0
1520049737,53,0
1520053337,305,0
1520056936,84,0
1520060537,79,0
1520064137,96,0
1520067736,384,0
1520071337,94,0
1520074937,87,0
1520078536,213,0
1520082137,104,0
1520085736,307,0
1520089337,117,0
1520092937,86,0
1520096537,171,0
1520100137,61,0
1520103736,115,0
1520107337,138,0
1520110936,58,0
1520114537,45,0
1520118137,74,0
1520121737,61,2113
1520125337,52,0
1520128937,68,0
1520132537,133,0
1520136137,203,0
1520139737,51,0
1520143337,57,0
1520146937,53,0
1520150538,120,0
1520154136,78,0
1520157737,64,0
1520161337,63,0
1520164937,72,0
1520168537,77,0
1520172137,347,0
1520175737,45,0
1520179337,52,0
1520182938,78,0
1520186537,66,0
1520190137,55,0
1520193737,69,0
1520197337,46,0
1520200937,57,0
1520204537,68,0
1520208137,60,2829
1520211737,64,0
1520215337,57,0
1520218937,91,0
1520222537,127,0
1520226137,210,0
1520229737,84,0
1520233338,100,0
1520236938,148,0
1520240537,335,0
1520244138,174,0
1520247737,160,0
1520251337,160,0
1520254938,120,0
1520258537,134,0
1520262137,143,0
1520265737,84,0
1520269337,52,0
1520272937,85,0
1520276537,55,0
1520280138,73,0
1520283737,71,0
1520287338,86,0
1520290937,70,0
1520294538,71,1983
1520298137,82,0
1520301738,85,0
1520305338,231,0
1520308937,293,0
1520312538,136,0
1520316138,74,0
1520319737,99,0
1520323338,131,0
1520326938,102,0
1520330538,106,0
1520334138,115,0
1520337737,113,0
1520341338,138,0
1520344938,87,0
1520348538,99,0
1520352138,136,0
1520355738,103,0
1520359338,146,0
1520362938,92,0
1520366538,59,0
1520370138,87,0
1520373738,202,0
1520377337,105,0
1520380938,208,2763
1520384538,106,0
1520388138,88,0
1520391738,77,0
1520395338,98,0
1520398938,84,0
1520402538,83,0
1520406138,225,0
1520409738,163,0
1520413338,112,0
1520416938,332,0
1520420538,181,0
1520424139,320,0
1520427738,522,0
1520431338,506,0
1520434938,502,0
1520438538,164,0
1520442138,149,0
1520445738,87,0
1520449338,97,0
1520452938,360,0
1520456538,257,0
1520460138,105,0
1520463738,81,0
1520467338,100,2932
1520470938,86,0
1520474538,85,0
1520478139,85,0
1520481738,106,0
1520485338,180,0
1520488938,106,0
1520492539,242,0
