DateTime,Entries,UniqueIPs
1519736536,5830,5830
1519740135,5941,5941
1519743735,6028,6028
1519747335,6112,6112
1519750935,6185,6185
1519754535,6271,6271
1519758135,6350,6350
1519761735,6429,6429
1519765336,6510,6510
1519768936,6619,6619
1519772535,6703,6703
1519776135,3832,3832
1519779735,3905,3905
1519783335,4018,4018
1519786935,4160,4160
1519790535,4396,4396
1519794136,4478,4478
1519797735,4567,4567
1519801335,4652,4652
1519804935,4782,4782
1519808535,4918,4918
1519812135,5082,5082
1519815736,5181,5181
1519819335,5281,5281
1519822936,5379,5379
1519826536,5483,5483
1519830135,5599,5599
1519833735,5676,5676
1519837336,6145,6145
1519840936,6226,6226
1519844536,6291,6291
1519848135,6379,6379
1519851735,6454,6454
1519855336,6542,6542
1519858935,6619,6619
1519862535,4098,4098
1519866135,4353,4353
1519869736,4468,4468
1519873336,4535,4535
1519876936,4620,4620
1519880536,4698,4698
1519884135,4792,4792
1519887736,5004,5004
1519891336,5297,5297
1519894935,5428,5428
1519898536,5525,5525
1519902136,5681,5681
1519905735,5799,5799
1519909336,5939,5939
1519912936,6037,6037
1519916536,6147,6147
1519920136,6241,6241
1519923736,6336,6336
1519927336,6428,6428
1519930936,6522,6522
1519934536,6591,6591
1519938136,6651,6651
1519941736,6697,6697
1519945336,6788,6788
1519948936,3870,3870
1519952536,3934,3934
1519956136,4005,4005
1519959736,4078,4078
1519963336,4123,4123
1519966936,4205,4205
1519970536,4267,4267
1519974136,4345,4345
1519977736,4407,4407
1519981336,4475,4475
1519984936,4561,4561
1519988537,4627,4627
1519992137,4723,4723
1519995736,4798,4798
1519999336,4891,4891
1520002937,4968,4968
1520006536,5038,5038
1520010137,5116,5116
1520013736,5241,5241
1520017337,5321,5321
1520020937,5429,5429
1520024537,5562,5562
1520028136,5683,5683
1520031737,5789,5789
1520035336,2906,2906
1520038937,2965,2965
1520042536,3024,3024
1520046136,3092,3092
1520049737,3145,3145
1520053337,3450,3450
1520056936,3534,3534
1520060537,3613,3613
1520064137,3709,3709
1520067736,4093,4093
1520071337,4187,4187
1520074937,4274,4274
1520078536,4487,4487
1520082137,4591,4591
1520085736,4898,4898
1520089337,5015,5015
1520092937,5101,5101
1520096537,5272,5272
1520100137,5333,5333
1520103736,5448,5448
1520107337,5586,5586
1520110936,5644,5644
1520114537,5689,5689
1520118137,5763,5763
1520121737,3711,3711
1520125337,3763,3763
1520128937,3831,3831
1520132537,3964,3964
1520136137,4167,4167
1520139737,4218,4218
1520143337,4275,4275
1520146937,4328,4328
1520150538,4448,4448
1520154136,4526,4526
1520157737,4590,4590
1520161337,4653,4653
1520164937,4725,4725
1520168537,4802,4802
1520172137,5149,5149
1520175737,5194,5194
1520179337,5246,5246
1520182938,5324,5324
1520186537,5390,5390
1520190137,5445,5445
1520193737,5514,5514
1520197337,5560,5560
1520200937,5617,5617
1520204537,5685,5685
1520208137,2916,2916
1520211737,2980,2980
1520215337,3037,3037
1520218937,3128,3128
1520222537,3255,3255
1520226137,3465,3465
1520229737,3549,3549
1520233338,3649,3649
1520236938,3797,3797
1520240537,4132,4132
1520244138,4306,4306
1520247737,4466,4466
1520251337,4626,4626
1520254938,4746,4746
1520258537,4880,4880
1520262137,5023,5023
1520265737,5107,5107
1520269337,5159,5159
1520272937,5244,5244
1520276537,5299,5299
1520280138,5372,5372
1520283737,5443,5443
1520287338,5529,5529
1520290937,5599,5599
1520294538,3687,3687
1520298137,3769,3769
1520301738,3854,3854
1520305338,4085,4085
1520308937,4378,4378
1520312538,4514,4514
1520316138,4588,4588
1520319737,4687,4687
1520323338,4818,4818
1520326938,4920,4920
1520330538,5026,5026
1520334138,5141,5141
1520337737,5254,5254
1520341338,5392,5392
1520344938,5479,5479
1520348538,5578,5578
1520352138,5714,5714
1520355738,5817,5817
1520359338,5963,5963
1520362938,6055,6055
1520366538,6114,6114
1520370138,6201,6201
1520373738,6403,6403
1520377337,6508,6508
1520380938,3953,3953
1520384538,4059,4059
1520388138,4147,4147
1520391738,4224,4224
1520395338,4322,4322
1520398938,4406,4406
1520402538,4489,4489
1520406138,4714,4714
1520409738,4877,4877
1520413338,4989,4989
1520416938,5321,5321
1520420538,5502,5502
1520424139,5822,5822
1520427738,6344,6344
1520431338,6850,6850
1520434938,7352,7352
1520438538,7516,7516
1520442138,7665,7665
1520445738,7752,7752
1520449338,7849,7849
1520452938,8209,8209
1520456538,8466,8466
1520460138,8571,8571
1520463738,8652,8652
1520467338,5820,5820
1520470938,5906,5906
1520474538,5991,5991
1520478139,6076,6076
1520481738,6182,6182
1520485338,6362,6362
1520488938,6468,6468
1520492539,6710,6710
1520496138,7260,7260
1520499739,7437,7437
1520504239,7643,7643
1520507838,7939,7939
1520511438,8220,8220
1520515038,8358,8358
1520518638,8786,8786
1520522238,9154,9154
1520525838,9545,9545
1520529439,9849,9849
1520533038,9948,9948
