DateTime,AddedIPs,RemovedIPs
1519567509,0,12
1519572014,3,7
1519579209,5,7
1519586413,4,6
1519593604,6,4
1519600810,4,2
1519608011,2,3
1519608913,0,2
1519615208,3,7
1519622416,8,8
1519629615,6,9
1519636811,6,3
1519644003,5,3
1519651223,4,6
1519658410,6,6
1519665610,4,3
1519669218,1,0
1519672815,4,1
1519680016,3,6
1519680918,0,1
1519687219,2,21
1519689012,0,1
1519690810,0,1
1519694418,6,0
1519702518,2,2
1519703407,0,1
1519704356,0,1
1519705203,0,1
1519708815,5,1
1519716016,4,0
1519723214,5,1
1519725960,0,1
1519730410,6,2
1519737609,1,3
1519744811,2,3
1519752013,3,5
1519759212,3,1
1519766410,2,2
1519773611,4,2
1519780813,4,2
1519788014,2,6
1519789814,0,1
1519793422,0,1
1519795216,5,4
1519802415,5,2
1519809613,5,9
1519816811,4,6
1519824014,4,3
1519826758,0,1
1519831218,2,3
1519834818,0,2
1519838416,5,7
1519841164,0,1
1519842914,1,0
1519844766,1,0
1519845621,8,3
1519852822,4,3
1519853721,0,1
1519856418,0,3
1519858217,0,1
1519859165,0,2
1519860019,3,1
1519865418,1,0
1519867220,5,4
1519874415,16,6
1519879818,0,1
1519881611,6,8
1519886118,0,2
1519888814,6,6
1519889705,0,2
1519891557,0,1
1519896019,5,7
1519902358,0,1
1519903210,5,16
1519906813,0,1
1519910416,8,4
1519917613,6,2
1519924820,7,2
1519932020,3,5
1519935610,1,0
1519937427,0,1
1519939222,5,2
1519940120,0,1
1519946410,5,3
1519953619,1,4
1519960817,5,6
1519962612,0,3
1519963562,0,1
1519968010,6,4
1519975215,5,3
1519977955,0,1
1519979712,0,1
1519982410,6,6
1519984221,0,1
1519985121,0,1
1519989615,3,6
1519996821,7,2
1519997721,16,1
1520000420,0,1
1520004012,2,3
1520007613,0,1
1520011207,1,7
1520018417,6,5
1520023807,0,1
1520025602,2,3
1520026508,0,1
1520027412,0,1
1520028312,0,1
1520029211,0,1
1520031005,0,1
1520031914,0,1
1520032806,4,1
1520040912,8,3
1520047208,2,6
1520054415,10,5
1520061608,5,10
1520068803,7,3
1520076007,3,8
1520083200,5,4
1520084111,0,16
1520086810,0,1
1520090403,1,9
1520097607,7,2
1520104803,1,3
1520105714,0,4
1520109301,0,1
1520112010,4,2
1520118305,0,1
1520119199,6,1
1520126403,1,6
1520133606,5,8
1520140804,6,3
