DateTime,Entries,UniqueIPs
1519567509,1610,1610
1519572014,1606,1606
1519579209,1604,1604
1519586413,1602,1602
1519593604,1604,1604
1519600810,1606,1606
1519608011,1605,1605
1519608913,1603,1603
1519615208,1599,1599
1519622416,1599,1599
1519629615,1596,1596
1519636811,1599,1599
1519644003,1601,1601
1519651223,1599,1599
1519658410,1599,1599
1519665610,1600,1600
1519669218,1601,1601
1519672815,1604,1604
1519680016,1601,1601
1519680918,1600,1600
1519687219,1581,1581
1519689012,1580,1580
1519690810,1579,1579
1519694418,1585,1585
1519702518,1585,1585
1519703407,1584,1584
1519704356,1583,1583
1519705203,1582,1582
1519708815,1586,1586
1519716016,1590,1590
1519723214,1594,1594
1519725960,1593,1593
1519730410,1597,1597
1519737609,1595,1595
1519744811,1594,1594
1519752013,1592,1592
1519759212,1594,1594
1519766410,1594,1594
1519773611,1596,1596
1519780813,1598,1598
1519788014,1594,1594
1519789814,1593,1593
1519793422,1592,1592
1519795216,1593,1593
1519802415,1596,1596
1519809613,1592,1592
1519816811,1590,1590
1519824014,1591,1591
1519826758,1590,1590
1519831218,1589,1589
1519834818,1587,1587
1519838416,1585,1585
1519841164,1584,1584
1519842914,1585,1585
1519844766,1586,1586
1519845621,1591,1591
1519852822,1592,1592
1519853721,1591,1591
1519856418,1588,1588
1519858217,1587,1587
1519859165,1585,1585
1519860019,1587,1587
1519865418,1588,1588
1519867220,1589,1589
1519874415,1599,1599
1519879818,1598,1598
1519881611,1596,1596
1519886118,1594,1594
1519888814,1594,1594
1519889705,1592,1592
1519891557,1591,1591
1519896019,1589,1589
1519902358,1588,1588
1519903210,1577,1577
1519906813,1576,1576
1519910416,1580,1580
1519917613,1584,1584
1519924820,1589,1589
1519932020,1587,1587
1519935610,1588,1588
1519937427,1587,1587
1519939222,1590,1590
1519940120,1589,1589
1519946410,1591,1591
1519953619,1588,1588
1519960817,1587,1587
1519962612,1584,1584
1519963562,1583,1583
1519968010,1585,1585
1519975215,1587,1587
1519977955,1586,1586
1519979712,1585,1585
1519982410,1585,1585
1519984221,1584,1584
1519985121,1583,1583
1519989615,1580,1580
1519996821,1585,1585
1519997721,1600,1600
1520000420,1599,1599
1520004012,1598,1598
1520007613,1597,1597
1520011207,1591,1591
1520018417,1592,1592
1520023807,1591,1591
1520025602,1590,1590
1520026508,1589,1589
1520027412,1588,1588
1520028312,1587,1587
1520029211,1586,1586
1520031005,1585,1585
1520031914,1584,1584
1520032806,1587,1587
1520040912,1592,1592
1520047208,1588,1588
1520054415,1593,1593
1520061608,1588,1588
1520068803,1592,1592
1520076007,1587,1587
1520083200,1588,1588
1520084111,1572,1572
1520086810,1571,1571
1520090403,1563,1563
1520097607,1568,1568
1520104803,1566,1566
1520105714,1562,1562
1520109301,1561,1561
1520112010,1563,1563
1520118305,1562,1562
1520119199,1567,1567
1520126403,1562,1562
1520133606,1559,1559
1520140804,1562,1562
1520148004,1562,1562
1520155209,1557,1557
1520162410,1556,1556
1520169613,1554,1554
1520176807,1552,1552
1520184009,1553,1553
1520188506,1549,1549
1520191200,1554,1554
1520193905,1553,1553
1520198403,1550,1550
1520202007,1549,1549
1520204700,1548,1548
1520206503,1545,1545
1520208307,1544,1544
1520212806,1543,1543
1520220010,1538,1538
1520222706,1537,1537
1520224506,1536,1536
1520227206,1536,1536
1520229906,1534,1534
1520231705,1533,1533
1520234409,1536,1536
1520241605,1537,1537
1520248809,1542,1542
1520255997,1546,1546
1520263205,1546,1546
1520270402,1545,1545
1520274010,1544,1544
1520277604,1544,1544
1520282106,1542,1542
1520283007,1541,1541
1520284804,1545,1545
1520285706,1543,1543
1520292003,1546,1546
1520299207,1541,1541
1520306404,1537,1537
1520307304,1535,1535
1520313603,1542,1542
1520319898,1541,1541
1520320807,1545,1545
1520328006,1545,1545
1520335208,1544,1544
1520340728,1543,1543
1520342412,1548,1548
1520349608,1551,1551
1520356810,1553,1553
1520358603,1552,1552
1520364003,1553,1553
1520364907,1552,1552
1520370307,1551,1551
1520371206,1553,1553
1520373896,1552,1552
1520378399,1551,1551
1520379301,1550,1550
1520382909,1548,1548
1520385609,1547,1547
1520392800,1545,1545
1520400005,1542,1542
1520402698,1541,1541
1520407204,1541,1541
1520414408,1541,1541
1520418905,1539,1539
1520421599,1543,1543
1520422512,1542,1542
1520425212,1543,1543
1520428798,1541,1541
1520436000,1541,1541
1520439597,1539,1539
1520443197,1537,1537
1520447700,1536,1536
1520450405,1531,1531
1520453994,1528,1528
