DateTime,Entries,UniqueIPs
1519555753,1865,2038
1519556571,1866,2039
1519563770,1867,2040
1519567371,1869,2042
1519570971,1866,2039
1519578171,1865,2037
1519581771,1866,2038
1519585371,1868,2040
1519589031,1869,2041
1519592571,1871,2043
1519599771,1874,2046
1519603371,1873,2045
1519610571,1871,2043
1519614171,1872,2044
1519617772,1859,2031
1519621374,1864,2036
1519624972,1866,2039
1519628571,1868,2041
1519632171,1869,2042
1519635772,1870,2043
1519639431,1873,2046
1519643031,1874,2047
1519646571,1877,2050
1519653771,1880,2053
1519657371,1882,2055
1519664572,1885,2058
1519668172,1887,2060
1519675371,1889,2062
1519678971,1888,2061
1519686172,1884,2057
1519689772,1884,2057
1519696972,1884,2057
1519700632,1885,2058
1519704172,1881,2054
1519707772,1885,2058
1519711372,1886,2059
1519714972,1887,2060
1519718632,1888,2061
1519722172,1886,2059
1519725772,1887,2060
1519729372,1886,2059
1519740172,1886,2059
1519743832,1887,2060
1519747372,1886,2059
1519751032,1886,2059
1519754573,1888,2061
1519761772,1887,2060
1519768973,1888,2061
1519772572,1887,2060
1519776172,1886,2059
1519779773,1887,2060
1519787033,1887,2060
1519790633,1884,2057
1519794173,1888,2061
1519797773,1883,2056
1519801373,1885,2058
1519804973,1887,2060
1519808573,1887,2060
1519815773,1887,2060
1519823033,1888,2061
1519826633,1889,2062
1519830233,1887,2060
1519833773,1886,2059
1519837373,1887,2060
1519841033,1889,2062
1519844573,1892,2065
1519848173,1893,2066
1519851773,1895,2068
1519855373,1896,2069
1519858975,1897,2070
1519862634,1897,2069
1519866174,1897,2068
1519869775,1898,2069
1519873374,1898,2069
1519876974,1899,2070
1519880575,1899,2070
1519884174,1901,2072
1519887774,1897,2068
1519891375,1899,2070
1519895035,1897,2068
1519898634,1898,2069
1519902174,1899,2068
1519905774,1902,2072
1519909374,1901,2071
1519912974,1901,2071
1519916575,1900,2070
1519920175,1901,2071
1519923834,1901,2071
1519927375,1902,2072
1519930974,1903,2073
1519934575,1900,2070
1519938235,1901,2071
1519941774,1900,2070
1519945375,1902,2072
1519948974,1902,2072
1519959775,1900,2070
1519963435,1901,2071
1519967035,1901,2071
1519970575,1904,2074
1519974175,1902,2072
1519977775,1905,2075
1519981375,1907,2077
1519984975,1907,2077
1519992175,1907,2077
1519995775,1908,2078
1519999436,1906,2076
1520002975,1908,2078
1520010176,1905,2075
1520013776,1903,2073
1520017376,1905,2075
1520021036,1902,2072
1520024576,1903,2073
1520028176,1905,2075
1520031776,1906,2076
1520035436,1906,2076
1520039036,1910,2080
1520042576,1907,2077
1520046176,1906,2075
1520049776,1905,2074
1520053436,1909,2079
1520056976,1902,2072
1520060576,1905,2075
1520064176,1906,2076
1520067776,1908,2078
1520071376,1909,2078
1520074976,1909,2078
1520082176,1908,2077
1520085776,1909,2078
