DateTime,AddedIPs,RemovedIPs
1519743832,4,1
1519747372,2,0
1519751032,2,2
1519754573,9,2
1519761772,2,1
1519765372,1,2
1519768973,2,2
1519772572,2,2
1519776172,0,2
1519779773,3,2
1519783433,0,1
1519787033,1,3
1519790633,2,1
1519794173,4,6
1519797773,1,2
1519801373,4,3
1519804973,2,3
1519808573,3,2
1519812173,4,2
1519815773,3,3
1519819373,0,2
1519823033,5,5
1519826633,1,3
1519830233,1,0
1519833773,2,1
1519837373,5,1
1519841033,3,3
1519844573,4,2
1519848173,1,3
1519851773,2,3
1519855373,2,2
1519858975,2,1
1519862634,1,2
1519866174,5,1
1519869775,14,2
1519873374,4,2
1519876974,2,0
1519880575,3,4
1519884174,2,1
1519887774,5,5
1519891375,4,4
1519895035,3,4
1519898634,2,3
1519902174,4,5
1519905774,5,3
1519909374,3,3
1519912974,7,4
1519916575,3,1
1519920175,2,4
1519923834,7,5
1519927375,1,0
1519930974,3,4
1519934575,3,2
1519938235,2,4
1519941774,4,1
1519945375,3,1
1519948974,2,0
1519952576,1,1
1519959775,4,7
1519963435,2,3
1519967035,4,5
1519970575,3,3
1519974175,1,2
1519977775,3,4
1519981375,4,1
1519984975,2,3
1519988635,0,4
1519992175,2,2
1519995775,3,2
1519999436,1,4
1520002975,2,2
1520006576,2,4
1520010176,1,1
1520013776,1,4
1520017376,3,2
1520021036,1,0
1520024576,1,0
1520028176,2,3
1520031776,2,1
1520035436,2,2
1520039036,6,4
1520042576,2,2
1520046176,2,1
1520049776,3,1
1520053436,6,5
1520056976,2,2
1520060576,3,4
1520064176,4,2
1520067776,2,3
1520071376,1,2
1520074976,1,1
1520078576,2,4
1520082176,2,2
1520085776,2,0
1520089376,0,1
1520092976,5,3
1520096576,6,4
1520100177,2,5
1520103777,2,5
1520107377,2,1
1520110977,0,2
1520114577,1,2
1520118177,5,5
1520125377,1,0
1520128977,1,4
1520132577,3,3
1520136177,2,2
1520139777,3,4
1520143377,1,2
1520146977,2,4
1520150577,1,2
1520154177,1,1
1520157777,3,3
1520161377,3,1
1520164977,2,2
1520168578,1,1
1520172177,2,2
1520175778,2,2
1520179378,5,3
1520182977,4,1
1520186577,4,2
1520190178,2,3
1520193778,2,1
1520200978,1,2
1520204578,3,3
1520208178,1,0
1520211778,0,1
1520215379,0,3
1520218978,1,2
1520222577,3,5
1520226178,4,4
1520229778,2,3
1520233382,5,5
1520236979,4,1
1520240578,1,5
1520244156,1,0
1520247815,17,4
1520251354,2,0
1520254956,2,0
1520256994,1,1
1520258616,0,2
1520262154,3,2
1520265816,7,3
1520269416,0,4
1520273016,4,2
1520276615,2,2
1520280156,5,1
1520283755,4,4
1520287415,2,4
1520291016,2,1
1520294555,0,1
1520298157,0,2
1520301756,1,3
1520305355,1,2
1520308955,7,2
1520312615,4,5
1520316155,2,2
1520319815,3,8
1520323415,2,2
1520327015,1,1
1520330615,2,5
1520334215,1,3
1520337114,4,2
1520337775,11,1
1520341374,3,3
1520344974,5,1
1520346594,1,2
1520348574,0,1
1520352174,2,0
1520355774,2,2
1520359374,3,3
1520362975,4,2
1520366634,5,4
1520370174,2,3
1520373775,1,4
1520377376,0,5
1520380974,2,2
1520384574,3,1
1520388176,1,2
1520391834,1,1
1520395374,4,3
1520398974,2,2
1520402574,2,1
1520406174,3,3
1520409774,1,4
1520413374,3,6
1520416974,2,3
1520420576,2,2
1520424175,0,9
1520427775,1,7
1520431375,3,1
1520434976,6,3
1520438576,0,3
1520442175,3,7
1520442535,3,2
1520445775,0,2
1520449375,2,0
