DateTime,AddedIPs,RemovedIPs
1516318382,1,0
1516321981,0,1
1516343581,2,0
1516350782,1,1
1516365181,0,2
1516386781,0,2
1516390382,0,1
1516397581,0,1
1516411981,1,1
1516415581,1,0
1516433581,1,0
1516437182,0,1
1516444826,0,1
1516455181,0,1
1516458781,1,0
1516473181,0,1
1516505581,0,1
1516512781,0,1
1516516381,1,0
1516523581,0,1
1516534381,1,0
1516548781,0,1
1516555981,1,0
1516573981,1,1
1516588381,2,0
1516599181,1,0
1516613582,0,2
1516620781,1,0
1516627981,1,0
1516638782,2,0
1516642381,1,0
1516656781,1,0
1516663982,1,1
1516667581,1,0
1516674782,0,1
1516678381,1,0
1516721582,0,1
1516743182,1,0
1516753982,0,2
1516761181,0,1
1516764781,0,1
1516768381,1,0
1516771981,1,1
1516779181,2,0
1516782781,1,0
1516786381,0,1
1516789981,0,4
1516793581,1,0
1516800781,1,0
1516804381,1,0
1516811581,1,0
1516815181,0,1
1516825982,0,1
1516836781,1,1
1516840381,0,1
1516851181,1,2
1516858381,0,1
1516865581,0,2
1516879981,2,0
1516883581,0,1
1516890781,0,2
1516897981,1,0
1516901581,0,1
1516941181,1,0
1516955581,0,1
1516959181,0,3
1516966381,1,0
1516980782,1,0
1516984381,1,1
1516991582,1,0
1517002381,0,1
1517041981,0,1
1517049181,1,0
1517059981,2,1
1517077981,1,0
1517085181,1,2
1517099581,1,1
1517121181,1,0
1517135581,1,0
1517153581,1,0
1517160781,0,2
1517164381,2,0
1517175182,0,1
1517182381,0,1
1517211181,1,0
1517218382,0,2
1517236381,1,0
1517243581,0,2
1517268781,1,0
1517275981,2,0
1517290381,1,0
1517315581,0,4
1517326381,1,1
1517337181,0,1
1517347982,0,1
1517358781,0,1
1517373181,0,1
1517376782,0,1
1517391181,1,0
1517398381,0,2
1517423581,2,0
1517445181,0,1
1517455981,0,2
1517473981,1,0
1517477581,0,1
1517481181,2,0
1517488382,0,1
1517502782,1,1
1517527981,0,1
1517535181,0,1
1517553181,1,0
1517556781,1,1
1517571181,0,1
1517581981,1,1
1517592781,0,4
1517603581,0,1
1517621581,0,1
1517650381,0,4
1517664781,1,1
1517668381,0,2
1517707981,1,1
1517747581,0,1
1517751181,1,0
1517758381,1,0
1517769181,1,0
1517776381,0,1
1517779981,1,0
1517794381,0,1
1517797982,0,2
1517805181,1,0
1517812381,2,0
1517823182,1,0
1517833981,1,1
1517873581,0,1
1517895181,1,1
1517905981,1,0
1517913181,1,0
1517934781,2,0
1517938382,0,1
1517941981,0,1
1517949181,0,1
1517963581,1,0
1517974381,0,1
1517985181,1,1
1518006781,0,1
1518017581,2,0
1518031981,1,1
1518039181,3,0
1518042781,0,1
1518049982,1,1
1518053581,0,1
1518057181,0,3
1518064381,0,1
1518067981,0,1
1518089582,0,1
1518093181,0,1
1518096782,2,0
1518114781,0,2
1518118381,1,0
1518129181,0,1
1518136382,0,2
1518154381,0,1
1518179581,1,3
1518186781,1,0
1518190381,0,1
1518193981,1,0
1518197581,1,0
1518201181,0,1
1518204781,3,0
1518208381,1,0
1518219181,1,2
1518244381,0,2
1518262382,1,0
1518265981,0,1
1518276781,1,3
1518287581,0,1
1518301981,1,0
1518309181,2,0
1518312781,2,0
1518316382,1,1
1518319981,1,0
1518327181,0,1
1518341581,1,0
1518348781,1,0
1518359581,2,0
1518363181,0,1
1518370381,0,1
1518373981,1,0
1518395581,0,3
1518435181,1,1
1518438781,0,1
1518445981,1,0
1518449582,1,0
1518453181,1,0
1518456781,1,0
1518460381,1,0
1518463981,1,0
1518474781,1,0
1518478381,0,2
1518499981,1,0
1518517982,1,0
1518525181,2,0
1518528781,1,0
1518532381,1,0
1518546781,0,1
1518568381,1,0
1518571981,1,0
1518575581,0,1
1518589981,0,1
1518597181,1,0
1518600781,0,3
1518604381,1,2
1518607981,1,0
1518615181,0,1
1518622381,1,0
1518625982,1,0
1518629581,0,1
1518640381,0,1
1518647582,0,1
1518651181,2,0
1518658381,0,1
1518676381,1,0
1518690782,0,1
1518701581,3,2
1518708781,1,0
1518715981,0,1
1518726781,1,0
1518733981,1,0
1518737581,0,2
1518741181,1,0
1518744782,0,1
1518766381,0,2
1518773581,3,1
1518777181,1,0
1518784381,1,0
1518787981,0,2
1518802381,1,0
1518809582,1,0
1518816781,0,1
1518834781,0,3
1518906782,0,1
1518910381,0,1
1518924781,0,1
1518931981,1,0
1518935581,0,1
1518939181,5,0
1518942781,0,2
1518946381,0,2
1518957181,0,1
1518960781,1,0
1518978781,1,0
1518982381,0,1
1519011181,0,1
1519018381,1,0
1519025581,0,1
1519032781,1,0
1519036381,1,0
1519050781,1,1
1519054381,2,1
1519057981,1,0
1519079581,0,2
1519086781,0,1
1519115581,0,1
1519126381,1,0
1519144381,1,1
1519147981,1,1
1519151581,1,0
1519155181,1,0
1519173181,0,1
1519183982,0,1
1519187582,1,0
1519191181,1,1
1519194781,1,0
1519201981,1,2
1519205582,1,0
1519209181,0,1
1519219981,0,1
1519248781,0,2
1519263181,1,0
1519273981,2,0
1519281181,0,1
1519284781,0,1
1519317181,0,1
1519345981,2,0
1519371181,1,1
1519378381,0,1
1519389181,0,1
1519396381,1,0
1519435981,1,0
1519439581,0,1
1519453981,0,1
1519457582,1,0
1519471981,1,2
1519486381,1,0
1519493581,1,0
1519497182,1,1
1519500781,2,0
1519511581,1,1
1519522381,1,0
1519540382,1,0
1519543982,1,1
1519547581,0,1
1519561982,3,0
1519565581,2,0
1519569181,0,1
1519583581,1,1
1519623181,1,0
1519633982,0,1
1519637582,1,0
1519644781,1,0
1519648382,1,0
1519659181,0,2
