DateTime,AddedIPs,RemovedIPs
1519705981,7,6
1519709581,11,16
1519713181,5,7
1519716781,11,9
1519720381,13,12
1519723982,8,7
1519727581,8,9
1519731181,14,12
1519734781,9,10
1519738382,8,10
1519741981,10,8
1519745581,13,12
1519749181,10,12
1519752782,9,9
1519756382,4,4
1519759981,18,15
1519763581,9,9
1519767181,6,8
1519770781,5,8
1519774381,6,5
1519777981,11,8
1519781581,3,2
1519785181,9,9
1519788781,6,5
1519792381,12,13
1519795981,15,13
1519799581,10,12
1519803182,6,6
1519806781,7,6
1519810381,5,6
1519813981,4,4
1519817581,10,8
1519821181,2,3
1519824782,3,3
1519828381,5,5
1519831981,5,6
1519839182,9,8
1519842781,5,5
1519846381,2,4
1519849981,8,6
1519853581,7,6
1519857181,5,5
1519860781,6,6
1519864381,6,6
1519867981,6,4
1519871581,3,3
1519875181,9,10
1519878781,6,7
1519882381,5,5
1519885981,10,8
1519889582,6,9
1519893181,3,2
1519896782,7,8
1519900381,6,7
1519903981,8,6
1519907581,4,4
1519911182,9,7
1519914781,3,4
1519918381,8,9
1519921981,6,6
1519925581,4,4
1519929182,8,8
1519932781,12,11
1519936381,7,8
1519939981,7,8
1519943581,7,8
1519947181,6,6
1519950782,10,10
1519954381,10,7
1519957981,6,7
1519961581,12,10
1519965181,5,5
1519968781,10,12
1519972381,5,5
1519975981,11,11
1519979581,5,7
1519983181,4,4
1519986781,13,11
1519990381,5,5
1519993981,9,7
1519997581,6,6
1520001181,10,9
1520004781,6,7
1520008381,6,8
1520011981,9,11
1520015581,11,8
1520019181,13,14
1520022781,8,7
1520026381,8,9
1520029981,8,10
1520033581,6,7
1520037181,9,6
1520040781,8,8
1520044381,10,7
1520047981,2,3
1520051581,7,9
1520055181,3,3
1520058781,7,5
1520062381,8,8
1520065981,13,14
1520069581,4,4
1520073181,10,11
1520076781,3,3
1520080381,7,7
1520083981,13,13
1520087581,9,8
1520091181,13,14
1520094781,9,8
1520098381,5,7
1520101981,8,6
1520105582,3,2
1520109181,6,8
1520112781,5,5
1520116381,8,8
1520119981,11,11
1520123582,2,2
1520127181,7,8
1520130781,3,3
1520134381,9,6
1520137981,6,9
1520141581,8,6
1520145181,5,6
1520148781,8,10
1520152381,9,5
1520155981,6,6
1520159581,5,9
1520163181,5,4
1520166781,5,5
1520170381,6,4
1520173981,6,8
1520177581,7,7
1520181181,8,10
1520184781,5,4
1520188381,9,8
1520191981,6,6
1520195581,5,6
1520199182,11,6
1520202782,4,5
1520206381,11,11
1520209981,11,13
1520213581,10,11
1520217182,10,9
1520220782,3,4
1520224381,6,5
1520227981,5,3
1520231581,8,10
1520235181,4,3
1520238781,7,9
1520242381,1,1
1520245981,8,7
1520249581,5,7
1520253181,13,12
1520256781,8,5
1520260382,9,13
1520263981,7,6
1520267581,7,5
1520271181,7,9
1520274781,9,9
1520278381,8,10
1520281981,11,11
1520285581,7,6
1520289181,5,6
